,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752142464,5.0,0.0,3.0,0.0,5.0,0.254191,0.623032,70.0,88.0,0.002938250164605589
1,1752142469,5.0,0.0,3.0,0.0,5.0,0.254191,0.623032,70.0,88.0,0.01541053275825165
2,1752142474,5.0,0.0,3.0,0.0,5.0,0.254191,0.623032,70.0,88.0,0.024530445278191284
3,1752142479,5.0,0.0,3.0,0.0,5.0,0.254191,0.623032,70.0,88.0,0.06219841499275172
4,1752142484,5.0,0.0,3.0,0.0,5.0,0.254191,0.623032,70.0,88.0,0.071632634211865
5,1752142489,5.0,0.0,5.0,0.0,5.0,0.65377,1.226386,70.0,287.0,0.09475874537490993
6,1752142494,5.0,0.0,5.0,0.0,5.0,0.65377,1.226386,70.0,287.0,0.12719907462430538
7,1752142499,5.0,0.0,5.0,0.0,5.0,0.65377,1.226386,70.0,287.0,0.14918112617762214
8,1752142504,5.0,0.0,5.0,0.0,5.0,0.65377,1.226386,70.0,287.0,0.17295427190538226
9,1752142509,5.0,0.0,5.0,0.0,5.0,0.65377,1.226386,70.0,287.0,0.20236292553891405
10,1752142514,5.0,0.0,5.0,0.0,5.0,0.65377,1.226386,70.0,287.0,0.22299763238954234
11,1752142519,5.0,0.0,5.0,0.0,5.0,0.967228,0.82665,70.0,288.0,0.22458052737753192
12,1752142524,5.0,0.0,5.0,0.0,5.0,0.967228,0.82665,70.0,288.0,0.23433902101615064
13,1752142529,5.0,0.0,5.0,0.0,5.0,0.967228,0.82665,70.0,288.0,0.24129330317970654
14,1752142534,5.0,0.0,5.0,0.0,5.0,0.967228,0.82665,70.0,288.0,0.23265253329271426
15,1752142539,5.0,0.0,5.0,0.0,5.0,0.967228,0.82665,70.0,288.0,0.22316816655075372
16,1752142544,5.0,0.0,5.0,0.0,5.0,0.967228,0.82665,70.0,288.0,0.21614671337497784
17,1752142549,5.0,0.0,5.0,0.0,5.0,0.898811,0.912289,70.0,288.0,0.20290583923712707
18,1752142554,5.0,0.0,5.0,0.0,5.0,0.898811,0.912289,70.0,288.0,0.20559921815887175
19,1752142559,5.0,0.0,5.0,0.0,5.0,0.898811,0.912289,70.0,288.0,0.20568574318434263
20,1752142564,5.0,0.0,5.0,0.0,5.0,0.898811,0.912289,70.0,288.0,0.21415063196329479
21,1752142569,5.0,0.0,5.0,0.0,5.0,0.898811,0.912289,70.0,288.0,0.20439708521159897
