,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752139030,2.0,3.0,2.0,0.0,2.0,-1e-06,-1e-06,70.0,289.0,0.014650942488930946
1,1752139035,2.0,3.0,2.0,0.0,2.0,-1e-06,-1e-06,70.0,289.0,0.016064259533479206
2,1752139040,5.0,1.0,5.0,0.0,5.0,0.035652,0.050808,70.0,288.0,0.017134460005124322
3,1752139045,5.0,1.0,5.0,0.0,5.0,0.035652,0.050808,70.0,288.0,0.01959048712852351
4,1752139050,5.0,1.0,5.0,0.0,5.0,0.035652,0.050808,70.0,288.0,0.020976879430502682
5,1752139055,5.0,1.0,5.0,0.0,5.0,0.035652,0.050808,70.0,288.0,0.02362527132752403
6,1752139060,5.0,1.0,5.0,0.0,5.0,0.035652,0.050808,70.0,288.0,0.025122455214868514
7,1752139065,5.0,1.0,5.0,0.0,5.0,0.035652,0.050808,70.0,288.0,0.02614685902194015
8,1752139070,5.0,0.0,5.0,0.0,5.0,0.06918,0.057462,70.0,288.0,0.02345119771145904
9,1752139075,5.0,0.0,5.0,0.0,5.0,0.06918,0.057462,70.0,288.0,0.02556139338247706
10,1752139080,5.0,0.0,5.0,0.0,5.0,0.06918,0.057462,70.0,288.0,0.02601038032699356
11,1752139085,5.0,0.0,5.0,0.0,5.0,0.06918,0.057462,70.0,288.0,0.0250558872357139
12,1752139090,5.0,0.0,5.0,0.0,5.0,0.06918,0.057462,70.0,288.0,0.02632828764124652
13,1752139095,5.0,0.0,5.0,0.0,5.0,0.06918,0.057462,70.0,288.0,0.027460072226121603
14,1752139100,5.0,0.0,5.0,0.0,5.0,0.061844,0.060893,70.0,288.0,0.027211695376504624
15,1752139105,5.0,0.0,5.0,0.0,5.0,0.061844,0.060893,70.0,288.0,0.02861125884603824
16,1752139110,5.0,0.0,5.0,0.0,5.0,0.061844,0.060893,70.0,288.0,0.028547962940531257
17,1752139115,5.0,0.0,5.0,0.0,5.0,0.061844,0.060893,70.0,288.0,0.02386990246994315
18,1752139120,5.0,0.0,5.0,0.0,5.0,0.061844,0.060893,70.0,288.0,0.027119682316451656
19,1752139125,5.0,0.0,5.0,0.0,5.0,0.061844,0.060893,70.0,288.0,0.029876661288016602
20,1752139130,5.0,0.0,5.0,0.0,5.0,0.072795,0.101926,70.0,288.0,0.029876661288016602
21,1752139135,5.0,0.0,5.0,0.0,5.0,0.072795,0.101926,70.0,288.0,0.027727138142445908
