,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1750694882,11.0,0.0,11.0,0.0,11.0,65.31328,-1e-06,14.0,9.0,0.7386606964936439
1,1750694887,11.0,0.0,11.0,0.0,11.0,65.31328,-1e-06,14.0,9.0,0.6505459031375794
2,1750694892,11.0,0.0,11.0,0.0,11.0,65.31328,-1e-06,14.0,9.0,0.5962062479013792
3,1750694897,11.0,0.0,11.0,0.0,11.0,26.654583,15.592325,14.0,-7.0,0.3008006885579192
4,1750694902,11.0,0.0,11.0,0.0,11.0,26.654583,15.592325,14.0,-7.0,0.32386263537067617
5,1750694907,11.0,0.0,11.0,8.891733167014166,11.0,26.654583,15.592325,14.0,-7.0,0.2965288695076154
6,1750694912,11.0,0.0,11.0,8.891733167014166,11.0,26.654583,15.592325,14.0,-7.0,0.27697608274728336
7,1750694917,11.0,0.0,11.0,8.891733167014166,11.0,26.654583,15.592325,14.0,-7.0,0.40012265996174456
8,1750694922,11.0,0.0,11.0,8.891733167014166,11.0,26.654583,15.592325,14.0,-7.0,0.4023536437341231
9,1750694927,7.0,10.0,3.0,8.891733167014166,7.0,22.09199,87.504572,14.0,-239.0,0.4356877796416791
10,1750694932,7.0,10.0,3.0,8.891733167014166,7.0,22.09199,87.504572,14.0,-239.0,0.544711651803886
11,1750694937,7.0,10.0,3.0,30.106643711811028,7.0,22.09199,87.504572,14.0,-239.0,0.614048246253384
12,1750694942,7.0,10.0,3.0,30.106643711811028,7.0,22.09199,87.504572,14.0,-239.0,0.6455437910812724
13,1750694947,7.0,10.0,3.0,30.106643711811028,7.0,22.09199,87.504572,14.0,-239.0,0.7142240257612212
14,1750694952,7.0,10.0,3.0,30.106643711811028,7.0,22.09199,87.504572,14.0,-239.0,0.71262903815162
15,1750694957,7.0,0.0,7.0,30.106643711811028,7.0,29.270106,7.799862,14.0,-79.0,0.6432511441605353
16,1750694962,7.0,0.0,7.0,30.106643711811028,7.0,29.270106,7.799862,14.0,-79.0,0.5789964369650196
17,1750694967,7.0,0.0,7.0,32.08205209594305,7.0,29.270106,7.799862,14.0,-79.0,0.5960750272635317
18,1750694972,7.0,0.0,7.0,32.08205209594305,7.0,29.270106,7.799862,14.0,-79.0,0.6700322760801971
19,1750694977,7.0,0.0,7.0,32.08205209594305,7.0,29.270106,7.799862,14.0,-79.0,0.6657042007394778
20,1750694982,7.0,0.0,7.0,32.08205209594305,7.0,29.270106,7.799862,14.0,-79.0,0.7278109641122176
21,1750694987,7.0,0.0,7.0,32.08205209594305,7.0,21.010721,6.964576,14.0,-78.0,0.7571893935373759
22,1750694992,7.0,0.0,7.0,32.08205209594305,7.0,21.010721,6.964576,14.0,-78.0,0.7619435704604219
23,1750694997,7.0,0.0,7.0,4.881128170824567,7.0,21.010721,6.964576,14.0,-78.0,0.7590736608422087
24,1750695002,7.0,0.0,7.0,4.881128170824567,7.0,21.010721,6.964576,14.0,-78.0,0.7428398878447048
25,1750695007,7.0,0.0,7.0,4.881128170824567,7.0,21.010721,6.964576,14.0,-78.0,0.8245336933702141
26,1750695012,7.0,0.0,7.0,4.881128170824567,7.0,21.010721,6.964576,14.0,-78.0,0.6803244168682273
27,1750695017,1.0,6.0,1.0,4.881128170824567,1.0,13.892502,5.596601,14.0,-197.0,0.8679660873919954
28,1750695022,1.0,6.0,1.0,4.881128170824567,1.0,13.892502,5.596601,14.0,-197.0,0.8559578608354275
29,1750695027,1.0,6.0,1.0,7.352299525684548,1.0,13.892502,5.596601,14.0,-197.0,0.7449509414306806
30,1750695032,1.0,6.0,1.0,7.352299525684548,1.0,13.892502,5.596601,14.0,-197.0,0.7010606349955537
31,1750695037,1.0,6.0,1.0,7.352299525684548,1.0,13.892502,5.596601,14.0,-197.0,0.7180701379017652
32,1750695042,1.0,6.0,1.0,7.352299525684548,1.0,13.892502,5.596601,14.0,-197.0,0.590199982934971
33,1750695047,10.0,1.0,9.0,7.352299525684548,10.0,21.840591,17.010625,14.0,-69.0,0.6260701482811539
34,1750695052,10.0,1.0,9.0,7.352299525684548,10.0,21.840591,17.010625,14.0,-69.0,0.7926181166435399
35,1750695057,10.0,1.0,9.0,14.261378898008655,10.0,21.840591,17.010625,14.0,-69.0,0.6226296561880839
36,1750695062,10.0,1.0,9.0,14.261378898008655,10.0,21.840591,17.010625,14.0,-69.0,0.680353200548127
37,1750695067,10.0,1.0,9.0,14.261378898008655,10.0,21.840591,17.010625,14.0,-69.0,0.6836696332597265
38,1750695072,10.0,1.0,9.0,14.261378898008655,10.0,21.840591,17.010625,14.0,-69.0,0.6892638912944792
39,1750695077,10.0,0.0,10.0,14.261378898008655,10.0,24.691134,7.474544,14.0,-19.0,0.6755353339373651
40,1750695082,10.0,0.0,10.0,14.261378898008655,10.0,24.691134,7.474544,14.0,-19.0,0.7313586895328074
