,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1750693961,28.0,0.0,21.0,0.0,28.0,105.526488,-1e-06,14.0,189.0,0.0922763304820521
1,1750693966,28.0,0.0,28.0,0.0,28.0,32.739636,1.621369,14.0,347.0,0.04321622466818986
2,1750693971,28.0,0.0,28.0,0.0,28.0,32.739636,1.621369,14.0,347.0,0.07324943975781789
3,1750693976,28.0,0.0,28.0,0.0,28.0,32.739636,1.621369,14.0,347.0,0.13444538635308306
4,1750693981,28.0,0.0,28.0,0.0,28.0,32.739636,1.621369,14.0,347.0,0.15625203095758664
5,1750693986,28.0,0.0,28.0,0.0,28.0,32.739636,1.621369,14.0,347.0,0.17688056639872787
6,1750693991,28.0,0.0,28.0,0.0,28.0,32.739636,1.621369,14.0,347.0,0.26154858115809143
7,1750693996,4.0,27.0,3.0,0.0,4.0,10.42147,9.624824,14.0,-161.0,0.29650818027739784
8,1750694001,4.0,27.0,3.0,0.0,4.0,10.42147,9.624824,14.0,-161.0,0.4452080105766786
9,1750694006,4.0,27.0,3.0,6.823695278703688,4.0,10.42147,9.624824,14.0,-161.0,0.5074250024566241
10,1750694011,4.0,27.0,3.0,6.823695278703688,4.0,10.42147,9.624824,14.0,-161.0,0.5385102906620332
11,1750694016,4.0,27.0,3.0,6.823695278703688,4.0,10.42147,9.624824,14.0,-161.0,0.5679128079072863
12,1750694021,4.0,27.0,3.0,6.823695278703688,4.0,10.42147,9.624824,14.0,-161.0,0.5634611982786124
13,1750694026,4.0,0.0,4.0,6.823695278703688,4.0,15.994038,18.088219,14.0,-150.0,0.5790386917895205
14,1750694031,4.0,0.0,4.0,6.823695278703688,4.0,15.994038,18.088219,14.0,-150.0,0.5729416304393019
15,1750694036,4.0,0.0,4.0,57.2197623294203,4.0,15.994038,18.088219,14.0,-150.0,0.6062833862643663
16,1750694041,4.0,0.0,4.0,57.2197623294203,4.0,15.994038,18.088219,14.0,-150.0,0.5872595373210525
17,1750694046,4.0,0.0,4.0,57.2197623294203,4.0,15.994038,18.088219,14.0,-150.0,0.6891374631189315
18,1750694051,4.0,0.0,4.0,57.2197623294203,4.0,15.994038,18.088219,14.0,-150.0,0.7388047759071193
19,1750694056,5.0,3.0,5.0,57.2197623294203,5.0,28.302128,43.042048,14.0,-155.0,0.7482687106020202
20,1750694061,5.0,3.0,5.0,57.2197623294203,5.0,28.302128,43.042048,14.0,-155.0,0.7445558189104119
21,1750694066,5.0,3.0,5.0,7.31275352291502,5.0,28.302128,43.042048,14.0,-155.0,0.6918418850308331
22,1750694071,5.0,3.0,5.0,7.31275352291502,5.0,28.302128,43.042048,14.0,-155.0,0.806567421917782
23,1750694076,5.0,3.0,5.0,7.31275352291502,5.0,28.302128,43.042048,14.0,-155.0,0.7658876746614627
24,1750694081,5.0,3.0,5.0,7.31275352291502,5.0,28.302128,43.042048,14.0,-155.0,0.7321610116771867
25,1750694086,5.0,0.0,5.0,7.31275352291502,5.0,34.624703,45.38812,14.0,-157.0,0.7508103237858874
26,1750694091,5.0,0.0,5.0,7.31275352291502,5.0,34.624703,45.38812,14.0,-157.0,0.7301102011626789
27,1750694096,5.0,0.0,5.0,28.125626940703675,5.0,34.624703,45.38812,14.0,-157.0,0.5890854986542514
28,1750694101,5.0,0.0,5.0,28.125626940703675,5.0,34.624703,45.38812,14.0,-157.0,0.5951305597517115
29,1750694106,5.0,0.0,5.0,28.125626940703675,5.0,34.624703,45.38812,14.0,-157.0,0.5907315336019834
30,1750694111,5.0,0.0,5.0,28.125626940703675,5.0,34.624703,45.38812,14.0,-157.0,0.6571608894544455
31,1750694116,16.0,0.0,16.0,28.125626940703675,16.0,40.911659,6.26057,14.0,102.0,0.7422146532585872
32,1750694121,16.0,0.0,16.0,28.125626940703675,16.0,40.911659,6.26057,14.0,102.0,0.7698793445333634
33,1750694126,16.0,0.0,16.0,0.0,16.0,40.911659,6.26057,14.0,102.0,0.7639972893649957
34,1750694131,16.0,0.0,16.0,0.0,16.0,40.911659,6.26057,14.0,102.0,0.7980427248061088
35,1750694136,16.0,0.0,16.0,0.0,16.0,40.911659,6.26057,14.0,102.0,0.8521045921064401
36,1750694141,16.0,0.0,16.0,0.0,16.0,40.911659,6.26057,14.0,102.0,0.8669359170028008
37,1750694146,16.0,0.0,16.0,0.0,16.0,47.977412,44.89319,14.0,64.0,0.9982763082173425
38,1750694151,16.0,0.0,16.0,0.0,16.0,47.977412,44.89319,14.0,64.0,1.0828817010523457
39,1750694156,16.0,0.0,16.0,0.0,16.0,47.977412,44.89319,14.0,64.0,1.1191530804612109
40,1750694161,16.0,0.0,16.0,0.0,16.0,47.977412,44.89319,14.0,64.0,1.1469375918770996
41,1750694166,16.0,0.0,16.0,0.0,16.0,47.977412,44.89319,14.0,64.0,1.1190811015470727
42,1750694171,16.0,0.0,16.0,0.0,16.0,47.977412,44.89319,14.0,64.0,1.08487920913844
43,1750694176,10.0,14.0,7.0,0.0,10.0,48.967461,139.060723,14.0,-211.0,0.9784906903222279
44,1750694181,10.0,14.0,7.0,0.0,10.0,48.967461,139.060723,14.0,-211.0,0.9265567639436041
45,1750694186,10.0,14.0,7.0,9.73594505347011,10.0,48.967461,139.060723,14.0,-211.0,0.9508301209898998
46,1750694191,10.0,14.0,7.0,9.73594505347011,10.0,48.967461,139.060723,14.0,-211.0,0.9002161508355748
47,1750694196,10.0,14.0,7.0,9.73594505347011,10.0,48.967461,139.060723,14.0,-211.0,0.8477505640238214
48,1750694201,10.0,14.0,7.0,9.73594505347011,10.0,48.967461,139.060723,14.0,-211.0,0.7987897335613536
49,1750694206,12.0,0.0,12.0,9.73594505347011,12.0,45.789091,11.081585,14.0,17.0,0.747432504320785
50,1750694211,12.0,0.0,12.0,9.73594505347011,12.0,45.789091,11.081585,14.0,17.0,0.7557459769814269
51,1750694216,12.0,0.0,12.0,0.0,12.0,45.789091,11.081585,14.0,17.0,0.7741030398489619
52,1750694221,12.0,0.0,12.0,0.0,12.0,45.789091,11.081585,14.0,17.0,0.8109499315530363
53,1750694226,12.0,0.0,12.0,0.0,12.0,45.789091,11.081585,14.0,17.0,0.8529493418704104
54,1750694231,12.0,0.0,12.0,0.0,12.0,45.789091,11.081585,14.0,17.0,0.898429017367817
55,1750694236,2.0,10.0,2.0,0.0,2.0,21.075855,9.934907,14.0,-181.0,0.9613044623262145
56,1750694241,2.0,10.0,2.0,0.0,2.0,21.075855,9.934907,14.0,-181.0,0.9412576214589665
57,1750694246,2.0,10.0,2.0,77.78009815230877,2.0,21.075855,9.934907,14.0,-181.0,0.9122936628882459
58,1750694251,2.0,10.0,2.0,77.78009815230877,2.0,21.075855,9.934907,14.0,-181.0,0.9189256361028464
59,1750694256,2.0,10.0,2.0,77.78009815230877,2.0,21.075855,9.934907,14.0,-181.0,0.8613825243549019
60,1750694261,2.0,10.0,2.0,77.78009815230877,2.0,21.075855,9.934907,14.0,-181.0,0.8814871484495606
61,1750694266,18.0,1.0,18.0,77.78009815230877,18.0,53.473394,12.277624,14.0,116.0,0.8817225086833956
62,1750694271,18.0,1.0,18.0,77.78009815230877,18.0,53.473394,12.277624,14.0,116.0,0.9068386830616976
63,1750694276,18.0,1.0,18.0,0.0,18.0,53.473394,12.277624,14.0,116.0,0.8735814274516471
64,1750694281,18.0,1.0,18.0,0.0,18.0,53.473394,12.277624,14.0,116.0,0.8609380357428158
65,1750694286,18.0,1.0,18.0,0.0,18.0,53.473394,12.277624,14.0,116.0,0.8715205466509104
66,1750694291,18.0,1.0,18.0,0.0,18.0,53.473394,12.277624,14.0,116.0,0.8315509550375421
67,1750694296,18.0,0.0,18.0,0.0,18.0,55.682599,16.610601,14.0,132.0,0.8508421417376493
68,1750694301,18.0,0.0,18.0,0.0,18.0,55.682599,16.610601,14.0,132.0,0.9508755231724693
69,1750694306,18.0,0.0,18.0,0.0,18.0,55.682599,16.610601,14.0,132.0,0.9798077573897852
70,1750694311,18.0,0.0,18.0,0.0,18.0,55.682599,16.610601,14.0,132.0,1.0068112086726964
71,1750694316,18.0,0.0,18.0,0.0,18.0,55.682599,16.610601,14.0,132.0,1.0303745569250282
72,1750694321,18.0,0.0,18.0,0.0,18.0,55.682599,16.610601,14.0,132.0,1.0106148517079345
73,1750694326,9.0,17.0,6.0,0.0,9.0,23.501089,118.265804,14.0,-210.0,1.0715190900373428
74,1750694331,9.0,17.0,6.0,0.0,9.0,23.501089,118.265804,14.0,-210.0,0.9564202609786348
75,1750694336,9.0,17.0,6.0,35.63243607976051,9.0,23.501089,118.265804,14.0,-210.0,0.9254686282837217
76,1750694341,9.0,17.0,6.0,35.63243607976051,9.0,23.501089,118.265804,14.0,-210.0,0.9941273350962713
77,1750694346,9.0,17.0,6.0,35.63243607976051,9.0,23.501089,118.265804,14.0,-210.0,0.9204144050882861
78,1750694351,9.0,17.0,6.0,35.63243607976051,9.0,23.501089,118.265804,14.0,-210.0,0.8496046857099567
79,1750694356,12.0,0.0,12.0,35.63243607976051,12.0,47.752912,63.94429,14.0,-35.0,0.7690411508820241
80,1750694361,12.0,0.0,12.0,35.63243607976051,12.0,47.752912,63.94429,14.0,-35.0,0.6889635526704707
81,1750694366,12.0,0.0,12.0,35.63243607976051,12.0,47.752912,63.94429,14.0,-35.0,0.5474899908835343
82,1750694371,12.0,0.0,12.0,35.63243607976051,12.0,47.752912,63.94429,14.0,-35.0,0.6527466560165375
83,1750694376,12.0,0.0,12.0,112.38716877417902,12.0,47.752912,63.94429,14.0,-35.0,0.6872709712382044
84,1750694381,12.0,0.0,12.0,112.38716877417902,12.0,47.752912,63.94429,14.0,-35.0,0.8865769796354773
85,1750694386,6.0,6.0,6.0,112.38716877417902,6.0,81.370862,20.205432,14.0,-92.0,0.9417552553012174
86,1750694391,6.0,6.0,6.0,112.38716877417902,6.0,81.370862,20.205432,14.0,-92.0,1.0175880141368805
87,1750694396,6.0,6.0,6.0,16.68895967448937,6.0,81.370862,20.205432,14.0,-92.0,0.892471201737516
88,1750694401,6.0,6.0,6.0,16.68895967448937,6.0,81.370862,20.205432,14.0,-92.0,0.8502811923932126
89,1750694406,6.0,6.0,6.0,16.68895967448937,6.0,81.370862,20.205432,14.0,-92.0,0.8282387014204529
90,1750694411,6.0,6.0,6.0,16.68895967448937,6.0,81.370862,20.205432,14.0,-92.0,0.9768299554623685
91,1750694416,6.0,2.0,5.0,16.68895967448937,6.0,72.517165,82.971161,14.0,-194.0,1.0909964645896577
92,1750694421,6.0,2.0,5.0,16.68895967448937,6.0,72.517165,82.971161,14.0,-194.0,1.179723058217246
93,1750694426,6.0,2.0,5.0,28.351727665720492,6.0,72.517165,82.971161,14.0,-194.0,1.1937052607531091
94,1750694431,6.0,2.0,5.0,28.351727665720492,6.0,72.517165,82.971161,14.0,-194.0,1.1178366745983581
95,1750694436,6.0,2.0,5.0,28.351727665720492,6.0,72.517165,82.971161,14.0,-194.0,1.3161411652227826
96,1750694441,6.0,2.0,5.0,28.351727665720492,6.0,72.517165,82.971161,14.0,-194.0,1.3126090869124902
97,1750694446,3.0,3.0,3.0,28.351727665720492,3.0,31.574571,9.695324,14.0,-161.0,1.2667391456304713
98,1750694451,3.0,3.0,3.0,28.351727665720492,3.0,31.574571,9.695324,14.0,-161.0,1.1642260873085157
99,1750694456,3.0,3.0,3.0,14.58593597777294,3.0,31.574571,9.695324,14.0,-161.0,1.2549513677649584
100,1750694461,3.0,3.0,3.0,14.58593597777294,3.0,31.574571,9.695324,14.0,-161.0,1.1744977535789378
101,1750694466,3.0,3.0,3.0,14.58593597777294,3.0,31.574571,9.695324,14.0,-161.0,1.1090563274352083
102,1750694471,3.0,3.0,3.0,14.58593597777294,3.0,31.574571,9.695324,14.0,-161.0,1.2028556454135297
103,1750694476,2.0,1.0,2.0,14.58593597777294,2.0,16.345451,25.270161,14.0,-197.0,1.081483013554249
