,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1750693549,2.0,0.0,1.0,,2.0,12.296878,13.609505,14.0,-185.0,0.20773157911476497
1,1750693554,2.0,0.0,1.0,,2.0,12.296878,13.609505,14.0,-185.0,0.17002996666666667
2,1750693559,2.0,0.0,1.0,38.61194207561515,2.0,12.296878,13.609505,14.0,-185.0,0.17002996666666667
3,1750693564,2.0,0.0,1.0,38.61194207561515,2.0,12.296878,13.609505,14.0,-185.0,0.46537368304760635
4,1750693569,2.0,0.0,1.0,38.61194207561515,2.0,12.296878,13.609505,14.0,-185.0,0.9054671425932147
5,1750693574,2.0,0.0,1.0,38.61194207561515,2.0,12.296878,13.609505,14.0,-185.0,1.0551651752533544
6,1750693579,4.0,0.0,4.0,38.61194207561515,4.0,24.351537,48.851797,14.0,-200.0,1.2414896359255834
7,1750693584,4.0,0.0,4.0,38.61194207561515,4.0,24.351537,48.851797,14.0,-200.0,1.395396802436125
8,1750693589,4.0,0.0,4.0,8.470674831784539,4.0,24.351537,48.851797,14.0,-200.0,1.6593737269159101
9,1750693594,4.0,0.0,4.0,8.470674831784539,4.0,24.351537,48.851797,14.0,-200.0,1.8442836184229368
10,1750693599,4.0,0.0,4.0,8.470674831784539,4.0,24.351537,48.851797,14.0,-200.0,2.4256115459335086
11,1750693604,4.0,0.0,4.0,8.470674831784539,4.0,24.351537,48.851797,14.0,-200.0,2.474460179428017
12,1750693609,7.0,2.0,5.0,8.470674831784539,7.0,34.669701,51.561388,14.0,-163.0,2.541324068010194
13,1750693614,7.0,2.0,5.0,8.470674831784539,7.0,34.669701,51.561388,14.0,-163.0,3.0439782717278403
14,1750693619,7.0,2.0,5.0,5.883776319306181,7.0,34.669701,51.561388,14.0,-163.0,3.150500246001933
15,1750693624,7.0,2.0,5.0,5.883776319306181,7.0,34.669701,51.561388,14.0,-163.0,3.269615749907342
16,1750693629,7.0,2.0,5.0,5.883776319306181,7.0,34.669701,51.561388,14.0,-163.0,3.372067765849666
17,1750693634,7.0,2.0,5.0,5.883776319306181,7.0,34.669701,51.561388,14.0,-163.0,3.5810130687876063
18,1750693639,7.0,0.0,7.0,5.883776319306181,7.0,22.463008,5.29871,14.0,-77.0,3.1401400380079605
19,1750693644,7.0,0.0,7.0,5.883776319306181,7.0,22.463008,5.29871,14.0,-77.0,3.2279290971373156
20,1750693649,7.0,0.0,7.0,7.956905660950187,7.0,22.463008,5.29871,14.0,-77.0,3.1157490671319317
21,1750693654,7.0,0.0,7.0,7.956905660950187,7.0,22.463008,5.29871,14.0,-77.0,3.0564990106481087
22,1750693659,7.0,0.0,7.0,7.956905660950187,7.0,22.463008,5.29871,14.0,-77.0,2.77171400446342
23,1750693664,7.0,0.0,7.0,7.956905660950187,7.0,22.463008,5.29871,14.0,-77.0,2.806742620608985
24,1750693669,8.0,6.0,3.0,7.956905660950187,8.0,16.353825,104.891374,14.0,-276.0,2.66460932084822
25,1750693674,8.0,6.0,3.0,7.956905660950187,8.0,16.353825,104.891374,14.0,-276.0,2.450388151362734
26,1750693679,8.0,6.0,3.0,167.31852540551986,8.0,16.353825,104.891374,14.0,-276.0,1.9700570391532417
27,1750693684,8.0,6.0,3.0,167.31852540551986,8.0,16.353825,104.891374,14.0,-276.0,2.458137224803585
28,1750693689,8.0,6.0,3.0,167.31852540551986,8.0,16.353825,104.891374,14.0,-276.0,2.252674383535639
29,1750693694,8.0,6.0,3.0,167.31852540551986,8.0,16.353825,104.891374,14.0,-276.0,2.2008478654212147
30,1750693699,12.0,0.0,9.0,167.31852540551986,12.0,40.900848,10.083802,14.0,-42.0,1.9934860656552613
