,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753146236,5.0,0.0,0.0,,5.0,1.0,1.0,140.0,-212.0,0.0015918247001391957
1,1753146241,5.0,0.0,0.0,,5.0,1.0,1.0,140.0,-212.0,0.003820715320616871
2,1753146246,5.0,0.0,0.0,0.0,5.0,1.0,1.0,140.0,-212.0,0.004859954429191609
3,1753146251,5.0,0.0,0.0,0.0,5.0,1.0,1.0,140.0,-212.0,0.008240203697542152
4,1753146256,5.0,0.0,0.0,0.0,5.0,1.0,1.0,140.0,-212.0,0.009765979445371536
5,1753146261,5.0,0.0,5.0,0.0,5.0,3.646869,0.626035,140.0,788.0,0.010571925472813045
6,1753146266,5.0,0.0,5.0,0.0,5.0,3.646869,0.626035,140.0,788.0,0.011613296730009128
7,1753146271,5.0,0.0,5.0,0.0,5.0,3.646869,0.626035,140.0,788.0,0.013328716589188465
8,1753146276,5.0,0.0,5.0,0.0,5.0,3.646869,0.626035,140.0,788.0,0.014344426068358309
9,1753146281,5.0,0.0,5.0,0.0,5.0,3.646869,0.626035,140.0,788.0,0.013946370810876034
10,1753146286,5.0,0.0,5.0,0.0,5.0,3.646869,0.626035,140.0,788.0,0.014011274121839107
11,1753146291,5.0,0.0,5.0,0.0,5.0,2.214266,0.051472,140.0,788.0,0.014011274121839107
12,1753146296,5.0,0.0,5.0,0.0,5.0,2.214266,0.051472,140.0,788.0,0.011169973538568268
13,1753146301,5.0,0.0,5.0,0.0,5.0,2.214266,0.051472,140.0,788.0,0.011639426987791805
14,1753146306,5.0,0.0,5.0,0.0,5.0,2.214266,0.051472,140.0,788.0,0.011194354126019362
15,1753146311,5.0,0.0,5.0,0.0,5.0,2.214266,0.051472,140.0,788.0,0.009671441180347724
16,1753146316,5.0,0.0,5.0,0.0,5.0,2.214266,0.051472,140.0,788.0,0.009359885980373605
17,1753146321,5.0,0.0,5.0,0.0,5.0,0.443491,0.503875,140.0,788.0,0.009407620387101008
18,1753146326,5.0,0.0,5.0,0.0,5.0,0.443491,0.503875,140.0,788.0,0.00985073341322823
19,1753146331,5.0,0.0,5.0,0.0,5.0,0.443491,0.503875,140.0,788.0,0.009777200259401113
20,1753146336,5.0,0.0,5.0,0.0,5.0,0.443491,0.503875,140.0,788.0,0.009937517916660506
21,1753146341,5.0,0.0,5.0,0.0,5.0,0.443491,0.503875,140.0,788.0,0.009571345451570824
22,1753146346,5.0,0.0,5.0,0.0,5.0,0.443491,0.503875,140.0,788.0,0.008137516368417391
23,1753146351,5.0,0.0,5.0,0.0,5.0,0.457802,0.300976,140.0,788.0,0.00884498727975068
24,1753146356,5.0,0.0,5.0,0.0,5.0,0.457802,0.300976,140.0,788.0,0.009026527348403807
25,1753146361,5.0,0.0,5.0,0.0,5.0,0.457802,0.300976,140.0,788.0,0.00841978726622759
26,1753146366,5.0,0.0,5.0,0.0,5.0,0.457802,0.300976,140.0,788.0,0.008746229051041115
27,1753146371,5.0,0.0,5.0,0.0,5.0,0.457802,0.300976,140.0,788.0,0.00932030602183906
28,1753146376,5.0,0.0,5.0,0.0,5.0,0.457802,0.300976,140.0,788.0,0.00964517642097469
29,1753146381,5.0,0.0,5.0,0.0,5.0,0.450273,1.086118,140.0,787.0,0.00969472185737023
30,1753146386,5.0,0.0,5.0,0.0,5.0,0.450273,1.086118,140.0,787.0,0.00969472185737023
31,1753146391,5.0,0.0,5.0,0.0,5.0,0.450273,1.086118,140.0,787.0,0.010823543813285165
32,1753146396,5.0,0.0,5.0,0.0,5.0,0.450273,1.086118,140.0,787.0,0.01004452751700067
33,1753146401,5.0,0.0,5.0,0.0,5.0,0.450273,1.086118,140.0,787.0,0.010227611640530727
34,1753146406,5.0,0.0,5.0,0.0,5.0,0.450273,1.086118,140.0,787.0,0.009934582379867045
35,1753146411,5.0,0.0,5.0,0.0,5.0,0.446731,0.27478,140.0,788.0,0.009916900464389979
36,1753146416,5.0,0.0,5.0,0.0,5.0,0.446731,0.27478,140.0,788.0,0.009472511149341311
37,1753146421,5.0,0.0,5.0,0.0,5.0,0.446731,0.27478,140.0,788.0,0.009124285823903462
38,1753146426,5.0,0.0,5.0,0.0,5.0,0.446731,0.27478,140.0,788.0,0.008657524825888267
39,1753146431,5.0,0.0,5.0,0.0,5.0,0.446731,0.27478,140.0,788.0,0.008108900325047743
40,1753146436,5.0,0.0,5.0,0.0,5.0,0.446731,0.27478,140.0,788.0,0.008329621459076111
41,1753146441,5.0,0.0,5.0,0.0,5.0,0.339503,0.157575,140.0,788.0,0.007849768749867531
42,1753146446,5.0,0.0,5.0,0.0,5.0,0.339503,0.157575,140.0,788.0,0.007590226144368199
43,1753146451,5.0,0.0,5.0,0.0,5.0,0.339503,0.157575,140.0,788.0,0.008211568533564882
44,1753146456,5.0,0.0,5.0,0.0,5.0,0.339503,0.157575,140.0,788.0,0.007909338093251068
45,1753146461,5.0,0.0,5.0,0.0,5.0,0.339503,0.157575,140.0,788.0,0.009142854924439251
46,1753146466,5.0,0.0,5.0,0.0,5.0,0.339503,0.157575,140.0,788.0,0.008888714024939483
47,1753146471,5.0,0.0,5.0,0.0,5.0,0.387345,0.130986,140.0,788.0,0.008488560207552075
48,1753146476,5.0,0.0,5.0,0.0,5.0,0.387345,0.130986,140.0,788.0,0.008657889576663717
49,1753146481,5.0,0.0,5.0,0.0,5.0,0.387345,0.130986,140.0,788.0,0.008703547451818283
50,1753146486,5.0,0.0,5.0,0.0,5.0,0.387345,0.130986,140.0,788.0,0.008242482759525872
51,1753146491,5.0,0.0,5.0,0.0,5.0,0.387345,0.130986,140.0,788.0,0.008095477949864243
52,1753146496,5.0,0.0,5.0,0.0,5.0,0.387345,0.130986,140.0,788.0,0.00755234713259901
53,1753146501,5.0,0.0,5.0,0.0,5.0,0.385136,0.184868,140.0,788.0,0.007932915703236239
54,1753146506,5.0,0.0,5.0,0.0,5.0,0.385136,0.184868,140.0,788.0,0.007837130120618386
55,1753146511,5.0,0.0,5.0,0.0,5.0,0.385136,0.184868,140.0,788.0,0.008022024924815343
56,1753146516,5.0,0.0,5.0,0.0,5.0,0.385136,0.184868,140.0,788.0,0.008958096241255672
57,1753146521,5.0,0.0,5.0,0.0,5.0,0.385136,0.184868,140.0,788.0,0.008959390054654386
58,1753146526,5.0,0.0,5.0,0.0,5.0,0.385136,0.184868,140.0,788.0,0.008771392351844936
59,1753146531,5.0,0.0,5.0,0.0,5.0,0.334899,0.333263,140.0,788.0,0.008587683985326226
60,1753146536,5.0,0.0,5.0,0.0,5.0,0.334899,0.333263,140.0,788.0,0.009189563288846712
61,1753146541,5.0,0.0,5.0,0.0,5.0,0.334899,0.333263,140.0,788.0,0.010145581696209795
62,1753146546,5.0,0.0,5.0,0.0,5.0,0.334899,0.333263,140.0,788.0,0.010110737761710944
63,1753146551,5.0,0.0,5.0,0.0,5.0,0.334899,0.333263,140.0,788.0,0.010241003932587148
64,1753146556,5.0,0.0,5.0,0.0,5.0,0.334899,0.333263,140.0,788.0,0.009602037694338766
65,1753146561,5.0,0.0,5.0,0.0,5.0,0.320777,0.009422,140.0,788.0,0.009391008031891097
66,1753146566,5.0,0.0,5.0,0.0,5.0,0.320777,0.009422,140.0,788.0,0.008925191268568168
67,1753146571,5.0,0.0,5.0,0.0,5.0,0.320777,0.009422,140.0,788.0,0.009826792761368781
68,1753146576,5.0,0.0,5.0,0.0,5.0,0.320777,0.009422,140.0,788.0,0.009310444701692544
69,1753146581,5.0,0.0,5.0,0.0,5.0,0.320777,0.009422,140.0,788.0,0.009507347510276942
70,1753146586,5.0,0.0,5.0,0.0,5.0,0.320777,0.009422,140.0,788.0,0.010069771333249728
71,1753146591,5.0,0.0,5.0,0.0,5.0,0.526155,0.479123,140.0,788.0,0.01010016193940319
72,1753146596,5.0,0.0,5.0,0.0,5.0,0.526155,0.479123,140.0,788.0,0.010001804902198682
73,1753146601,5.0,0.0,5.0,0.0,5.0,0.526155,0.479123,140.0,788.0,0.010303168091734772
74,1753146606,5.0,0.0,5.0,0.0,5.0,0.526155,0.479123,140.0,788.0,0.011153083261521975
75,1753146611,5.0,0.0,5.0,0.0,5.0,0.526155,0.479123,140.0,788.0,0.010042848361881535
76,1753146616,5.0,0.0,5.0,0.0,5.0,0.526155,0.479123,140.0,788.0,0.010792609775638496
77,1753146621,5.0,0.0,5.0,0.0,5.0,0.56965,0.17854,140.0,788.0,0.010735776907426902
78,1753146626,5.0,0.0,5.0,0.0,5.0,0.56965,0.17854,140.0,788.0,0.011124985608839498
79,1753146631,5.0,0.0,5.0,0.0,5.0,0.56965,0.17854,140.0,788.0,0.011250640346760137
80,1753146636,5.0,0.0,5.0,0.0,5.0,0.56965,0.17854,140.0,788.0,0.012945408150379803
81,1753146641,5.0,0.0,5.0,0.0,5.0,0.56965,0.17854,140.0,788.0,0.012653344323156996
82,1753146646,5.0,0.0,5.0,0.0,5.0,0.56965,0.17854,140.0,788.0,0.012558034063306543
83,1753146651,5.0,0.0,5.0,0.0,5.0,0.418959,0.659612,140.0,788.0,0.012886690226503733
84,1753146656,5.0,0.0,5.0,0.0,5.0,0.418959,0.659612,140.0,788.0,0.013815411648003154
85,1753146661,5.0,0.0,5.0,0.0,5.0,0.418959,0.659612,140.0,788.0,0.01476427062297455
86,1753146666,5.0,0.0,5.0,0.0,5.0,0.418959,0.659612,140.0,788.0,0.014928398776110043
87,1753146671,5.0,0.0,5.0,0.0,5.0,0.418959,0.659612,140.0,788.0,0.014395207072464859
88,1753146676,5.0,0.0,5.0,0.0,5.0,0.418959,0.659612,140.0,788.0,0.012436676123626998
