,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753111135,5.0,0.0,5.0,18.098349077547187,5.0,59.273956,103.449071,70.0,185.0,0.008263121901770722
1,1753111140,5.0,0.0,5.0,18.098349077547187,5.0,59.273956,103.449071,70.0,185.0,0.02225034346331877
2,1753111145,5.0,0.0,5.0,0.0,5.0,59.273956,103.449071,70.0,185.0,0.02983981377863302
3,1753111150,5.0,0.0,5.0,0.0,5.0,59.273956,103.449071,70.0,185.0,0.034074323264861685
4,1753111155,5.0,0.0,5.0,0.0,5.0,59.273956,103.449071,70.0,185.0,0.033611169200146826
5,1753111160,5.0,0.0,5.0,0.0,5.0,34.829519,39.0462,70.0,249.0,0.05456302701180664
6,1753111165,5.0,0.0,5.0,0.0,5.0,34.829519,39.0462,70.0,249.0,0.061392859781208925
7,1753111170,5.0,0.0,5.0,0.0,5.0,34.829519,39.0462,70.0,249.0,0.07377130899713663
8,1753111175,5.0,0.0,5.0,0.0,5.0,34.829519,39.0462,70.0,249.0,0.08237818470759069
9,1753111180,5.0,0.0,5.0,0.0,5.0,34.829519,39.0462,70.0,249.0,0.08662423214427042
10,1753111185,5.0,0.0,5.0,0.0,5.0,34.829519,39.0462,70.0,249.0,0.09267008909653088
11,1753111190,5.0,0.0,5.0,0.0,5.0,17.719976,88.101007,70.0,200.0,0.10445553937141484
12,1753111195,5.0,0.0,5.0,0.0,5.0,17.719976,88.101007,70.0,200.0,0.1046322791669727
13,1753111200,5.0,0.0,5.0,0.0,5.0,17.719976,88.101007,70.0,200.0,0.09730202339933058
14,1753111205,5.0,0.0,5.0,0.0,5.0,17.719976,88.101007,70.0,200.0,0.10876660451924469
15,1753111210,5.0,0.0,5.0,0.0,5.0,17.719976,88.101007,70.0,200.0,0.11176873511756615
16,1753111215,5.0,0.0,5.0,0.0,5.0,17.719976,88.101007,70.0,200.0,0.11180309966617547
17,1753111220,5.0,0.0,5.0,0.0,5.0,8.051268,0.431683,70.0,288.0,0.11120588549334237
