,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1753139531,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.07192993719361786
1,1753139536,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.05935286751262846
2,1753139541,5.0,0.0,5.0,0.0,5.0,1.087298,0.01362,70.0,288.0,0.058721839755559765
3,1753139546,5.0,0.0,5.0,0.0,5.0,1.087298,0.01362,70.0,288.0,0.06483236547204593
4,1753139551,5.0,0.0,5.0,0.0,5.0,1.087298,0.01362,70.0,288.0,0.05884630704778275
5,1753139556,5.0,0.0,5.0,0.0,5.0,1.087298,0.01362,70.0,288.0,0.06530860040006725
6,1753139561,5.0,0.0,5.0,0.0,5.0,1.087298,0.01362,70.0,288.0,0.06549939083344578
7,1753139566,5.0,0.0,5.0,0.0,5.0,1.087298,0.01362,70.0,288.0,0.05616847685813908
8,1753139571,5.0,0.0,5.0,0.0,5.0,0.546443,0.053922,70.0,288.0,0.026638404207718375
9,1753139576,5.0,0.0,5.0,0.0,5.0,0.546443,0.053922,70.0,288.0,0.028188211651658558
10,1753139581,5.0,0.0,5.0,0.0,5.0,0.546443,0.053922,70.0,288.0,0.030926718914410567
11,1753139586,5.0,0.0,5.0,0.0,5.0,0.546443,0.053922,70.0,288.0,0.03244917274311416
12,1753139591,5.0,0.0,5.0,0.0,5.0,0.546443,0.053922,70.0,288.0,0.0320451893287164
13,1753139596,5.0,0.0,5.0,0.0,5.0,0.546443,0.053922,70.0,288.0,0.03375029215339563
14,1753139601,5.0,0.0,5.0,0.0,5.0,0.047749,0.040881,70.0,288.0,0.03296410419458117
15,1753139606,5.0,0.0,5.0,0.0,5.0,0.047749,0.040881,70.0,288.0,0.03364776611347113
16,1753139611,5.0,0.0,5.0,0.0,5.0,0.047749,0.040881,70.0,288.0,0.03178116983505362
17,1753139616,5.0,0.0,5.0,0.0,5.0,0.047749,0.040881,70.0,288.0,0.03187363130079136
18,1753139621,5.0,0.0,5.0,0.0,5.0,0.047749,0.040881,70.0,288.0,0.02926885132764421
19,1753139626,5.0,0.0,5.0,0.0,5.0,0.047749,0.040881,70.0,288.0,0.030674469187512984
20,1753139631,5.0,0.0,5.0,0.0,5.0,0.045641,0.043186,70.0,288.0,0.031919222884465644
21,1753139636,5.0,0.0,5.0,0.0,5.0,0.045641,0.043186,70.0,288.0,0.031927466023501855
22,1753139641,5.0,0.0,5.0,0.0,5.0,0.045641,0.043186,70.0,288.0,0.03235302805176227
23,1753139646,5.0,0.0,5.0,0.0,5.0,0.045641,0.043186,70.0,288.0,0.032409794154838946
24,1753139651,5.0,0.0,5.0,0.0,5.0,0.045641,0.043186,70.0,288.0,0.030494281780979727
25,1753139656,5.0,0.0,5.0,0.0,5.0,0.045641,0.043186,70.0,288.0,0.03263955800561749
26,1753139661,5.0,0.0,5.0,0.0,5.0,0.046504,0.057871,70.0,288.0,0.0342192148270321
27,1753139666,5.0,0.0,5.0,0.0,5.0,0.046504,0.057871,70.0,288.0,0.035200268026589286
28,1753139671,5.0,0.0,5.0,0.0,5.0,0.046504,0.057871,70.0,288.0,0.038237844150245934
