,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753140385,5.0,0.0,5.0,14.934671378035818,5.0,34.950001,34.950001,42.0,54.0,0.05845983542413659
1,1753140390,5.0,0.0,5.0,14.934671378035818,5.0,34.950001,34.950001,42.0,54.0,0.08694318187236387
2,1753140395,5.0,0.0,5.0,0.0,5.0,34.950001,34.950001,42.0,54.0,0.11571905133573002
3,1753140400,5.0,0.0,5.0,0.0,5.0,34.950001,34.950001,42.0,54.0,0.10481066339642067
4,1753140405,5.0,0.0,5.0,0.0,5.0,34.950001,34.950001,42.0,54.0,0.11840025424889812
5,1753140410,5.0,0.0,5.0,0.0,5.0,33.183341,32.603436,42.0,56.0,0.12756601633094594
6,1753140415,5.0,0.0,5.0,0.0,5.0,33.183341,32.603436,42.0,56.0,0.12886721622187491
7,1753140420,5.0,0.0,5.0,0.0,5.0,33.183341,32.603436,42.0,56.0,0.13344049536231406
8,1753140425,5.0,0.0,5.0,0.0,5.0,33.183341,32.603436,42.0,56.0,0.11147036560512848
9,1753140430,5.0,0.0,5.0,0.0,5.0,33.183341,32.603436,42.0,56.0,0.1164347976034186
10,1753140435,5.0,0.0,5.0,0.0,5.0,33.183341,32.603436,42.0,56.0,0.12280033217288451
11,1753140440,5.0,0.0,5.0,0.0,5.0,22.12269,0.403144,42.0,88.0,0.10271008845733788
12,1753140445,5.0,0.0,5.0,0.0,5.0,22.12269,0.403144,42.0,88.0,0.11326471337640548
13,1753140450,5.0,0.0,5.0,0.0,5.0,22.12269,0.403144,42.0,88.0,0.11564796463080156
14,1753140455,5.0,0.0,5.0,0.0,5.0,22.12269,0.403144,42.0,88.0,0.12391064139316305
15,1753140460,5.0,0.0,5.0,0.0,5.0,22.12269,0.403144,42.0,88.0,0.12607895023444646
16,1753140465,5.0,0.0,5.0,0.0,5.0,22.12269,0.403144,42.0,88.0,0.1257118981617777
17,1753140470,5.0,0.0,5.0,0.0,5.0,15.435521,0.476541,42.0,88.0,0.12405047831616818
18,1753140475,5.0,0.0,5.0,0.0,5.0,15.435521,0.476541,42.0,88.0,0.13899584757423267
19,1753140480,5.0,0.0,5.0,0.0,5.0,15.435521,0.476541,42.0,88.0,0.13930875862923514
20,1753140485,5.0,0.0,5.0,0.0,5.0,15.435521,0.476541,42.0,88.0,0.13887723039722405
21,1753140490,5.0,0.0,5.0,0.0,5.0,15.435521,0.476541,42.0,88.0,0.14543777326553806
22,1753140495,5.0,0.0,5.0,0.0,5.0,15.435521,0.476541,42.0,88.0,0.1445838898430997
23,1753140500,5.0,0.0,5.0,0.0,5.0,5.321025,0.716723,42.0,88.0,0.1444225076996667
24,1753140505,5.0,0.0,5.0,0.0,5.0,5.321025,0.716723,42.0,88.0,0.14973761879166655
25,1753140510,5.0,0.0,5.0,0.0,5.0,5.321025,0.716723,42.0,88.0,0.15781083696440326
26,1753140515,5.0,0.0,5.0,0.0,5.0,5.321025,0.716723,42.0,88.0,0.16350542200912405
27,1753140520,5.0,0.0,5.0,0.0,5.0,5.321025,0.716723,42.0,88.0,0.16642064324008282
28,1753140525,5.0,0.0,5.0,0.0,5.0,5.321025,0.716723,42.0,88.0,0.17003972095447187
29,1753140530,5.0,0.0,5.0,0.0,5.0,3.726684,0.852574,42.0,88.0,0.16723646688868052
30,1753140535,5.0,0.0,5.0,0.0,5.0,3.726684,0.852574,42.0,88.0,0.17081889531658664
31,1753140540,5.0,0.0,5.0,0.0,5.0,3.726684,0.852574,42.0,88.0,0.1765000557318203
32,1753140545,5.0,0.0,5.0,0.0,5.0,3.726684,0.852574,42.0,88.0,0.17245868180360668
33,1753140550,5.0,0.0,5.0,0.0,5.0,3.726684,0.852574,42.0,88.0,0.17487955735943306
34,1753140555,5.0,0.0,5.0,0.0,5.0,3.726684,0.852574,42.0,88.0,0.17295180358119355
35,1753140560,5.0,0.0,5.0,0.0,5.0,0.706358,0.580612,42.0,88.0,0.1696562711036721
36,1753140565,5.0,0.0,5.0,0.0,5.0,0.706358,0.580612,42.0,88.0,0.1614233607001177
37,1753140570,5.0,0.0,5.0,0.0,5.0,0.706358,0.580612,42.0,88.0,0.17123759556599366
38,1753140575,5.0,0.0,5.0,0.0,5.0,0.706358,0.580612,42.0,88.0,0.1711362999033939
39,1753140580,5.0,0.0,5.0,0.0,5.0,0.706358,0.580612,42.0,88.0,0.16268073990868415
40,1753140585,5.0,0.0,5.0,0.0,5.0,0.706358,0.580612,42.0,88.0,0.17111770266668794
41,1753140590,5.0,0.0,5.0,0.0,5.0,0.73165,0.778605,42.0,88.0,0.17703617587388887
42,1753140595,5.0,0.0,5.0,0.0,5.0,0.73165,0.778605,42.0,88.0,0.18396062323443657
43,1753140600,5.0,0.0,5.0,0.0,5.0,0.73165,0.778605,42.0,88.0,0.18799904880612647
44,1753140605,5.0,0.0,5.0,0.0,5.0,0.73165,0.778605,42.0,88.0,0.18875491507290282
45,1753140610,5.0,0.0,5.0,0.0,5.0,0.73165,0.778605,42.0,88.0,0.18230282588808597
46,1753140615,5.0,0.0,5.0,0.0,5.0,0.73165,0.778605,42.0,88.0,0.1948389677115248
47,1753140620,5.0,0.0,5.0,0.0,5.0,0.789717,1.072286,42.0,87.0,0.19679043627445544
48,1753140625,5.0,0.0,5.0,0.0,5.0,0.789717,1.072286,42.0,87.0,0.1926419362034525
49,1753140630,5.0,0.0,5.0,0.0,5.0,0.789717,1.072286,42.0,87.0,0.19978684586677214
50,1753140635,5.0,0.0,5.0,0.0,5.0,0.789717,1.072286,42.0,87.0,0.186910852800593
51,1753140640,5.0,0.0,5.0,0.0,5.0,0.789717,1.072286,42.0,87.0,0.19095379014628955
52,1753140645,5.0,0.0,5.0,0.0,5.0,0.789717,1.072286,42.0,87.0,0.18908006623727275
53,1753140650,5.0,0.0,5.0,0.0,5.0,0.831524,0.757799,42.0,88.0,0.18281861791910825
54,1753140655,5.0,0.0,5.0,0.0,5.0,0.831524,0.757799,42.0,88.0,0.18693097030871342
55,1753140660,5.0,0.0,5.0,0.0,5.0,0.831524,0.757799,42.0,88.0,0.1889041439973777
56,1753140665,5.0,0.0,5.0,0.0,5.0,0.831524,0.757799,42.0,88.0,0.18087351461702883
57,1753140670,5.0,0.0,5.0,0.0,5.0,0.831524,0.757799,42.0,88.0,0.18685837117485257
58,1753140675,5.0,0.0,5.0,0.0,5.0,0.831524,0.757799,42.0,88.0,0.17949691723426597
59,1753140680,5.0,0.0,5.0,0.0,5.0,0.836095,0.765638,42.0,88.0,0.1777198954568003
60,1753140685,5.0,0.0,5.0,0.0,5.0,0.836095,0.765638,42.0,88.0,0.18180432684172296
61,1753140690,5.0,0.0,5.0,0.0,5.0,0.836095,0.765638,42.0,88.0,0.17764521540953826
62,1753140695,5.0,0.0,5.0,0.0,5.0,0.836095,0.765638,42.0,88.0,0.1773335719147322
63,1753140700,5.0,0.0,5.0,0.0,5.0,0.836095,0.765638,42.0,88.0,0.16579673514503512
64,1753140705,5.0,0.0,5.0,0.0,5.0,0.836095,0.765638,42.0,88.0,0.17100446928696003
65,1753140710,5.0,0.0,5.0,0.0,5.0,0.713604,0.594103,42.0,88.0,0.16759837847587383
66,1753140715,5.0,0.0,5.0,0.0,5.0,0.713604,0.594103,42.0,88.0,0.16557063279076334
67,1753140720,5.0,0.0,5.0,0.0,5.0,0.713604,0.594103,42.0,88.0,0.1556000656513014
68,1753140725,5.0,0.0,5.0,0.0,5.0,0.713604,0.594103,42.0,88.0,0.16226773473124234
69,1753140730,5.0,0.0,5.0,0.0,5.0,0.713604,0.594103,42.0,88.0,0.15561865312776646
70,1753140735,5.0,0.0,5.0,0.0,5.0,0.713604,0.594103,42.0,88.0,0.15481613807361091
71,1753140740,5.0,0.0,5.0,0.0,5.0,0.674817,0.681518,42.0,88.0,0.16712760843644076
72,1753140745,5.0,0.0,5.0,0.0,5.0,0.674817,0.681518,42.0,88.0,0.16856433797851028
73,1753140750,5.0,0.0,5.0,0.0,5.0,0.674817,0.681518,42.0,88.0,0.17159548742589004
74,1753140755,5.0,0.0,5.0,0.0,5.0,0.674817,0.681518,42.0,88.0,0.1744152453804834
75,1753140760,5.0,0.0,5.0,0.0,5.0,0.674817,0.681518,42.0,88.0,0.17372675399665416
76,1753140765,5.0,0.0,5.0,0.0,5.0,0.674817,0.681518,42.0,88.0,0.1612172327162109
77,1753140770,5.0,0.0,5.0,0.0,5.0,5.978237,28.56751,42.0,60.0,0.15819239256900205
78,1753140775,5.0,0.0,5.0,0.0,5.0,5.978237,28.56751,42.0,60.0,0.16049687371691645
79,1753140780,5.0,0.0,5.0,0.0,5.0,5.978237,28.56751,42.0,60.0,0.1581724798274846
80,1753140785,5.0,0.0,5.0,186.10540088770637,5.0,5.978237,28.56751,42.0,60.0,0.13676043195685633
81,1753140790,5.0,0.0,5.0,186.10540088770637,5.0,5.978237,28.56751,42.0,60.0,0.11097074175664114
82,1753140795,5.0,0.0,5.0,186.10540088770637,5.0,5.978237,28.56751,42.0,60.0,0.16393836601481318
83,1753140800,5.0,0.0,5.0,186.10540088770637,5.0,86.443089,276.609423,42.0,-188.0,0.20757900177440738
84,1753140805,5.0,0.0,5.0,186.10540088770637,5.0,86.443089,276.609423,42.0,-188.0,0.2036365022955941
85,1753140810,5.0,0.0,5.0,186.10540088770637,5.0,86.443089,276.609423,42.0,-188.0,0.20523552619315497
86,1753140815,5.0,0.0,5.0,362.00786287629245,5.0,86.443089,276.609423,42.0,-188.0,0.4212288590465208
87,1753140820,5.0,0.0,5.0,362.00786287629245,5.0,86.443089,276.609423,42.0,-188.0,0.4149572640132007
88,1753140825,5.0,0.0,5.0,362.00786287629245,5.0,86.443089,276.609423,42.0,-188.0,0.4718276952650263
89,1753140830,12.0,0.0,12.0,362.00786287629245,12.0,200.883267,249.321753,42.0,259.0,0.6513015180807616
90,1753140835,12.0,0.0,12.0,362.00786287629245,12.0,200.883267,249.321753,42.0,259.0,0.7281196704911587
91,1753140840,12.0,0.0,12.0,362.00786287629245,12.0,200.883267,249.321753,42.0,259.0,0.9195857008499102
92,1753140845,12.0,0.0,12.0,0.0,12.0,200.883267,249.321753,42.0,259.0,0.8788315726875148
93,1753140850,12.0,0.0,12.0,0.0,12.0,200.883267,249.321753,42.0,259.0,0.9279112519405692
94,1753140855,12.0,0.0,12.0,0.0,12.0,200.883267,249.321753,42.0,259.0,0.7931936007264259
95,1753140860,12.0,0.0,12.0,0.0,12.0,232.892248,185.608702,42.0,323.0,0.7445871382227375
