,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753111962,0.0,0.0,0.0,0.870401732247341,0.0,0.0,0.0,70.0,-211.0,0.04744598442963971
1,1753111967,5.0,0.0,5.0,0.870401732247341,5.0,16.593695,0.117289,70.0,288.0,0.05515378193740172
2,1753111972,5.0,0.0,5.0,0.870401732247341,5.0,16.593695,0.117289,70.0,288.0,0.05597069813681056
3,1753111977,5.0,0.0,5.0,0.870401732247341,5.0,16.593695,0.117289,70.0,288.0,0.057828656790599044
4,1753111982,5.0,0.0,5.0,0.870401732247341,5.0,16.593695,0.117289,70.0,288.0,0.06338510931928608
5,1753111987,5.0,0.0,5.0,0.0,5.0,16.593695,0.117289,70.0,288.0,0.06313239596579107
6,1753111992,5.0,0.0,5.0,0.0,5.0,16.593695,0.117289,70.0,288.0,0.06640737372481545
7,1753111997,5.0,0.0,5.0,0.0,5.0,7.751937,0.086927,70.0,288.0,0.06490077346190251
8,1753112002,5.0,0.0,5.0,0.0,5.0,7.751937,0.086927,70.0,288.0,0.033918821277482594
9,1753112007,5.0,0.0,5.0,0.0,5.0,7.751937,0.086927,70.0,288.0,0.03622398984299031
10,1753112012,5.0,0.0,5.0,0.0,5.0,7.751937,0.086927,70.0,288.0,0.0346173950955979
11,1753112017,5.0,0.0,5.0,0.0,5.0,7.751937,0.086927,70.0,288.0,0.035251673577842785
12,1753112022,5.0,0.0,5.0,0.0,5.0,7.751937,0.086927,70.0,288.0,0.03376621078083098
13,1753112027,5.0,0.0,5.0,0.0,5.0,0.094697,0.060273,70.0,288.0,0.034468358519986086
14,1753112032,5.0,0.0,5.0,0.0,5.0,0.094697,0.060273,70.0,288.0,0.03493723792423423
15,1753112037,5.0,0.0,5.0,0.0,5.0,0.094697,0.060273,70.0,288.0,0.0370420975652595
16,1753112042,5.0,0.0,5.0,0.0,5.0,0.094697,0.060273,70.0,288.0,0.039844601639246344
17,1753112047,5.0,0.0,5.0,0.0,5.0,0.094697,0.060273,70.0,288.0,0.04055470451022036
18,1753112052,5.0,0.0,5.0,0.0,5.0,0.094697,0.060273,70.0,288.0,0.04166108882172809
19,1753112057,5.0,0.0,5.0,0.0,5.0,0.085259,0.059247,70.0,288.0,0.03841689678418736
20,1753112062,5.0,0.0,5.0,0.0,5.0,0.085259,0.059247,70.0,288.0,0.0390938062070377
21,1753112067,5.0,0.0,5.0,0.0,5.0,0.085259,0.059247,70.0,288.0,0.03905104744099286
22,1753112072,5.0,0.0,5.0,0.0,5.0,0.085259,0.059247,70.0,288.0,0.03726445821144968
23,1753112077,5.0,0.0,5.0,0.0,5.0,0.085259,0.059247,70.0,288.0,0.03382474528259128
24,1753112082,5.0,0.0,5.0,0.0,5.0,0.085259,0.059247,70.0,288.0,0.031507448001884195
25,1753112087,5.0,0.0,5.0,0.0,5.0,0.072544,0.075345,70.0,288.0,0.030944544032101937
26,1753112092,5.0,0.0,5.0,0.0,5.0,0.072544,0.075345,70.0,288.0,0.031103725457704852
27,1753112097,5.0,0.0,5.0,0.0,5.0,0.072544,0.075345,70.0,288.0,0.03133489671184003
28,1753112102,5.0,0.0,5.0,0.0,5.0,0.072544,0.075345,70.0,288.0,0.03302990037386701
29,1753112107,5.0,0.0,5.0,0.0,5.0,0.072544,0.075345,70.0,288.0,0.039038112380506085
30,1753112112,5.0,0.0,5.0,0.0,5.0,0.072544,0.075345,70.0,288.0,0.03909053993097715
31,1753112117,5.0,0.0,5.0,0.0,5.0,0.083979,0.101022,70.0,288.0,0.04630847226405693
32,1753112122,5.0,0.0,5.0,0.0,5.0,0.083979,0.101022,70.0,288.0,0.05077643199217424
33,1753112127,5.0,0.0,5.0,0.0,5.0,0.083979,0.101022,70.0,288.0,0.05353512480047049
34,1753112132,5.0,0.0,5.0,0.0,5.0,0.083979,0.101022,70.0,288.0,0.05641856014331541
35,1753112137,5.0,0.0,5.0,0.0,5.0,0.083979,0.101022,70.0,288.0,0.064645731081481
36,1753112142,5.0,0.0,5.0,0.0,5.0,0.083979,0.101022,70.0,288.0,0.06683794979469167
37,1753112147,5.0,0.0,5.0,0.0,5.0,0.096877,0.084817,70.0,288.0,0.0660657574686169
38,1753112152,5.0,0.0,5.0,0.0,5.0,0.096877,0.084817,70.0,288.0,0.06904583940285383
39,1753112157,5.0,0.0,5.0,0.0,5.0,0.096877,0.084817,70.0,288.0,0.06871715346438773
40,1753112162,5.0,0.0,5.0,0.0,5.0,0.096877,0.084817,70.0,288.0,0.06462643081411011
41,1753112167,5.0,0.0,5.0,0.0,5.0,0.096877,0.084817,70.0,288.0,0.06323050152299076
42,1753112172,5.0,0.0,5.0,0.0,5.0,0.096877,0.084817,70.0,288.0,0.06443899260475972
43,1753112177,5.0,0.0,5.0,0.0,5.0,0.087687,0.082595,70.0,288.0,0.0637693126920174
44,1753112182,5.0,0.0,5.0,0.0,5.0,0.087687,0.082595,70.0,288.0,0.06243096011517639
45,1753112187,5.0,0.0,5.0,0.0,5.0,0.087687,0.082595,70.0,288.0,0.06202640741020998
46,1753112192,5.0,0.0,5.0,0.0,5.0,0.087687,0.082595,70.0,288.0,0.0618243596938004
47,1753112197,5.0,0.0,5.0,0.0,5.0,0.087687,0.082595,70.0,288.0,0.05823208249706022
48,1753112202,5.0,0.0,5.0,0.0,5.0,0.087687,0.082595,70.0,288.0,0.0632775989156222
49,1753112207,5.0,0.0,5.0,0.0,5.0,0.096887,0.163306,70.0,288.0,0.061515039258710394
50,1753112212,5.0,0.0,5.0,0.0,5.0,0.096887,0.163306,70.0,288.0,0.07164988434205599
51,1753112217,5.0,0.0,5.0,0.0,5.0,0.096887,0.163306,70.0,288.0,0.07355466921809511
52,1753112222,5.0,0.0,5.0,0.0,5.0,0.096887,0.163306,70.0,288.0,0.07848729411534257
53,1753112227,5.0,0.0,5.0,0.0,5.0,0.096887,0.163306,70.0,288.0,0.08195572813611153
54,1753112232,5.0,0.0,5.0,0.0,5.0,0.096887,0.163306,70.0,288.0,0.09167414728892745
55,1753112237,5.0,0.0,5.0,0.0,5.0,0.151342,0.168678,70.0,288.0,0.09372335285155606
56,1753112242,5.0,0.0,5.0,0.0,5.0,0.151342,0.168678,70.0,288.0,0.09578289427804745
57,1753112247,5.0,0.0,5.0,0.0,5.0,0.151342,0.168678,70.0,288.0,0.09721483376179804
58,1753112252,5.0,0.0,5.0,0.0,5.0,0.151342,0.168678,70.0,288.0,0.10070193357243584
59,1753112257,5.0,0.0,5.0,0.0,5.0,0.151342,0.168678,70.0,288.0,0.09931713818775664
60,1753112262,5.0,0.0,5.0,0.0,5.0,0.151342,0.168678,70.0,288.0,0.09382286420098142
61,1753112267,5.0,0.0,5.0,0.0,5.0,0.157898,0.11344,70.0,288.0,0.09044116514893423
