,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1753179603,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.23224467905085927
1,1753179608,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.32878148057014056
2,1753179613,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.25621033246725766
3,1753179618,5.0,0.0,5.0,0.0,5.0,0.325443,0.001067,70.0,288.0,0.2119819626056561
4,1753179623,5.0,0.0,5.0,0.0,5.0,0.325443,0.001067,70.0,288.0,0.23387193046917565
5,1753179628,5.0,0.0,5.0,0.0,5.0,0.325443,0.001067,70.0,288.0,0.22909981367056953
6,1753179633,5.0,0.0,5.0,0.0,5.0,0.325443,0.001067,70.0,288.0,0.21848702848569265
7,1753179638,5.0,0.0,5.0,0.0,5.0,0.325443,0.001067,70.0,288.0,0.21349321731104834
8,1753179643,5.0,0.0,5.0,0.0,5.0,0.325443,0.001067,70.0,288.0,0.22549280350120293
9,1753179648,5.0,0.0,5.0,0.0,5.0,0.14905,0.003246,70.0,288.0,0.004770194238743738
10,1753179653,5.0,0.0,5.0,0.0,5.0,0.14905,0.003246,70.0,288.0,0.004852039218044051
11,1753179658,5.0,0.0,5.0,0.0,5.0,0.14905,0.003246,70.0,288.0,0.0045960827899111135
12,1753179663,5.0,0.0,5.0,0.0,5.0,0.14905,0.003246,70.0,288.0,0.0042712609375663525
13,1753179668,5.0,0.0,5.0,0.0,5.0,0.14905,0.003246,70.0,288.0,0.00574919179580485
14,1753179673,5.0,0.0,5.0,0.0,5.0,0.14905,0.003246,70.0,288.0,0.005744062598221233
15,1753179678,5.0,0.0,5.0,0.0,5.0,0.001327,0.003995,70.0,288.0,0.005698011986174852
16,1753179683,5.0,0.0,5.0,0.0,5.0,0.001327,0.003995,70.0,288.0,0.005381970775720032
17,1753179688,5.0,0.0,5.0,0.0,5.0,0.001327,0.003995,70.0,288.0,0.0056114554885223975
18,1753179693,5.0,0.0,5.0,0.0,5.0,0.001327,0.003995,70.0,288.0,0.00608361505209583
19,1753179698,5.0,0.0,5.0,0.0,5.0,0.001327,0.003995,70.0,288.0,0.006124746436995605
20,1753179703,5.0,0.0,5.0,0.0,5.0,0.001327,0.003995,70.0,288.0,0.005688672009658185
21,1753179708,5.0,0.0,5.0,0.0,5.0,0.001174,0.001006,70.0,288.0,0.006009703342291553
22,1753179713,5.0,0.0,5.0,0.0,5.0,0.001174,0.001006,70.0,288.0,0.004749020377799324
23,1753179718,5.0,0.0,5.0,0.0,5.0,0.001174,0.001006,70.0,288.0,0.005101064188044655
24,1753179723,5.0,0.0,5.0,0.0,5.0,0.001174,0.001006,70.0,288.0,0.006045359967768615
25,1753179728,5.0,0.0,5.0,0.0,5.0,0.001174,0.001006,70.0,288.0,0.00785764715881994
26,1753179733,5.0,0.0,5.0,0.0,5.0,0.001174,0.001006,70.0,288.0,0.007920473029219369
27,1753179738,5.0,0.0,5.0,0.0,5.0,0.001429,0.002573,70.0,288.0,0.008002755145984508
28,1753179743,5.0,0.0,5.0,0.0,5.0,0.001429,0.002573,70.0,288.0,0.0076487820649550585
29,1753179748,5.0,0.0,5.0,0.0,5.0,0.001429,0.002573,70.0,288.0,0.00806507313018872
30,1753179753,5.0,0.0,5.0,0.0,5.0,0.001429,0.002573,70.0,288.0,0.008181490027060555
31,1753179758,5.0,0.0,5.0,0.0,5.0,0.001429,0.002573,70.0,288.0,0.008410689085711808
32,1753179763,5.0,0.0,5.0,0.0,5.0,0.001429,0.002573,70.0,288.0,0.00740879411133127
33,1753179768,5.0,0.0,5.0,0.0,5.0,0.002461,0.003906,70.0,288.0,0.005176761038108044
34,1753179773,5.0,0.0,5.0,0.0,5.0,0.002461,0.003906,70.0,288.0,0.004710425788398805
35,1753179778,5.0,0.0,5.0,0.0,5.0,0.002461,0.003906,70.0,288.0,0.004639406047990948
36,1753179783,5.0,0.0,5.0,0.0,5.0,0.002461,0.003906,70.0,288.0,0.005121162316028113
37,1753179788,5.0,0.0,5.0,0.0,5.0,0.002461,0.003906,70.0,288.0,0.004865117672234731
38,1753179793,5.0,0.0,5.0,0.0,5.0,0.002461,0.003906,70.0,288.0,0.004558155583494246
39,1753179798,5.0,0.0,5.0,0.0,5.0,0.002438,0.003647,70.0,288.0,0.004407125444877678
40,1753179803,5.0,0.0,5.0,0.0,5.0,0.002438,0.003647,70.0,288.0,0.0042067983103562315
