,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753180674,5.0,0.0,5.0,37.723777498537906,5.0,58.518653,44.556692,70.0,244.0,0.03221347922571962
1,1753180679,5.0,0.0,5.0,37.723777498537906,5.0,58.518653,44.556692,70.0,244.0,0.04281587180694937
2,1753180684,5.0,0.0,5.0,0.0,5.0,58.518653,44.556692,70.0,244.0,0.05585111725854751
3,1753180689,5.0,0.0,5.0,0.0,5.0,58.518653,44.556692,70.0,244.0,0.06834394333593222
4,1753180694,5.0,0.0,5.0,0.0,5.0,58.518653,44.556692,70.0,244.0,0.08059497015253791
5,1753180699,5.0,0.0,5.0,0.0,5.0,104.203399,82.697091,70.0,206.0,0.14389338542639438
6,1753180704,5.0,0.0,5.0,0.0,5.0,104.203399,82.697091,70.0,206.0,0.1587893413651489
7,1753180709,5.0,0.0,5.0,0.0,5.0,104.203399,82.697091,70.0,206.0,0.17145668956222876
8,1753180714,5.0,0.0,5.0,0.0,5.0,104.203399,82.697091,70.0,206.0,0.2908347689928776
9,1753180719,5.0,0.0,5.0,0.0,5.0,104.203399,82.697091,70.0,206.0,0.4285126047364328
10,1753180724,5.0,0.0,5.0,0.0,5.0,104.203399,82.697091,70.0,206.0,0.4944125129323097
11,1753180729,5.0,0.0,5.0,0.0,5.0,78.541574,5.90719,70.0,283.0,0.5430724156461728
12,1753180734,5.0,0.0,5.0,0.0,5.0,78.541574,5.90719,70.0,283.0,0.5608985534019819
13,1753180739,5.0,0.0,5.0,0.0,5.0,78.541574,5.90719,70.0,283.0,0.6971090200312519
14,1753180744,5.0,0.0,5.0,0.0,5.0,78.541574,5.90719,70.0,283.0,0.727605784307828
15,1753180749,5.0,0.0,5.0,0.0,5.0,78.541574,5.90719,70.0,283.0,0.7825196189405084
16,1753180754,5.0,0.0,5.0,0.0,5.0,78.541574,5.90719,70.0,283.0,0.7255296413815168
17,1753180759,5.0,0.0,5.0,0.0,5.0,19.493458,47.271782,70.0,241.0,0.6810879263890426
18,1753180764,5.0,0.0,5.0,0.0,5.0,19.493458,47.271782,70.0,241.0,0.6467298927886975
19,1753180769,5.0,0.0,5.0,0.0,5.0,19.493458,47.271782,70.0,241.0,0.6296676987391696
20,1753180774,5.0,0.0,5.0,0.0,5.0,19.493458,47.271782,70.0,241.0,0.4946833844315493
21,1753180779,5.0,0.0,5.0,0.0,5.0,19.493458,47.271782,70.0,241.0,0.3568261475488224
22,1753180784,5.0,0.0,5.0,0.0,5.0,19.493458,47.271782,70.0,241.0,0.32087923070459484
23,1753180789,5.0,0.0,5.0,0.0,5.0,87.880579,288.36872,70.0,0.0,0.24283889220227128
24,1753180794,5.0,0.0,5.0,0.0,5.0,87.880579,288.36872,70.0,0.0,0.21180040943817746
25,1753180799,5.0,0.0,5.0,0.0,5.0,87.880579,288.36872,70.0,0.0,0.09767527906242324
26,1753180804,5.0,0.0,5.0,0.0,5.0,87.880579,288.36872,70.0,0.0,0.07054410837669567
27,1753180809,5.0,0.0,5.0,0.0,5.0,87.880579,288.36872,70.0,0.0,0.06643206133513704
28,1753180814,5.0,0.0,5.0,0.0,5.0,87.880579,288.36872,70.0,0.0,0.06978329532795861
29,1753180819,5.0,0.0,5.0,0.0,5.0,188.210049,311.684946,70.0,-23.0,0.07854168321573687
30,1753180824,5.0,0.0,5.0,0.0,5.0,188.210049,311.684946,70.0,-23.0,0.1297984455307634
31,1753180829,5.0,0.0,5.0,0.0,5.0,188.210049,311.684946,70.0,-23.0,0.1478390572242067
32,1753180834,5.0,0.0,5.0,0.0,5.0,188.210049,311.684946,70.0,-23.0,0.22616456683918432
33,1753180839,5.0,0.0,5.0,0.0,5.0,188.210049,311.684946,70.0,-23.0,0.25911681655042657
34,1753180844,5.0,0.0,5.0,0.0,5.0,188.210049,311.684946,70.0,-23.0,0.3747978486636605
35,1753180849,5.0,0.0,5.0,0.0,5.0,132.713142,9.367332,70.0,279.0,0.5030604925045746
36,1753180854,5.0,0.0,5.0,0.0,5.0,132.713142,9.367332,70.0,279.0,0.5708418238975108
37,1753180859,5.0,0.0,5.0,0.0,5.0,132.713142,9.367332,70.0,279.0,0.6071570199846112
38,1753180864,5.0,0.0,5.0,0.0,5.0,132.713142,9.367332,70.0,279.0,0.7988068284036817
39,1753180869,5.0,0.0,5.0,0.0,5.0,132.713142,9.367332,70.0,279.0,0.8262293094392623
40,1753180874,5.0,0.0,5.0,0.0,5.0,132.713142,9.367332,70.0,279.0,0.8333392173550954
41,1753180879,5.0,0.0,5.0,0.0,5.0,33.907356,8.31951,70.0,280.0,0.9623331973626796
42,1753180884,5.0,0.0,5.0,0.0,5.0,33.907356,8.31951,70.0,280.0,0.9144635442457808
43,1753180889,5.0,0.0,5.0,0.0,5.0,33.907356,8.31951,70.0,280.0,0.8909775790673644
44,1753180894,5.0,0.0,5.0,48.02093378046382,5.0,33.907356,8.31951,70.0,280.0,0.6945448870763602
45,1753180899,5.0,0.0,5.0,48.02093378046382,5.0,33.907356,8.31951,70.0,280.0,0.690699847877372
46,1753180904,5.0,0.0,5.0,48.02093378046382,5.0,33.907356,8.31951,70.0,280.0,0.5496532454958823
47,1753180909,5.0,0.0,5.0,48.02093378046382,5.0,128.476641,134.51781,70.0,154.0,0.4986936227068034
48,1753180914,5.0,0.0,5.0,48.02093378046382,5.0,128.476641,134.51781,70.0,154.0,0.48898093406962173
49,1753180919,5.0,0.0,5.0,48.02093378046382,5.0,128.476641,134.51781,70.0,154.0,0.500880255354297
50,1753180924,5.0,0.0,5.0,0.0,5.0,128.476641,134.51781,70.0,154.0,0.48313698083811796
51,1753180929,5.0,0.0,5.0,0.0,5.0,128.476641,134.51781,70.0,154.0,0.4949618503889524
52,1753180934,5.0,0.0,5.0,0.0,5.0,128.476641,134.51781,70.0,154.0,0.5719426670885237
53,1753180939,5.0,0.0,5.0,0.0,5.0,138.979634,18.545284,70.0,270.0,0.7244098978800048
54,1753180944,5.0,0.0,5.0,0.0,5.0,138.979634,18.545284,70.0,270.0,0.7225633056022036
55,1753180949,5.0,0.0,5.0,0.0,5.0,138.979634,18.545284,70.0,270.0,0.8475145189833917
56,1753180954,5.0,0.0,5.0,0.0,5.0,138.979634,18.545284,70.0,270.0,0.8811458125227022
57,1753180959,5.0,0.0,5.0,0.0,5.0,138.979634,18.545284,70.0,270.0,0.9614058613282332
58,1753180964,5.0,0.0,5.0,0.0,5.0,138.979634,18.545284,70.0,270.0,0.9401787163888612
59,1753180969,5.0,0.0,5.0,0.0,5.0,37.343161,120.765946,70.0,168.0,0.8123029088292276
60,1753180974,5.0,0.0,5.0,0.0,5.0,37.343161,120.765946,70.0,168.0,0.8007753075830659
61,1753180979,5.0,0.0,5.0,0.0,5.0,37.343161,120.765946,70.0,168.0,0.6193925922950069
62,1753180984,5.0,0.0,5.0,92.61076974752832,5.0,37.343161,120.765946,70.0,168.0,0.5374797911054288
63,1753180989,5.0,0.0,5.0,92.61076974752832,5.0,37.343161,120.765946,70.0,168.0,0.5023827314030185
64,1753180994,5.0,0.0,5.0,92.61076974752832,5.0,37.343161,120.765946,70.0,168.0,0.47650537651935926
65,1753180999,5.0,0.0,5.0,92.61076974752832,5.0,137.310593,73.843207,70.0,215.0,0.3949755080393508
66,1753181004,5.0,0.0,5.0,92.61076974752832,5.0,137.310593,73.843207,70.0,215.0,0.4760607038883911
67,1753181009,5.0,0.0,5.0,92.61076974752832,5.0,137.310593,73.843207,70.0,215.0,0.5669544722217855
68,1753181014,5.0,0.0,5.0,0.0,5.0,137.310593,73.843207,70.0,215.0,0.6477241515803571
69,1753181019,5.0,0.0,5.0,0.0,5.0,137.310593,73.843207,70.0,215.0,0.7986407837681953
70,1753181024,5.0,0.0,5.0,0.0,5.0,137.310593,73.843207,70.0,215.0,0.8573938747821347
71,1753181029,5.0,0.0,5.0,0.0,5.0,123.502865,10.297648,70.0,278.0,0.9867336680893837
72,1753181034,5.0,0.0,5.0,0.0,5.0,123.502865,10.297648,70.0,278.0,1.0222806675393883
73,1753181039,5.0,0.0,5.0,0.0,5.0,123.502865,10.297648,70.0,278.0,1.0640882136250964
74,1753181044,5.0,0.0,5.0,0.0,5.0,123.502865,10.297648,70.0,278.0,0.9975082487208919
75,1753181049,5.0,0.0,5.0,0.0,5.0,123.502865,10.297648,70.0,278.0,0.9399858995710528
76,1753181054,5.0,0.0,5.0,0.0,5.0,123.502865,10.297648,70.0,278.0,0.8919423076984394
77,1753181059,5.0,0.0,5.0,0.0,5.0,44.544534,218.372814,70.0,70.0,0.8414951841507688
78,1753181064,5.0,0.0,5.0,0.0,5.0,44.544534,218.372814,70.0,70.0,0.651876948465181
79,1753181069,5.0,0.0,5.0,0.0,5.0,44.544534,218.372814,70.0,70.0,0.5144632327340838
80,1753181074,5.0,0.0,5.0,0.0,5.0,44.544534,218.372814,70.0,70.0,0.5231738277767443
81,1753181079,5.0,0.0,5.0,0.0,5.0,44.544534,218.372814,70.0,70.0,0.4438163391497193
82,1753181084,5.0,0.0,5.0,0.0,5.0,44.544534,218.372814,70.0,70.0,0.509708919212861
83,1753181089,5.0,0.0,5.0,0.0,5.0,112.158527,91.808335,70.0,197.0,0.4695976030552409
84,1753181094,5.0,0.0,5.0,0.0,5.0,112.158527,91.808335,70.0,197.0,0.4945879508998687
85,1753181099,5.0,0.0,5.0,0.0,5.0,112.158527,91.808335,70.0,197.0,0.6308025506664043
86,1753181104,5.0,0.0,5.0,0.0,5.0,112.158527,91.808335,70.0,197.0,0.6754677472659631
87,1753181109,5.0,0.0,5.0,0.0,5.0,112.158527,91.808335,70.0,197.0,0.8172560476259864
88,1753181114,5.0,0.0,5.0,0.0,5.0,112.158527,91.808335,70.0,197.0,0.9706209719784721
89,1753181119,5.0,0.0,5.0,0.0,5.0,114.226477,22.36648,70.0,266.0,1.0237337579602643
90,1753181124,5.0,0.0,5.0,0.0,5.0,114.226477,22.36648,70.0,266.0,0.978787171810737
91,1753181129,5.0,0.0,5.0,0.0,5.0,114.226477,22.36648,70.0,266.0,1.0380890039950186
92,1753181134,5.0,0.0,5.0,0.0,5.0,114.226477,22.36648,70.0,266.0,1.005987922297578
93,1753181139,5.0,0.0,5.0,0.0,5.0,114.226477,22.36648,70.0,266.0,0.9315973265420443
94,1753181144,5.0,0.0,5.0,0.0,5.0,114.226477,22.36648,70.0,266.0,0.8408618790753581
95,1753181149,5.0,0.0,5.0,0.0,5.0,85.833006,306.433677,70.0,-18.0,0.7761637050214932
96,1753181154,5.0,0.0,5.0,0.0,5.0,85.833006,306.433677,70.0,-18.0,0.6645042592831761
97,1753181159,5.0,0.0,5.0,0.0,5.0,85.833006,306.433677,70.0,-18.0,0.5268900278707709
98,1753181164,5.0,0.0,5.0,0.0,5.0,85.833006,306.433677,70.0,-18.0,0.4866433260900744
99,1753181169,5.0,0.0,5.0,0.0,5.0,85.833006,306.433677,70.0,-18.0,0.4589724685244307
100,1753181174,5.0,0.0,5.0,0.0,5.0,85.833006,306.433677,70.0,-18.0,0.5151577791597682
101,1753181179,5.0,0.0,5.0,0.0,5.0,95.904135,9.809797,70.0,279.0,0.5482847185820587
102,1753181184,5.0,0.0,5.0,0.0,5.0,95.904135,9.809797,70.0,279.0,0.5947315844821291
103,1753181189,5.0,0.0,5.0,0.0,5.0,95.904135,9.809797,70.0,279.0,0.7653211029861068
104,1753181194,5.0,0.0,5.0,0.0,5.0,95.904135,9.809797,70.0,279.0,0.8337853221720185
105,1753181199,5.0,0.0,5.0,0.0,5.0,95.904135,9.809797,70.0,279.0,0.902322023088693
106,1753181204,5.0,0.0,5.0,0.0,5.0,95.904135,9.809797,70.0,279.0,1.013661396835032
107,1753181209,5.0,0.0,5.0,0.0,5.0,46.895138,16.594567,70.0,272.0,1.0842138455612556
108,1753181214,5.0,0.0,5.0,0.0,5.0,46.895138,16.594567,70.0,272.0,1.00264288828444
109,1753181219,5.0,0.0,5.0,0.0,5.0,46.895138,16.594567,70.0,272.0,1.0578338602743502
110,1753181224,5.0,0.0,5.0,0.0,5.0,46.895138,16.594567,70.0,272.0,0.9923924048708379
111,1753181229,5.0,0.0,5.0,0.0,5.0,46.895138,16.594567,70.0,272.0,0.8978383664928752
112,1753181234,5.0,0.0,5.0,0.0,5.0,46.895138,16.594567,70.0,272.0,0.8602833775455644
113,1753181239,5.0,0.0,5.0,0.0,5.0,116.724325,195.705262,70.0,93.0,0.7047664535965745
114,1753181244,5.0,0.0,5.0,0.0,5.0,116.724325,195.705262,70.0,93.0,0.6125079975266762
115,1753181249,5.0,0.0,5.0,0.0,5.0,116.724325,195.705262,70.0,93.0,0.6188455360239878
