,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1753183665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,0.27053624723787695
1,1753183670,5.0,0.0,5.0,0.0,5.0,1.904819,0.002677,70.0,288.0,0.2810049904321927
2,1753183675,5.0,0.0,5.0,0.0,5.0,1.904819,0.002677,70.0,288.0,0.22769547931856218
3,1753183680,5.0,0.0,5.0,0.0,5.0,1.904819,0.002677,70.0,288.0,0.23612527759218208
4,1753183685,5.0,0.0,5.0,0.0,5.0,1.904819,0.002677,70.0,288.0,0.2132028385491325
5,1753183690,5.0,0.0,5.0,0.0,5.0,1.904819,0.002677,70.0,288.0,0.21222556579048124
6,1753183695,5.0,0.0,5.0,0.0,5.0,1.904819,0.002677,70.0,288.0,0.2342217164888591
7,1753183700,5.0,0.0,5.0,0.0,5.0,0.867872,0.002552,70.0,288.0,0.20528519396499678
8,1753183705,5.0,0.0,5.0,0.0,5.0,0.867872,0.002552,70.0,288.0,0.02638694222796792
9,1753183710,5.0,0.0,5.0,0.0,5.0,0.867872,0.002552,70.0,288.0,0.02638694222796792
10,1753183715,5.0,0.0,5.0,0.0,5.0,0.867872,0.002552,70.0,288.0,0.005634368883835413
11,1753183720,5.0,0.0,5.0,0.0,5.0,0.867872,0.002552,70.0,288.0,0.005824332539199872
12,1753183725,5.0,0.0,5.0,0.0,5.0,0.867872,0.002552,70.0,288.0,0.005967668252935796
13,1753183730,5.0,0.0,5.0,0.0,5.0,0.003073,0.001499,70.0,288.0,0.005741005523889872
14,1753183735,5.0,0.0,5.0,0.0,5.0,0.003073,0.001499,70.0,288.0,0.00543834689284913
15,1753183740,5.0,0.0,5.0,0.0,5.0,0.003073,0.001499,70.0,288.0,0.005720834946666666
16,1753183745,5.0,0.0,5.0,0.0,5.0,0.003073,0.001499,70.0,288.0,0.005767006094178796
17,1753183750,5.0,0.0,5.0,0.0,5.0,0.003073,0.001499,70.0,288.0,0.005770106949726397
18,1753183755,5.0,0.0,5.0,0.0,5.0,0.003073,0.001499,70.0,288.0,0.0056886310871157
19,1753183760,5.0,0.0,5.0,0.0,5.0,0.002397,0.002807,70.0,288.0,0.005472262525164336
20,1753183765,5.0,0.0,5.0,0.0,5.0,0.002397,0.002807,70.0,288.0,0.005848619815680625
21,1753183770,5.0,0.0,5.0,0.0,5.0,0.002397,0.002807,70.0,288.0,0.006646767703434988
22,1753183775,5.0,0.0,5.0,0.0,5.0,0.002397,0.002807,70.0,288.0,0.00678399165840794
23,1753183780,5.0,0.0,5.0,0.0,5.0,0.002397,0.002807,70.0,288.0,0.007616690626490984
24,1753183785,5.0,0.0,5.0,0.0,5.0,0.002397,0.002807,70.0,288.0,0.009075196382303473
25,1753183790,5.0,0.0,5.0,0.0,5.0,0.00255,0.002895,70.0,288.0,0.009075196382303473
26,1753183795,5.0,0.0,5.0,0.0,5.0,0.00255,0.002895,70.0,288.0,0.008616689329352528
27,1753183800,5.0,0.0,5.0,0.0,5.0,0.00255,0.002895,70.0,288.0,0.0102196824440017
28,1753183805,5.0,0.0,5.0,0.0,5.0,0.00255,0.002895,70.0,288.0,0.01056573032914311
29,1753183810,5.0,0.0,5.0,0.0,5.0,0.00255,0.002895,70.0,288.0,0.010561632979500368
30,1753183815,5.0,0.0,5.0,0.0,5.0,0.00255,0.002895,70.0,288.0,0.010256233984057197
31,1753183820,5.0,0.0,5.0,0.0,5.0,0.00312,0.004266,70.0,288.0,0.009693581011098582
32,1753183825,5.0,0.0,5.0,0.0,5.0,0.00312,0.004266,70.0,288.0,0.007896997739661462
33,1753183830,5.0,0.0,5.0,0.0,5.0,0.00312,0.004266,70.0,288.0,0.0075631120977863436
34,1753183835,5.0,0.0,5.0,0.0,5.0,0.00312,0.004266,70.0,288.0,0.007536072358319573
35,1753183840,5.0,0.0,5.0,0.0,5.0,0.00312,0.004266,70.0,288.0,0.005937364752295357
36,1753183845,5.0,0.0,5.0,0.0,5.0,0.00312,0.004266,70.0,288.0,0.005881337429118219
37,1753183850,5.0,0.0,5.0,0.0,5.0,0.003135,0.003178,70.0,288.0,0.005929584253778894
38,1753183855,5.0,0.0,5.0,0.0,5.0,0.003135,0.003178,70.0,288.0,0.005849779207051061
39,1753183860,5.0,0.0,5.0,0.0,5.0,0.003135,0.003178,70.0,288.0,0.005256076564728587
40,1753183865,5.0,0.0,5.0,0.0,5.0,0.003135,0.003178,70.0,288.0,0.005988905975981136
41,1753183870,5.0,0.0,5.0,0.0,5.0,0.003135,0.003178,70.0,288.0,0.005976577899468508
