,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753149378,5.0,0.0,5.0,1.9892838916159463,5.0,2.444938,0.16194,70.0,188.0,0.0011351359549475874
1,1753149383,5.0,0.0,5.0,1.9892838916159463,5.0,2.444938,0.16194,70.0,188.0,0.0058570552432274355
2,1753149388,5.0,0.0,5.0,1.9892838916159463,5.0,2.444938,0.16194,70.0,188.0,0.006837340472826425
3,1753149393,5.0,0.0,5.0,0.0,5.0,2.444938,0.16194,70.0,188.0,0.008071961870441208
4,1753149398,5.0,0.0,5.0,0.0,5.0,2.444938,0.16194,70.0,188.0,0.009838395724916578
5,1753149403,5.0,0.0,5.0,0.0,5.0,2.444938,0.16194,70.0,188.0,0.013599341588008336
6,1753149408,5.0,0.0,5.0,0.0,5.0,0.873371,0.350801,70.0,288.0,0.01888201194445578
7,1753149413,5.0,0.0,5.0,0.0,5.0,0.873371,0.350801,70.0,288.0,0.023471763909570238
8,1753149418,5.0,0.0,5.0,0.0,5.0,0.873371,0.350801,70.0,288.0,0.03471467067900946
9,1753149423,5.0,0.0,5.0,0.0,5.0,0.873371,0.350801,70.0,288.0,0.044155677652619185
10,1753149428,5.0,0.0,5.0,0.0,5.0,0.873371,0.350801,70.0,288.0,0.04861736280770008
11,1753149433,5.0,0.0,5.0,0.0,5.0,0.873371,0.350801,70.0,288.0,0.05038152942143791
12,1753149438,5.0,0.0,5.0,0.0,5.0,0.182029,0.168627,70.0,288.0,0.04953642272728577
13,1753149443,5.0,0.0,5.0,0.0,5.0,0.182029,0.168627,70.0,288.0,0.05119595213043326
14,1753149448,5.0,0.0,5.0,0.0,5.0,0.182029,0.168627,70.0,288.0,0.053867445452540935
15,1753149453,5.0,0.0,5.0,0.0,5.0,0.182029,0.168627,70.0,288.0,0.04920215267437986
16,1753149458,5.0,0.0,5.0,0.0,5.0,0.182029,0.168627,70.0,288.0,0.04249591883141014
17,1753149463,5.0,0.0,5.0,0.0,5.0,0.182029,0.168627,70.0,288.0,0.03747216793590606
18,1753149468,5.0,0.0,5.0,0.0,5.0,0.209039,0.0,70.0,289.0,0.024735436267463478
