,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1753148447,5.0,0.0,5.0,0.31283305414519263,5.0,18.967379,56.893174,70.0,232.0,0.05017482527987765
1,1753148452,5.0,0.0,5.0,0.31283305414519263,5.0,18.967379,56.893174,70.0,232.0,0.07142710217117115
2,1753148457,5.0,0.0,5.0,0.31283305414519263,5.0,18.967379,56.893174,70.0,232.0,0.09619523719121238
3,1753148462,5.0,0.0,5.0,0.31283305414519263,5.0,18.967379,56.893174,70.0,232.0,0.11489782269095332
4,1753148467,5.0,0.0,5.0,0.0,5.0,18.967379,56.893174,70.0,232.0,0.20665316084675683
5,1753148472,5.0,0.0,5.0,0.0,5.0,18.967379,56.893174,70.0,232.0,0.22884813442636215
6,1753148477,5.0,0.0,5.0,0.0,5.0,25.424888,7.782544,70.0,281.0,0.3305694645773064
7,1753148482,5.0,0.0,5.0,0.0,5.0,25.424888,7.782544,70.0,281.0,0.3973734104076949
8,1753148487,5.0,0.0,5.0,0.0,5.0,25.424888,7.782544,70.0,281.0,0.45438260725798335
9,1753148492,5.0,0.0,5.0,0.0,5.0,25.424888,7.782544,70.0,281.0,0.4934242382315255
10,1753148497,5.0,0.0,5.0,0.0,5.0,25.424888,7.782544,70.0,281.0,0.5881190563002677
11,1753148502,5.0,0.0,5.0,0.0,5.0,25.424888,7.782544,70.0,281.0,0.641233993203979
12,1753148507,5.0,0.0,5.0,0.0,5.0,45.365902,141.251381,70.0,147.0,0.6733149575504738
13,1753148512,5.0,0.0,5.0,0.0,5.0,45.365902,141.251381,70.0,147.0,0.7204883779200302
14,1753148517,5.0,0.0,5.0,0.0,5.0,45.365902,141.251381,70.0,147.0,0.7345154669524645
15,1753148522,5.0,0.0,5.0,0.0,5.0,45.365902,141.251381,70.0,147.0,0.8152524877495094
16,1753148527,5.0,0.0,5.0,0.0,5.0,45.365902,141.251381,70.0,147.0,0.8299340713775302
17,1753148532,5.0,0.0,5.0,0.0,5.0,45.365902,141.251381,70.0,147.0,0.8054939556645999
18,1753148537,5.0,0.0,5.0,0.0,5.0,45.192935,6.735194,70.0,282.0,0.8390453478084366
19,1753148542,5.0,0.0,5.0,0.0,5.0,45.192935,6.735194,70.0,282.0,0.8679413178588445
20,1753148547,5.0,0.0,5.0,0.0,5.0,45.192935,6.735194,70.0,282.0,0.8871249880241971
21,1753148552,5.0,0.0,5.0,0.0,5.0,45.192935,6.735194,70.0,282.0,0.8842727451457414
22,1753148557,5.0,0.0,5.0,0.0,5.0,45.192935,6.735194,70.0,282.0,0.84433810933275
23,1753148562,5.0,0.0,5.0,0.0,5.0,45.192935,6.735194,70.0,282.0,0.7944632979632656
24,1753148567,5.0,0.0,5.0,0.0,5.0,15.805489,8.796407,70.0,280.0,0.812875756681559
25,1753148572,5.0,0.0,5.0,0.0,5.0,15.805489,8.796407,70.0,280.0,0.8017155218384939
26,1753148577,5.0,0.0,5.0,0.0,5.0,15.805489,8.796407,70.0,280.0,0.7317617982996973
27,1753148582,5.0,0.0,5.0,0.0,5.0,15.805489,8.796407,70.0,280.0,0.7318691777476067
28,1753148587,5.0,0.0,5.0,0.0,5.0,15.805489,8.796407,70.0,280.0,0.6803126820818168
29,1753148592,5.0,0.0,5.0,0.0,5.0,15.805489,8.796407,70.0,280.0,0.6825635393668367
30,1753148597,5.0,0.0,5.0,0.0,5.0,23.763606,42.817499,70.0,246.0,0.6726650262578956
31,1753148602,5.0,0.0,5.0,0.0,5.0,23.763606,42.817499,70.0,246.0,0.6869316880398658
32,1753148607,5.0,0.0,5.0,0.0,5.0,23.763606,42.817499,70.0,246.0,0.7116871145364931
33,1753148612,5.0,0.0,5.0,0.0,5.0,23.763606,42.817499,70.0,246.0,0.7446167710293005
34,1753148617,5.0,0.0,5.0,0.0,5.0,23.763606,42.817499,70.0,246.0,0.7225120172706925
35,1753148622,5.0,0.0,5.0,0.0,5.0,23.763606,42.817499,70.0,246.0,0.7561020737966627
36,1753148627,5.0,0.0,5.0,0.0,5.0,71.029322,120.335419,70.0,168.0,0.7561020737966627
37,1753148632,5.0,0.0,5.0,0.0,5.0,71.029322,120.335419,70.0,168.0,0.7920420203255651
38,1753148637,5.0,0.0,5.0,0.0,5.0,71.029322,120.335419,70.0,168.0,0.8989268228401334
39,1753148642,5.0,0.0,5.0,0.0,5.0,71.029322,120.335419,70.0,168.0,0.8409564085114821
40,1753148647,5.0,0.0,5.0,0.0,5.0,71.029322,120.335419,70.0,168.0,0.8857189925254599
41,1753148652,5.0,0.0,5.0,0.0,5.0,71.029322,120.335419,70.0,168.0,0.8740604855009517
42,1753148657,5.0,0.0,5.0,0.0,5.0,57.709352,11.393773,70.0,277.0,0.8751459736279467
43,1753148662,5.0,0.0,5.0,0.0,5.0,57.709352,11.393773,70.0,277.0,0.8756002380301822
44,1753148667,5.0,0.0,5.0,0.0,5.0,57.709352,11.393773,70.0,277.0,0.8948016577561546
45,1753148672,5.0,0.0,5.0,0.0,5.0,57.709352,11.393773,70.0,277.0,0.9237426839577592
46,1753148677,5.0,0.0,5.0,0.0,5.0,57.709352,11.393773,70.0,277.0,0.8292919634756657
47,1753148682,5.0,0.0,5.0,0.0,5.0,57.709352,11.393773,70.0,277.0,0.8993828758772153
48,1753148687,5.0,0.0,5.0,0.0,5.0,14.884094,20.105622,70.0,268.0,0.9000733744246396
49,1753148692,5.0,0.0,5.0,0.0,5.0,14.884094,20.105622,70.0,268.0,0.8963376471822129
50,1753148697,5.0,0.0,5.0,0.0,5.0,14.884094,20.105622,70.0,268.0,0.9125233651429905
51,1753148702,5.0,0.0,5.0,0.0,5.0,14.884094,20.105622,70.0,268.0,0.8107926884088252
52,1753148707,5.0,0.0,5.0,0.0,5.0,14.884094,20.105622,70.0,268.0,0.741290343758136
53,1753148712,5.0,0.0,5.0,0.0,5.0,14.884094,20.105622,70.0,268.0,0.6910720323108139
54,1753148717,5.0,0.0,5.0,0.0,5.0,53.982587,103.337217,70.0,185.0,0.6030424208305646
55,1753148722,5.0,0.0,5.0,0.0,5.0,53.982587,103.337217,70.0,185.0,0.48884635834907336
56,1753148727,5.0,0.0,5.0,0.0,5.0,53.982587,103.337217,70.0,185.0,0.5043921684837296
57,1753148732,5.0,0.0,5.0,0.0,5.0,53.982587,103.337217,70.0,185.0,0.3936969248218773
58,1753148737,5.0,0.0,5.0,0.0,5.0,53.982587,103.337217,70.0,185.0,0.4518109383523857
59,1753148742,5.0,0.0,5.0,0.0,5.0,53.982587,103.337217,70.0,185.0,0.44554024866082553
60,1753148747,5.0,0.0,5.0,0.0,5.0,74.566634,7.864319,70.0,281.0,0.5226825632603462
61,1753148752,5.0,0.0,5.0,0.0,5.0,74.566634,7.864319,70.0,281.0,0.6023136026721767
62,1753148757,5.0,0.0,5.0,0.0,5.0,74.566634,7.864319,70.0,281.0,0.6978819136873985
63,1753148762,5.0,0.0,5.0,0.0,5.0,74.566634,7.864319,70.0,281.0,0.7759171888057904
64,1753148767,5.0,0.0,5.0,0.0,5.0,74.566634,7.864319,70.0,281.0,0.8643705399672519
65,1753148772,5.0,0.0,5.0,0.0,5.0,74.566634,7.864319,70.0,281.0,0.9288128229223489
66,1753148777,5.0,0.0,5.0,0.0,5.0,35.975706,35.89666,70.0,253.0,1.0295685154830625
67,1753148782,5.0,0.0,5.0,0.0,5.0,35.975706,35.89666,70.0,253.0,1.0570807155222752
68,1753148787,5.0,0.0,5.0,0.0,5.0,35.975706,35.89666,70.0,253.0,1.0421391443695476
69,1753148792,5.0,0.0,5.0,0.0,5.0,35.975706,35.89666,70.0,253.0,1.0451775189038812
70,1753148797,5.0,0.0,5.0,0.0,5.0,35.975706,35.89666,70.0,253.0,0.9702526597865574
71,1753148802,5.0,0.0,5.0,0.0,5.0,35.975706,35.89666,70.0,253.0,0.9270616903704041
72,1753148807,5.0,0.0,5.0,0.0,5.0,53.782122,78.440568,70.0,210.0,0.8653575920237688
73,1753148812,5.0,0.0,5.0,0.0,5.0,53.782122,78.440568,70.0,210.0,0.8970203770879432
74,1753148817,5.0,0.0,5.0,0.0,5.0,53.782122,78.440568,70.0,210.0,0.8244546783769641
75,1753148822,5.0,0.0,5.0,0.0,5.0,53.782122,78.440568,70.0,210.0,0.8338609116849769
76,1753148827,5.0,0.0,5.0,0.0,5.0,53.782122,78.440568,70.0,210.0,0.8615847892251906
77,1753148832,5.0,0.0,5.0,0.0,5.0,53.782122,78.440568,70.0,210.0,0.8035431433861293
78,1753148837,5.0,0.0,5.0,0.0,5.0,54.990765,21.041053,70.0,267.0,0.8096891351782015
79,1753148842,5.0,0.0,5.0,0.0,5.0,54.990765,21.041053,70.0,267.0,0.9007967760026893
80,1753148847,5.0,0.0,5.0,0.0,5.0,54.990765,21.041053,70.0,267.0,0.9783634383700943
81,1753148852,5.0,0.0,5.0,0.0,5.0,54.990765,21.041053,70.0,267.0,1.008171242020905
82,1753148857,5.0,0.0,5.0,0.0,5.0,54.990765,21.041053,70.0,267.0,1.0105365905386134
83,1753148862,5.0,0.0,5.0,0.0,5.0,54.990765,21.041053,70.0,267.0,1.031801651728634
84,1753148867,5.0,0.0,5.0,0.0,5.0,25.798546,110.494643,70.0,178.0,0.960676593557958
85,1753148872,5.0,0.0,5.0,0.0,5.0,25.798546,110.494643,70.0,178.0,0.892320732638666
86,1753148877,5.0,0.0,5.0,0.0,5.0,25.798546,110.494643,70.0,178.0,0.8129947199951543
87,1753148882,5.0,0.0,5.0,0.0,5.0,25.798546,110.494643,70.0,178.0,0.726522965459744
88,1753148887,5.0,0.0,5.0,0.0,5.0,25.798546,110.494643,70.0,178.0,0.6240091757061708
89,1753148892,5.0,0.0,5.0,0.0,5.0,25.798546,110.494643,70.0,178.0,0.5878280976297412
90,1753148897,5.0,0.0,5.0,0.0,5.0,55.741975,69.211367,70.0,219.0,0.5227601152519332
91,1753148902,5.0,0.0,5.0,0.0,5.0,55.741975,69.211367,70.0,219.0,0.39286154223689457
92,1753148907,5.0,0.0,5.0,0.0,5.0,55.741975,69.211367,70.0,219.0,0.5338810605610194
93,1753148912,5.0,0.0,5.0,0.0,5.0,55.741975,69.211367,70.0,219.0,0.5557697930925515
94,1753148917,5.0,0.0,5.0,0.0,5.0,55.741975,69.211367,70.0,219.0,0.6258654908059512
95,1753148922,5.0,0.0,5.0,0.0,5.0,55.741975,69.211367,70.0,219.0,0.7172008584265499
96,1753148927,5.0,0.0,5.0,0.0,5.0,49.826101,16.98842,70.0,272.0,0.8193029115583274
97,1753148932,5.0,0.0,5.0,0.0,5.0,49.826101,16.98842,70.0,272.0,0.8899786491124659
98,1753148937,5.0,0.0,5.0,0.0,5.0,49.826101,16.98842,70.0,272.0,1.0461300226185042
