,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753186540,1.0,0.0,0.0,0.16016780141310782,1.0,1.0,1.0,70.0,-212.0,0.0037380642018779347
1,1753186545,1.0,0.0,0.0,0.16016780141310782,1.0,1.0,1.0,70.0,-212.0,0.003237641666666667
2,1753186550,1.0,0.0,1.0,0.16016780141310782,1.0,0.798532,0.033747,70.0,-112.0,0.003237641666666667
3,1753186555,1.0,0.0,1.0,0.16016780141310782,1.0,0.798532,0.033747,70.0,-112.0,0.008388906337388776
4,1753186560,1.0,0.0,1.0,0.16016780141310782,1.0,0.798532,0.033747,70.0,-112.0,0.009465985004943202
5,1753186565,1.0,0.0,1.0,0.47706468225716747,1.0,0.798532,0.033747,70.0,-112.0,0.010543063672497627
6,1753186570,1.0,0.0,1.0,0.47706468225716747,1.0,0.798532,0.033747,70.0,-112.0,0.01678726617603768
7,1753186575,1.0,0.0,1.0,0.47706468225716747,1.0,0.798532,0.033747,70.0,-112.0,0.01835310040885749
8,1753186580,1.0,0.0,1.0,0.47706468225716747,1.0,0.476628,0.071279,70.0,-112.0,0.020575057525093907
9,1753186585,1.0,0.0,1.0,0.47706468225716747,1.0,0.476628,0.071279,70.0,-112.0,0.022984586624635744
10,1753186590,1.0,0.0,1.0,0.47706468225716747,1.0,0.476628,0.071279,70.0,-112.0,0.022984586624635744
11,1753186595,1.0,0.0,1.0,0.28149013078348645,1.0,0.476628,0.071279,70.0,-112.0,0.02738808732109296
12,1753186600,1.0,0.0,1.0,0.28149013078348645,1.0,0.476628,0.071279,70.0,-112.0,0.033488323408060815
13,1753186605,1.0,0.0,1.0,0.28149013078348645,1.0,0.476628,0.071279,70.0,-112.0,0.033488323408060815
14,1753186610,1.0,0.0,1.0,0.28149013078348645,1.0,0.169148,0.130331,70.0,-112.0,0.033488323408060815
15,1753186615,1.0,0.0,1.0,0.28149013078348645,1.0,0.169148,0.130331,70.0,-112.0,0.03582241750953408
16,1753186620,1.0,0.0,1.0,0.28149013078348645,1.0,0.169148,0.130331,70.0,-112.0,0.03582241750953408
17,1753186625,1.0,0.0,1.0,1.151405096357108,1.0,0.169148,0.130331,70.0,-112.0,0.03667509124589623
18,1753186630,1.0,0.0,1.0,1.151405096357108,1.0,0.169148,0.130331,70.0,-112.0,0.035921456552006556
19,1753186635,1.0,0.0,1.0,1.151405096357108,1.0,0.169148,0.130331,70.0,-112.0,0.042367020278860384
20,1753186640,1.0,0.0,1.0,1.151405096357108,1.0,0.254545,0.105436,70.0,-112.0,0.042367020278860384
21,1753186645,1.0,0.0,1.0,1.151405096357108,1.0,0.254545,0.105436,70.0,-112.0,0.029840384410727807
22,1753186650,1.0,0.0,1.0,1.151405096357108,1.0,0.254545,0.105436,70.0,-112.0,0.03491183801310188
23,1753186655,1.0,0.0,1.0,0.03555531322234339,1.0,0.254545,0.105436,70.0,-112.0,0.03491183801310188
24,1753186660,1.0,0.0,1.0,0.03555531322234339,1.0,0.254545,0.105436,70.0,-112.0,0.0290282232058436
25,1753186665,1.0,0.0,1.0,0.03555531322234339,1.0,0.254545,0.105436,70.0,-112.0,0.03571313960366755
26,1753186670,1.0,0.0,1.0,0.03555531322234339,1.0,0.316152,0.449757,70.0,-112.0,0.03571313960366755
27,1753186675,1.0,0.0,1.0,0.03555531322234339,1.0,0.316152,0.449757,70.0,-112.0,0.034568485283560664
28,1753186680,1.0,0.0,1.0,0.03555531322234339,1.0,0.316152,0.449757,70.0,-112.0,0.03804994446697106
