,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753194695,0.0,0.0,0.0,0.021296944960975905,0.0,0.0,0.0,70.0,-211.0,
1,1753194700,0.0,0.0,0.0,0.021296944960975905,0.0,0.0,0.0,70.0,-211.0,0.009182757455573823
2,1753194705,0.0,0.0,0.0,0.021296944960975905,0.0,0.0,0.0,70.0,-211.0,0.013866068328783255
3,1753194710,5.0,0.0,5.0,0.021296944960975905,5.0,1.709689,0.195501,70.0,288.0,0.016766305980774065
4,1753194715,5.0,0.0,5.0,0.021296944960975905,5.0,1.709689,0.195501,70.0,288.0,0.012326474447292703
5,1753194720,5.0,0.0,5.0,0.021296944960975905,5.0,1.709689,0.195501,70.0,288.0,0.014177497484615975
6,1753194725,5.0,0.0,5.0,0.0,5.0,1.709689,0.195501,70.0,288.0,0.01642774953585503
7,1753194730,5.0,0.0,5.0,0.0,5.0,1.709689,0.195501,70.0,288.0,0.014681513583835293
8,1753194735,5.0,0.0,5.0,0.0,5.0,1.709689,0.195501,70.0,288.0,0.01565287179095334
9,1753194740,5.0,0.0,5.0,0.0,5.0,0.738978,0.197732,70.0,288.0,0.014774971526050253
10,1753194745,5.0,0.0,5.0,0.0,5.0,0.738978,0.197732,70.0,288.0,0.015476551327250555
11,1753194750,5.0,0.0,5.0,0.0,5.0,0.738978,0.197732,70.0,288.0,0.0075882854245023345
12,1753194755,5.0,0.0,5.0,0.0,5.0,0.738978,0.197732,70.0,288.0,0.007352377093665756
13,1753194760,5.0,0.0,5.0,0.0,5.0,0.738978,0.197732,70.0,288.0,0.007542323785722362
14,1753194765,5.0,0.0,5.0,0.0,5.0,0.738978,0.197732,70.0,288.0,0.008080253132387156
15,1753194770,5.0,0.0,5.0,0.0,5.0,0.164477,0.106135,70.0,288.0,0.008290372734076498
16,1753194775,5.0,0.0,5.0,0.0,5.0,0.164477,0.106135,70.0,288.0,0.00836121380150016
17,1753194780,5.0,0.0,5.0,0.0,5.0,0.164477,0.106135,70.0,288.0,0.008029253566760803
18,1753194785,5.0,0.0,5.0,0.0,5.0,0.164477,0.106135,70.0,288.0,0.008665936330244558
19,1753194790,5.0,0.0,5.0,0.0,5.0,0.164477,0.106135,70.0,288.0,0.008734300230372449
20,1753194795,5.0,0.0,5.0,0.0,5.0,0.164477,0.106135,70.0,288.0,0.0095088578128292
21,1753194800,5.0,0.0,5.0,0.0,5.0,0.2933,1.172118,70.0,287.0,0.009751168845715984
22,1753194805,5.0,0.0,5.0,0.0,5.0,0.2933,1.172118,70.0,287.0,0.009582582154488522
23,1753194810,5.0,0.0,5.0,0.0,5.0,0.2933,1.172118,70.0,287.0,0.00980017219130821
24,1753194815,5.0,0.0,5.0,0.0,5.0,0.2933,1.172118,70.0,287.0,0.009101786644746238
25,1753194820,5.0,0.0,5.0,0.0,5.0,0.2933,1.172118,70.0,287.0,0.00865842922852369
26,1753194825,5.0,0.0,5.0,0.0,5.0,0.2933,1.172118,70.0,287.0,0.008364623977300284
27,1753194830,5.0,0.0,5.0,0.0,5.0,0.324369,0.658446,70.0,288.0,0.009488762933146083
28,1753194835,5.0,0.0,5.0,0.0,5.0,0.324369,0.658446,70.0,288.0,0.009816927825886626
29,1753194840,5.0,0.0,5.0,0.0,5.0,0.324369,0.658446,70.0,288.0,0.009559024468540775
30,1753194845,5.0,0.0,5.0,0.0,5.0,0.324369,0.658446,70.0,288.0,0.008992913950408398
31,1753194850,5.0,0.0,5.0,0.0,5.0,0.324369,0.658446,70.0,288.0,0.009132388974301634
32,1753194855,5.0,0.0,5.0,0.0,5.0,0.324369,0.658446,70.0,288.0,0.00922257719426499
33,1753194860,5.0,0.0,5.0,0.0,5.0,0.231901,0.083044,70.0,288.0,0.008920439138273126
34,1753194865,5.0,0.0,5.0,0.0,5.0,0.231901,0.083044,70.0,288.0,0.008865464223045152
35,1753194870,5.0,0.0,5.0,0.0,5.0,0.231901,0.083044,70.0,288.0,0.008783838758136793
36,1753194875,5.0,0.0,5.0,0.0,5.0,0.231901,0.083044,70.0,288.0,0.009245690973031783
37,1753194880,5.0,0.0,5.0,0.0,5.0,0.231901,0.083044,70.0,288.0,0.008425621695594883
38,1753194885,5.0,0.0,5.0,0.0,5.0,0.231901,0.083044,70.0,288.0,0.008542825186202559
39,1753194890,5.0,0.0,5.0,0.0,5.0,0.210842,0.254685,70.0,288.0,0.008794314398717638
40,1753194895,5.0,0.0,5.0,0.0,5.0,0.210842,0.254685,70.0,288.0,0.008161020806232409
41,1753194900,5.0,0.0,5.0,0.0,5.0,0.210842,0.254685,70.0,288.0,0.008263019970781426
42,1753194905,5.0,0.0,5.0,0.0,5.0,0.210842,0.254685,70.0,288.0,0.008383104089271854
43,1753194910,5.0,0.0,5.0,0.0,5.0,0.210842,0.254685,70.0,288.0,0.008297152519147581
44,1753194915,5.0,0.0,5.0,0.0,5.0,0.210842,0.254685,70.0,288.0,0.007784039061142224
45,1753194920,5.0,0.0,5.0,0.0,5.0,0.19126,0.203908,70.0,288.0,0.0073148866210453875
46,1753194925,5.0,0.0,5.0,0.0,5.0,0.19126,0.203908,70.0,288.0,0.007784798106068122
47,1753194930,5.0,0.0,5.0,0.0,5.0,0.19126,0.203908,70.0,288.0,0.00800612114239567
48,1753194935,5.0,0.0,5.0,0.0,5.0,0.19126,0.203908,70.0,288.0,0.008372520842105664
49,1753194940,5.0,0.0,5.0,0.0,5.0,0.19126,0.203908,70.0,288.0,0.008378647531012426
50,1753194945,5.0,0.0,5.0,0.0,5.0,0.19126,0.203908,70.0,288.0,0.008402930967815737
51,1753194950,5.0,0.0,5.0,0.0,5.0,0.321425,0.016124,70.0,288.0,0.008969695699620254
52,1753194955,5.0,0.0,5.0,0.0,5.0,0.321425,0.016124,70.0,288.0,0.00833036036573852
53,1753194960,5.0,0.0,5.0,0.0,5.0,0.321425,0.016124,70.0,288.0,0.008775172694271331
54,1753194965,5.0,0.0,5.0,0.0,5.0,0.321425,0.016124,70.0,288.0,0.008321899739781046
55,1753194970,5.0,0.0,5.0,0.0,5.0,0.321425,0.016124,70.0,288.0,0.008096055515808958
56,1753194975,5.0,0.0,5.0,0.0,5.0,0.321425,0.016124,70.0,288.0,0.00782181842363818
57,1753194980,5.0,0.0,5.0,0.0,5.0,0.429996,0.332766,70.0,288.0,0.008685455228956094
58,1753194985,5.0,0.0,5.0,0.0,5.0,0.429996,0.332766,70.0,288.0,0.008714938132344963
59,1753194990,5.0,0.0,5.0,0.0,5.0,0.429996,0.332766,70.0,288.0,0.008958646268533052
60,1753194995,5.0,0.0,5.0,0.0,5.0,0.429996,0.332766,70.0,288.0,0.008441180400524516
61,1753195000,5.0,0.0,5.0,0.0,5.0,0.429996,0.332766,70.0,288.0,0.008549725739776987
62,1753195005,5.0,0.0,5.0,0.0,5.0,0.429996,0.332766,70.0,288.0,0.009309291083012892
63,1753195010,5.0,0.0,5.0,0.0,5.0,0.36777,0.276169,70.0,288.0,0.009908184838897889
