,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1753200484,5.0,0.0,2.0,0.0,5.0,2.906815,2.906815,70.0,-14.0,0.06607026955437459
1,1753200489,5.0,0.0,2.0,0.0,5.0,2.906815,2.906815,70.0,-14.0,0.06909062772129708
2,1753200494,5.0,0.0,2.0,0.0,5.0,2.906815,2.906815,70.0,-14.0,0.07549260834224812
3,1753200499,5.0,0.0,5.0,0.0,5.0,0.426603,0.022577,70.0,288.0,0.059533113898091856
4,1753200504,5.0,0.0,5.0,0.0,5.0,0.426603,0.022577,70.0,288.0,0.06732698840092738
5,1753200509,5.0,0.0,5.0,0.0,5.0,0.426603,0.022577,70.0,288.0,0.07043850736681792
6,1753200514,5.0,0.0,5.0,0.0,5.0,0.426603,0.022577,70.0,288.0,0.06614122776692574
7,1753200519,5.0,0.0,5.0,0.0,5.0,0.426603,0.022577,70.0,288.0,0.06916356347604734
8,1753200524,5.0,0.0,5.0,0.0,5.0,0.426603,0.022577,70.0,288.0,0.01714184900404801
9,1753200529,5.0,0.0,5.0,0.0,5.0,0.025219,0.05738,70.0,288.0,0.020358012272940384
10,1753200534,5.0,0.0,5.0,0.0,5.0,0.025219,0.05738,70.0,288.0,0.024075682669849885
11,1753200539,5.0,0.0,5.0,0.0,5.0,0.025219,0.05738,70.0,288.0,0.024914664523202356
12,1753200544,5.0,0.0,5.0,0.0,5.0,0.025219,0.05738,70.0,288.0,0.027417226394042024
13,1753200549,5.0,0.0,5.0,0.0,5.0,0.025219,0.05738,70.0,288.0,0.029548308788077723
14,1753200554,5.0,0.0,5.0,0.0,5.0,0.025219,0.05738,70.0,288.0,0.03048000261533881
15,1753200559,5.0,0.0,5.0,0.0,5.0,0.043108,0.035782,70.0,288.0,0.03113388943169651
16,1753200564,5.0,0.0,5.0,0.0,5.0,0.043108,0.035782,70.0,288.0,0.03128031344593876
17,1753200569,5.0,0.0,5.0,0.0,5.0,0.043108,0.035782,70.0,288.0,0.03101232204286598
18,1753200574,5.0,0.0,5.0,0.0,5.0,0.043108,0.035782,70.0,288.0,0.02913558522351669
19,1753200579,5.0,0.0,5.0,0.0,5.0,0.043108,0.035782,70.0,288.0,0.02856965804465994
20,1753200584,5.0,0.0,5.0,0.0,5.0,0.043108,0.035782,70.0,288.0,0.028474724580401803
21,1753200589,5.0,0.0,5.0,0.0,5.0,0.043908,0.049727,70.0,288.0,0.029002839451523647
22,1753200594,5.0,0.0,5.0,0.0,5.0,0.043908,0.049727,70.0,288.0,0.029360461581239124
23,1753200599,5.0,0.0,5.0,0.0,5.0,0.043908,0.049727,70.0,288.0,0.03173069692592119
24,1753200604,5.0,0.0,5.0,0.0,5.0,0.043908,0.049727,70.0,288.0,0.0316965983590652
25,1753200609,5.0,0.0,5.0,0.0,5.0,0.043908,0.049727,70.0,288.0,0.03328040078109317
26,1753200614,5.0,0.0,5.0,0.0,5.0,0.043908,0.049727,70.0,288.0,0.03453107040200687
27,1753200619,5.0,0.0,5.0,0.0,5.0,0.053259,0.071521,70.0,288.0,0.04166795249744306
