,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1753190790,5.0,0.0,0.0,,5.0,1.0,1.0,70.0,-212.0,0.14717751998016934,0.14717751998016934
1,1753190795,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.25414244770680894,0.25414244770680894
2,1753190800,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.26426969642371445,0.26426969642371445
3,1753190805,5.0,0.0,0.0,0.0,5.0,1.0,1.0,70.0,-212.0,0.19927355578786216,0.19927355578786216
4,1753190810,5.0,0.0,5.0,0.0,5.0,0.298706,0.000633,70.0,288.0,0.209443929745822,0.209443929745822
5,1753190815,5.0,0.0,5.0,0.0,5.0,0.298706,0.000633,70.0,288.0,0.2180553398035398,0.2180553398035398
6,1753190820,5.0,0.0,5.0,0.0,5.0,0.298706,0.000633,70.0,288.0,0.19417912577079607,0.19417912577079607
7,1753190825,5.0,0.0,5.0,0.0,5.0,0.298706,0.000633,70.0,288.0,0.20519137460889525,0.20519137460889525
8,1753190830,5.0,0.0,5.0,0.0,5.0,0.298706,0.000633,70.0,288.0,0.2016906908122128,0.2016906908122128
9,1753190835,5.0,0.0,5.0,0.0,5.0,0.298706,0.000633,70.0,288.0,0.005002281069857163,0.005002281069857163
10,1753190840,5.0,0.0,5.0,0.0,5.0,0.088361,0.000531,70.0,288.0,0.004980649637160914,0.004980649637160914
11,1753190845,5.0,0.0,5.0,0.0,5.0,0.088361,0.000531,70.0,288.0,0.0050144553524956404,0.0050144553524956404
12,1753190850,5.0,0.0,5.0,0.0,5.0,0.088361,0.000531,70.0,288.0,0.004904434778511148,0.004904434778511148
13,1753190855,5.0,0.0,5.0,0.0,5.0,0.088361,0.000531,70.0,288.0,0.005394282544242951,0.005394282544242951
14,1753190860,5.0,0.0,5.0,0.0,5.0,0.088361,0.000531,70.0,288.0,0.005341330210518264,0.005341330210518264
15,1753190865,5.0,0.0,5.0,0.0,5.0,0.088361,0.000531,70.0,288.0,0.0053548232593818865,0.0053548232593818865
16,1753190870,5.0,0.0,5.0,0.0,5.0,0.001446,0.000238,70.0,288.0,0.0053747281122980455,0.0053747281122980455
17,1753190875,5.0,0.0,5.0,0.0,5.0,0.001446,0.000238,70.0,288.0,0.00541034691381997,0.00541034691381997
18,1753190880,5.0,0.0,5.0,0.0,5.0,0.001446,0.000238,70.0,288.0,0.005482233977230987,0.005482233977230987
19,1753190885,5.0,0.0,5.0,0.0,5.0,0.001446,0.000238,70.0,288.0,0.005483134938875985,0.005483134938875985
20,1753190890,5.0,0.0,5.0,0.0,5.0,0.001446,0.000238,70.0,288.0,0.005497027093310412,0.005497027093310412
21,1753190895,5.0,0.0,5.0,0.0,5.0,0.001446,0.000238,70.0,288.0,0.005031211709198386,0.005031211709198386
22,1753190900,5.0,0.0,5.0,0.0,5.0,0.001112,-1e-06,70.0,289.0,0.005131482497336956,0.005131482497336956
23,1753190905,5.0,0.0,5.0,0.0,5.0,0.001112,-1e-06,70.0,289.0,0.006342130283098539,0.006342130283098539
24,1753190910,5.0,0.0,5.0,0.0,5.0,0.001112,-1e-06,70.0,289.0,0.006383297368734112,0.006383297368734112
25,1753190915,5.0,0.0,5.0,0.0,5.0,0.001112,-1e-06,70.0,289.0,0.008818855588724932,0.008818855588724932
26,1753190920,5.0,0.0,5.0,0.0,5.0,0.001112,-1e-06,70.0,289.0,0.009592368011612454,0.009592368011612454
27,1753190925,5.0,0.0,5.0,0.0,5.0,0.001112,-1e-06,70.0,289.0,0.009311726956217188,0.009311726956217188
28,1753190930,5.0,0.0,5.0,0.0,5.0,0.001411,0.000687,70.0,288.0,0.00885400092538472,0.00885400092538472
29,1753190935,5.0,0.0,5.0,0.0,5.0,0.001411,0.000687,70.0,288.0,0.009473033720443575,0.009473033720443575
30,1753190940,5.0,0.0,5.0,0.0,5.0,0.001411,0.000687,70.0,288.0,0.009618193454545619,0.009618193454545619
31,1753190945,5.0,0.0,5.0,0.0,5.0,0.001411,0.000687,70.0,288.0,0.008771935245612438,0.008771935245612438
32,1753190950,5.0,0.0,5.0,0.0,5.0,0.001411,0.000687,70.0,288.0,0.007958063952180232,0.007958063952180232
33,1753190955,5.0,0.0,5.0,0.0,5.0,0.001411,0.000687,70.0,288.0,0.007992119603991845,0.007992119603991845
34,1753190960,5.0,0.0,5.0,0.0,5.0,0.001864,0.004207,70.0,288.0,0.0049275310180037675,0.0049275310180037675
35,1753190965,5.0,0.0,5.0,0.0,5.0,0.001864,0.004207,70.0,288.0,0.0049917240578746325,0.0049917240578746325
