,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1753201850,5.0,0.0,5.0,19.924225697172005,5.0,11.614625,0.006195,70.0,288.0,0.07020593378417653
1,1753201855,5.0,0.0,5.0,19.924225697172005,5.0,11.614625,0.006195,70.0,288.0,0.06307782566435176
2,1753201860,5.0,0.0,5.0,19.924225697172005,5.0,11.614625,0.006195,70.0,288.0,0.06922062450915809
3,1753201865,5.0,0.0,5.0,0.0,5.0,11.614625,0.006195,70.0,288.0,0.06489366572241251
4,1753201870,5.0,0.0,5.0,0.0,5.0,11.614625,0.006195,70.0,288.0,0.060741403589690324
5,1753201875,5.0,0.0,5.0,0.0,5.0,11.614625,0.006195,70.0,288.0,0.06498932717312993
6,1753201880,5.0,0.0,5.0,0.0,5.0,4.662015,0.040927,70.0,288.0,0.06947683492225587
7,1753201885,5.0,0.0,5.0,0.0,5.0,4.662015,0.040927,70.0,288.0,0.0659666446602448
8,1753201890,5.0,0.0,5.0,0.0,5.0,4.662015,0.040927,70.0,288.0,0.019111205651024872
9,1753201895,5.0,0.0,5.0,0.0,5.0,4.662015,0.040927,70.0,288.0,0.019611923911762072
10,1753201900,5.0,0.0,5.0,0.0,5.0,4.662015,0.040927,70.0,288.0,0.019939390370293714
11,1753201905,5.0,0.0,5.0,0.0,5.0,4.662015,0.040927,70.0,288.0,0.02119522681411044
12,1753201910,5.0,0.0,5.0,0.0,5.0,0.036222,0.066351,70.0,288.0,0.023519204005038548
13,1753201915,5.0,0.0,5.0,0.0,5.0,0.036222,0.066351,70.0,288.0,0.024276169360804796
14,1753201920,5.0,0.0,5.0,0.0,5.0,0.036222,0.066351,70.0,288.0,0.024448342971332644
15,1753201925,5.0,0.0,5.0,0.0,5.0,0.036222,0.066351,70.0,288.0,0.025269876236451907
16,1753201930,5.0,0.0,5.0,0.0,5.0,0.036222,0.066351,70.0,288.0,0.025111873425641102
17,1753201935,5.0,0.0,5.0,0.0,5.0,0.036222,0.066351,70.0,288.0,0.02443159742042595
18,1753201940,5.0,0.0,5.0,0.0,5.0,0.041512,0.020829,70.0,288.0,0.02535964226101045
