,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1753192829,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,
1,1753192834,0.0,0.0,0.0,0.18785589641371228,0.0,-1e-06,0.0,70.0,-211.0,0.010650542215137948
2,1753192839,0.0,0.0,0.0,0.18785589641371228,0.0,-1e-06,0.0,70.0,-211.0,0.01757064309046484
3,1753192844,0.0,0.0,0.0,0.18785589641371228,0.0,-1e-06,0.0,70.0,-211.0,0.023345647805814003
4,1753192849,5.0,0.0,5.0,0.18785589641371228,5.0,9.186464,0.063573,70.0,288.0,0.020496463293698048
5,1753192854,5.0,0.0,5.0,0.18785589641371228,5.0,9.186464,0.063573,70.0,288.0,0.0263706621552449
6,1753192859,5.0,0.0,5.0,0.18785589641371228,5.0,9.186464,0.063573,70.0,288.0,0.030565003169280826
7,1753192864,5.0,0.0,5.0,0.0,5.0,9.186464,0.063573,70.0,288.0,0.03529239099285753
8,1753192869,5.0,0.0,5.0,0.0,5.0,9.186464,0.063573,70.0,288.0,0.035243238922644526
9,1753192874,5.0,0.0,5.0,0.0,5.0,9.186464,0.063573,70.0,288.0,0.04344429202079643
10,1753192879,5.0,0.0,5.0,0.0,5.0,4.431999,0.412476,70.0,288.0,0.048570230744455115
11,1753192884,5.0,0.0,5.0,0.0,5.0,4.431999,0.412476,70.0,288.0,0.04643491462234753
12,1753192889,5.0,0.0,5.0,0.0,5.0,4.431999,0.412476,70.0,288.0,0.04867204418557996
13,1753192894,5.0,0.0,5.0,0.0,5.0,4.431999,0.412476,70.0,288.0,0.04944465947030831
14,1753192899,5.0,0.0,5.0,0.0,5.0,4.431999,0.412476,70.0,288.0,0.05436275370733578
15,1753192904,5.0,0.0,5.0,0.0,5.0,4.431999,0.412476,70.0,288.0,0.05853783638940191
16,1753192909,5.0,0.0,5.0,0.0,5.0,0.353521,0.417765,70.0,288.0,0.05853783638940191
17,1753192914,5.0,0.0,5.0,0.0,5.0,0.353521,0.417765,70.0,288.0,0.05772571066733449
18,1753192919,5.0,0.0,5.0,0.0,5.0,0.353521,0.417765,70.0,288.0,0.057781670144264864
19,1753192924,5.0,0.0,5.0,0.0,5.0,0.353521,0.417765,70.0,288.0,0.061017910551848374
20,1753192929,5.0,0.0,5.0,0.0,5.0,0.353521,0.417765,70.0,288.0,0.059973118002033185
21,1753192934,5.0,0.0,5.0,0.0,5.0,0.353521,0.417765,70.0,288.0,0.061252496796247266
22,1753192939,5.0,0.0,5.0,0.0,5.0,0.415331,0.469712,70.0,288.0,0.0644978013993024
23,1753192944,5.0,0.0,5.0,0.0,5.0,0.415331,0.469712,70.0,288.0,0.06566187223312797
24,1753192949,5.0,0.0,5.0,0.0,5.0,0.415331,0.469712,70.0,288.0,0.06637657098181922
25,1753192954,5.0,0.0,5.0,0.0,5.0,0.415331,0.469712,70.0,288.0,0.06436326681417395
26,1753192959,5.0,0.0,5.0,0.0,5.0,0.415331,0.469712,70.0,288.0,0.06511228146220378
27,1753192964,5.0,0.0,5.0,0.0,5.0,0.415331,0.469712,70.0,288.0,0.054472389444518064
28,1753192969,5.0,0.0,5.0,0.0,5.0,0.346632,0.130142,70.0,288.0,0.05775614260033679
29,1753192974,5.0,0.0,5.0,0.0,5.0,0.346632,0.130142,70.0,288.0,0.05359872015341127
30,1753192979,5.0,0.0,5.0,0.0,5.0,0.346632,0.130142,70.0,288.0,0.05266738024136284
31,1753192984,5.0,0.0,5.0,0.0,5.0,0.346632,0.130142,70.0,288.0,0.049437710931154705
32,1753192989,5.0,0.0,5.0,0.0,5.0,0.346632,0.130142,70.0,288.0,0.04977382417612304
33,1753192994,5.0,0.0,5.0,0.0,5.0,0.346632,0.130142,70.0,288.0,0.049842835125685166
34,1753192999,5.0,0.0,5.0,0.0,5.0,0.281369,0.380417,70.0,288.0,0.04774809955896174
35,1753193004,5.0,0.0,5.0,0.0,5.0,0.281369,0.380417,70.0,288.0,0.04869743288721344
36,1753193009,5.0,0.0,5.0,0.0,5.0,0.281369,0.380417,70.0,288.0,0.05202858244402061
37,1753193014,5.0,0.0,5.0,0.0,5.0,0.281369,0.380417,70.0,288.0,0.05203702452158943
38,1753193019,5.0,0.0,5.0,0.0,5.0,0.281369,0.380417,70.0,288.0,0.053730612738158254
39,1753193024,5.0,0.0,5.0,0.0,5.0,0.281369,0.380417,70.0,288.0,0.05427270414503939
