,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753189517,5.0,0.0,5.0,0.008001346590584733,5.0,3.891917,0.054219,70.0,288.0,0.06817732222075697
1,1753189522,5.0,0.0,5.0,0.008001346590584733,5.0,3.891917,0.054219,70.0,288.0,0.06601470353864343
2,1753189527,5.0,0.0,5.0,0.008001346590584733,5.0,3.891917,0.054219,70.0,288.0,0.07227781322157478
3,1753189532,5.0,0.0,5.0,0.008001346590584733,5.0,3.891917,0.054219,70.0,288.0,0.06952490934976169
4,1753189537,5.0,0.0,5.0,0.0,5.0,3.891917,0.054219,70.0,288.0,0.06844461281228287
5,1753189542,5.0,0.0,5.0,0.0,5.0,3.891917,0.054219,70.0,288.0,0.07140652392659803
6,1753189547,5.0,0.0,5.0,0.0,5.0,1.538856,0.066081,70.0,288.0,0.07392886623672153
7,1753189552,5.0,0.0,5.0,0.0,5.0,1.538856,0.066081,70.0,288.0,0.07632799480102384
8,1753189557,5.0,0.0,5.0,0.0,5.0,1.538856,0.066081,70.0,288.0,0.030739378952671884
9,1753189562,5.0,0.0,5.0,0.0,5.0,1.538856,0.066081,70.0,288.0,0.029605267187460108
10,1753189567,5.0,0.0,5.0,0.0,5.0,1.538856,0.066081,70.0,288.0,0.031123362721655
11,1753189572,5.0,0.0,5.0,0.0,5.0,1.538856,0.066081,70.0,288.0,0.03267403668187979
12,1753189577,5.0,0.0,5.0,0.0,5.0,0.050705,0.066752,70.0,288.0,0.034945340984777126
13,1753189582,5.0,0.0,5.0,0.0,5.0,0.050705,0.066752,70.0,288.0,0.03381300302644458
14,1753189587,5.0,0.0,5.0,0.0,5.0,0.050705,0.066752,70.0,288.0,0.03594495078358413
15,1753189592,5.0,0.0,5.0,0.0,5.0,0.050705,0.066752,70.0,288.0,0.03352143779370752
16,1753189597,5.0,0.0,5.0,0.0,5.0,0.050705,0.066752,70.0,288.0,0.03484037382466406
17,1753189602,5.0,0.0,5.0,0.0,5.0,0.050705,0.066752,70.0,288.0,0.03495599127532646
18,1753189607,5.0,0.0,5.0,0.0,5.0,0.070674,0.084621,70.0,288.0,0.03579094636132281
19,1753189612,5.0,0.0,5.0,0.0,5.0,0.070674,0.084621,70.0,288.0,0.036199058089969295
20,1753189617,5.0,0.0,5.0,0.0,5.0,0.070674,0.084621,70.0,288.0,0.0359667476451641
21,1753189622,5.0,0.0,5.0,0.0,5.0,0.070674,0.084621,70.0,288.0,0.034830565106071826
22,1753189627,5.0,0.0,5.0,0.0,5.0,0.070674,0.084621,70.0,288.0,0.03359252282809593
23,1753189632,5.0,0.0,5.0,0.0,5.0,0.070674,0.084621,70.0,288.0,0.033317538509830984
24,1753189637,5.0,0.0,5.0,0.0,5.0,0.100059,0.115529,70.0,288.0,0.03203255741965072
25,1753189642,5.0,0.0,5.0,0.0,5.0,0.100059,0.115529,70.0,288.0,0.030575968384809995
26,1753189647,5.0,0.0,5.0,0.0,5.0,0.100059,0.115529,70.0,288.0,0.03337814052753017
27,1753189652,5.0,0.0,5.0,0.0,5.0,0.100059,0.115529,70.0,288.0,0.033961382999726265
28,1753189657,5.0,0.0,5.0,0.0,5.0,0.100059,0.115529,70.0,288.0,0.0341099075841762
29,1753189662,5.0,0.0,5.0,0.0,5.0,0.100059,0.115529,70.0,288.0,0.03555441688760258
30,1753189667,5.0,0.0,5.0,0.0,5.0,0.097739,0.082737,70.0,288.0,0.03656447819221138
31,1753189672,5.0,0.0,5.0,0.0,5.0,0.097739,0.082737,70.0,288.0,0.03974158029038718
32,1753189677,5.0,0.0,5.0,0.0,5.0,0.097739,0.082737,70.0,288.0,0.03927816846322409
33,1753189682,5.0,0.0,5.0,0.0,5.0,0.097739,0.082737,70.0,288.0,0.03827033816830311
34,1753189687,5.0,0.0,5.0,0.0,5.0,0.097739,0.082737,70.0,288.0,0.037720860011242134
35,1753189692,5.0,0.0,5.0,0.0,5.0,0.097739,0.082737,70.0,288.0,0.038118550446439164
36,1753189697,5.0,0.0,5.0,0.0,5.0,0.086426,0.105571,70.0,288.0,0.0383908352201098
37,1753189702,5.0,0.0,5.0,0.0,5.0,0.086426,0.105571,70.0,288.0,0.03705043858318009
38,1753189707,5.0,0.0,5.0,0.0,5.0,0.086426,0.105571,70.0,288.0,0.03465500166800095
39,1753189712,5.0,0.0,5.0,0.0,5.0,0.086426,0.105571,70.0,288.0,0.03363442912609934
40,1753189717,5.0,0.0,5.0,0.0,5.0,0.086426,0.105571,70.0,288.0,0.03148031428097866
41,1753189722,5.0,0.0,5.0,0.0,5.0,0.086426,0.105571,70.0,288.0,0.03224459981484831
42,1753189727,5.0,0.0,5.0,0.0,5.0,0.094035,0.093486,70.0,288.0,0.03228040784848905
43,1753189732,5.0,0.0,5.0,0.0,5.0,0.094035,0.093486,70.0,288.0,0.03204140910526665
44,1753189737,5.0,0.0,5.0,0.0,5.0,0.094035,0.093486,70.0,288.0,0.032865471834879895
45,1753189742,5.0,0.0,5.0,0.0,5.0,0.094035,0.093486,70.0,288.0,0.03400931873285771
46,1753189747,5.0,0.0,5.0,0.0,5.0,0.094035,0.093486,70.0,288.0,0.03333210093618913
47,1753189752,5.0,0.0,5.0,0.0,5.0,0.094035,0.093486,70.0,288.0,0.035967001434096854
48,1753189757,5.0,0.0,5.0,0.0,5.0,0.089275,0.034053,70.0,288.0,0.03914929985624447
49,1753189762,5.0,0.0,5.0,0.0,5.0,0.089275,0.034053,70.0,288.0,0.03988191178686327
