,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753219504,1.0,0.0,1.0,0.1283374924684967,0.0,0.0,0.0,70.0,-111.0,0.0005800620636152054
1,1753219509,1.0,0.0,1.0,0.1283374924684967,0.0,0.0,0.0,70.0,-111.0,0.009432845925309368
2,1753219514,1.0,0.0,1.0,0.1283374924684967,0.0,0.0,0.0,70.0,-111.0,0.015580468095926694
3,1753219519,5.0,1.0,5.0,0.1283374924684967,5.0,0.290714,0.323625,70.0,288.0,0.018336977813563752
4,1753219524,5.0,1.0,5.0,0.1283374924684967,5.0,0.290714,0.323625,70.0,288.0,0.018661279603155185
5,1753219529,5.0,1.0,5.0,0.1283374924684967,5.0,0.290714,0.323625,70.0,288.0,0.020650313825433367
6,1753219534,5.0,1.0,5.0,0.0,5.0,0.290714,0.323625,70.0,288.0,0.022041979421435744
7,1753219539,5.0,1.0,5.0,0.0,5.0,0.290714,0.323625,70.0,288.0,0.02381475867283003
8,1753219544,5.0,1.0,5.0,0.0,5.0,0.290714,0.323625,70.0,288.0,0.026836549565521048
9,1753219549,5.0,0.0,5.0,0.0,5.0,0.520281,0.579181,70.0,288.0,0.02700575486754598
10,1753219554,5.0,0.0,5.0,0.0,5.0,0.520281,0.579181,70.0,288.0,0.020028059294111316
11,1753219559,5.0,0.0,5.0,0.0,5.0,0.520281,0.579181,70.0,288.0,0.021688251264970444
12,1753219564,5.0,0.0,5.0,0.0,5.0,0.520281,0.579181,70.0,288.0,0.022970783515344435
13,1753219569,5.0,0.0,5.0,0.0,5.0,0.520281,0.579181,70.0,288.0,0.04429988908027588
14,1753219574,5.0,0.0,5.0,0.0,5.0,0.520281,0.579181,70.0,288.0,0.04635093791248541
15,1753219579,5.0,0.0,5.0,0.0,5.0,0.37246,0.355254,70.0,288.0,0.06538929050656
16,1753219584,5.0,0.0,5.0,0.0,5.0,0.37246,0.355254,70.0,288.0,0.08991212433106653
17,1753219589,5.0,0.0,5.0,0.0,5.0,0.37246,0.355254,70.0,288.0,0.10614177397972986
18,1753219594,5.0,0.0,5.0,0.0,5.0,0.37246,0.355254,70.0,288.0,0.11132499116238073
19,1753219599,5.0,0.0,5.0,0.0,5.0,0.37246,0.355254,70.0,288.0,0.14390919344746228
20,1753219604,5.0,0.0,5.0,0.0,5.0,0.37246,0.355254,70.0,288.0,0.15727284566239425
21,1753219609,5.0,0.0,5.0,0.0,5.0,0.449976,0.500917,70.0,288.0,0.16646274263068522
22,1753219614,5.0,0.0,5.0,0.0,5.0,0.449976,0.500917,70.0,288.0,0.1913533924401048
23,1753219619,5.0,0.0,5.0,0.0,5.0,0.449976,0.500917,70.0,288.0,0.19196858271638736
24,1753219624,5.0,0.0,5.0,0.0,5.0,0.449976,0.500917,70.0,288.0,0.1958908545152477
25,1753219629,5.0,0.0,5.0,0.0,5.0,0.449976,0.500917,70.0,288.0,0.19282786758872278
26,1753219634,5.0,0.0,5.0,0.0,5.0,0.449976,0.500917,70.0,288.0,0.18065235222817858
27,1753219639,5.0,0.0,5.0,0.0,5.0,0.65806,0.668232,70.0,288.0,0.17634317000427924
28,1753219644,5.0,0.0,5.0,0.0,5.0,0.65806,0.668232,70.0,288.0,0.1502278078857001
29,1753219649,5.0,0.0,5.0,0.0,5.0,0.65806,0.668232,70.0,288.0,0.13487414640401563
30,1753219654,5.0,0.0,5.0,0.0,5.0,0.65806,0.668232,70.0,288.0,0.10811270508071183
31,1753219659,5.0,0.0,5.0,0.0,5.0,0.65806,0.668232,70.0,288.0,0.0862723124549516
32,1753219664,5.0,0.0,5.0,0.0,5.0,0.65806,0.668232,70.0,288.0,0.07892071010789246
33,1753219669,5.0,0.0,5.0,0.0,5.0,0.42412,0.3741,70.0,288.0,0.05450421093140688
34,1753219674,5.0,0.0,5.0,0.0,5.0,0.42412,0.3741,70.0,288.0,0.03493021688166414
35,1753219679,5.0,0.0,5.0,0.0,5.0,0.42412,0.3741,70.0,288.0,0.0271454557272211
36,1753219684,5.0,0.0,5.0,0.0,5.0,0.42412,0.3741,70.0,288.0,0.024390298519964347
37,1753219689,5.0,0.0,5.0,0.0,5.0,0.42412,0.3741,70.0,288.0,0.02705812176856557
38,1753219694,5.0,0.0,5.0,0.0,5.0,0.42412,0.3741,70.0,288.0,0.0356031425240994
39,1753219699,5.0,0.0,5.0,0.0,5.0,0.28041,0.280538,70.0,288.0,0.037012201732728525
40,1753219704,5.0,0.0,5.0,0.0,5.0,0.28041,0.280538,70.0,288.0,0.0409212328754531
41,1753219709,5.0,0.0,5.0,0.0,5.0,0.28041,0.280538,70.0,288.0,0.03959639983571232
42,1753219714,5.0,0.0,5.0,0.0,5.0,0.28041,0.280538,70.0,288.0,0.04446157883238599
43,1753219719,5.0,0.0,5.0,0.0,5.0,0.28041,0.280538,70.0,288.0,0.04544113084210754
44,1753219724,5.0,0.0,5.0,0.0,5.0,0.28041,0.280538,70.0,288.0,0.03873679686975926
45,1753219729,5.0,0.0,5.0,0.0,5.0,0.3346,0.364654,70.0,288.0,0.03779235097363534
46,1753219734,5.0,0.0,5.0,0.0,5.0,0.3346,0.364654,70.0,288.0,0.03193994600853144
47,1753219739,5.0,0.0,5.0,0.0,5.0,0.3346,0.364654,70.0,288.0,0.03596595966452304
48,1753219744,5.0,0.0,5.0,0.0,5.0,0.3346,0.364654,70.0,288.0,0.042105673520326015
49,1753219749,5.0,0.0,5.0,0.0,5.0,0.3346,0.364654,70.0,288.0,0.051735510211403844
50,1753219754,5.0,0.0,5.0,0.0,5.0,0.3346,0.364654,70.0,288.0,0.06974980628800623
51,1753219759,5.0,0.0,5.0,0.0,5.0,0.398328,0.407434,70.0,288.0,0.0702030457819912
52,1753219764,5.0,0.0,5.0,0.0,5.0,0.398328,0.407434,70.0,288.0,0.07840356923718551
53,1753219769,5.0,0.0,5.0,0.0,5.0,0.398328,0.407434,70.0,288.0,0.07512270615501931
54,1753219774,5.0,0.0,5.0,0.0,5.0,0.398328,0.407434,70.0,288.0,0.06803989363006897
55,1753219779,5.0,0.0,5.0,0.0,5.0,0.398328,0.407434,70.0,288.0,0.06761978515405315
56,1753219784,5.0,0.0,5.0,0.0,5.0,0.398328,0.407434,70.0,288.0,0.0658671146972482
57,1753219789,5.0,0.0,5.0,0.0,5.0,0.38273,0.370336,70.0,288.0,0.05054931550609584
58,1753219794,5.0,0.0,5.0,0.0,5.0,0.38273,0.370336,70.0,288.0,0.04102646333427859
59,1753219799,5.0,0.0,5.0,0.0,5.0,0.38273,0.370336,70.0,288.0,0.021087390801793206
60,1753219804,5.0,0.0,5.0,0.0,5.0,0.38273,0.370336,70.0,288.0,0.016318272868850865
61,1753219809,5.0,0.0,5.0,0.0,5.0,0.38273,0.370336,70.0,288.0,0.015970929202452633
62,1753219814,5.0,0.0,5.0,0.0,5.0,0.38273,0.370336,70.0,288.0,0.014290217379430478
63,1753219819,5.0,0.0,5.0,0.0,5.0,0.209341,0.212259,70.0,288.0,0.014437322007069304
64,1753219824,5.0,0.0,5.0,0.0,5.0,0.209341,0.212259,70.0,288.0,0.013160907701943548
65,1753219829,5.0,0.0,5.0,0.0,5.0,0.209341,0.212259,70.0,288.0,0.0131320376381664
66,1753219834,5.0,0.0,5.0,0.0,5.0,0.209341,0.212259,70.0,288.0,0.01448199457447441
67,1753219839,5.0,0.0,5.0,0.0,5.0,0.209341,0.212259,70.0,288.0,0.015933792006584534
68,1753219844,5.0,0.0,5.0,0.0,5.0,0.209341,0.212259,70.0,288.0,0.016220908060606574
69,1753219849,5.0,0.0,5.0,0.0,5.0,0.225575,0.211489,70.0,288.0,0.017018838490765964
70,1753219854,5.0,0.0,5.0,0.0,5.0,0.225575,0.211489,70.0,288.0,0.01759078493295964
71,1753219859,5.0,0.0,5.0,0.0,5.0,0.225575,0.211489,70.0,288.0,0.016607957131750416
72,1753219864,5.0,0.0,5.0,0.0,5.0,0.225575,0.211489,70.0,288.0,0.017603025797779046
73,1753219869,5.0,0.0,5.0,0.0,5.0,0.225575,0.211489,70.0,288.0,0.01724980699262235
74,1753219874,5.0,0.0,5.0,0.0,5.0,0.225575,0.211489,70.0,288.0,0.014875032588690452
75,1753219879,5.0,0.0,5.0,0.0,5.0,0.229419,0.237001,70.0,288.0,0.013465311627553992
76,1753219884,5.0,0.0,5.0,0.0,5.0,0.229419,0.237001,70.0,288.0,0.010760966958193625
77,1753219889,5.0,0.0,5.0,0.0,5.0,0.229419,0.237001,70.0,288.0,0.013455540328036822
78,1753219894,5.0,0.0,5.0,0.0,5.0,0.229419,0.237001,70.0,288.0,0.012463663850679992
79,1753219899,5.0,0.0,5.0,0.0,5.0,0.229419,0.237001,70.0,288.0,0.013848543992245443
80,1753219904,5.0,0.0,5.0,0.0,5.0,0.229419,0.237001,70.0,288.0,0.014441263624376805
81,1753219909,5.0,0.0,5.0,0.0,5.0,0.244054,0.232039,70.0,288.0,0.015539338864746784
82,1753219914,5.0,0.0,5.0,0.0,5.0,0.244054,0.232039,70.0,288.0,0.015535239371159292
83,1753219919,5.0,0.0,5.0,0.0,5.0,0.244054,0.232039,70.0,288.0,0.016214653789265676
84,1753219924,5.0,0.0,5.0,0.0,5.0,0.244054,0.232039,70.0,288.0,0.017851056454445534
85,1753219929,5.0,0.0,5.0,0.0,5.0,0.244054,0.232039,70.0,288.0,0.017317881890298596
86,1753219934,5.0,0.0,5.0,0.0,5.0,0.244054,0.232039,70.0,288.0,0.0186071472050123
87,1753219939,5.0,0.0,5.0,0.0,5.0,0.339046,0.344775,70.0,288.0,0.016447308815430113
