,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1753218651,5.0,0.0,5.0,25.968664367565598,5.0,7.526969,0.030791,70.0,288.0,0.055698784072188805
1,1753218656,5.0,0.0,5.0,25.968664367565598,5.0,7.526969,0.030791,70.0,288.0,0.05779429306896906
2,1753218661,5.0,0.0,5.0,25.968664367565598,5.0,7.526969,0.030791,70.0,288.0,0.054890503409816715
3,1753218666,5.0,0.0,5.0,0.0,5.0,7.526969,0.030791,70.0,288.0,0.04975663637842045
4,1753218671,5.0,0.0,5.0,0.0,5.0,7.526969,0.030791,70.0,288.0,0.05635740947425086
5,1753218676,5.0,0.0,5.0,0.0,5.0,2.745775,0.028025,70.0,288.0,0.05688937331122884
6,1753218681,5.0,0.0,5.0,0.0,5.0,2.745775,0.028025,70.0,288.0,0.05643611458340945
7,1753218686,5.0,0.0,5.0,0.0,5.0,2.745775,0.028025,70.0,288.0,0.059420234974068814
8,1753218691,5.0,0.0,5.0,0.0,5.0,2.745775,0.028025,70.0,288.0,0.02320041177655213
9,1753218696,5.0,0.0,5.0,0.0,5.0,2.745775,0.028025,70.0,288.0,0.028283294305265695
10,1753218701,5.0,0.0,5.0,0.0,5.0,2.745775,0.028025,70.0,288.0,0.02820369511610736
11,1753218706,5.0,0.0,5.0,0.0,5.0,0.052419,0.127678,70.0,288.0,0.028927045129594035
12,1753218711,5.0,0.0,5.0,0.0,5.0,0.052419,0.127678,70.0,288.0,0.037722981937409
13,1753218716,5.0,0.0,5.0,0.0,5.0,0.052419,0.127678,70.0,288.0,0.04001238778108354
14,1753218721,5.0,0.0,5.0,0.0,5.0,0.052419,0.127678,70.0,288.0,0.04194323949962264
15,1753218726,5.0,0.0,5.0,0.0,5.0,0.052419,0.127678,70.0,288.0,0.045567355405958763
16,1753218731,5.0,0.0,5.0,0.0,5.0,0.052419,0.127678,70.0,288.0,0.04549279120345545
17,1753218736,5.0,0.0,5.0,0.0,5.0,0.064914,0.038936,70.0,288.0,0.04432672104407097
18,1753218741,5.0,0.0,5.0,0.0,5.0,0.064914,0.038936,70.0,288.0,0.04509535076684189
19,1753218746,5.0,0.0,5.0,0.0,5.0,0.064914,0.038936,70.0,288.0,0.04414761807282395
20,1753218751,5.0,0.0,5.0,0.0,5.0,0.064914,0.038936,70.0,288.0,0.04109659713732142
21,1753218756,5.0,0.0,5.0,0.0,5.0,0.064914,0.038936,70.0,288.0,0.03416995602534903
22,1753218761,5.0,0.0,5.0,0.0,5.0,0.064914,0.038936,70.0,288.0,0.037941136075691155
23,1753218766,5.0,0.0,5.0,0.0,5.0,0.067963,0.09853,70.0,288.0,0.039423402642998734
24,1753218771,5.0,0.0,5.0,0.0,5.0,0.067963,0.09853,70.0,288.0,0.04337823582282401
25,1753218776,5.0,0.0,5.0,0.0,5.0,0.067963,0.09853,70.0,288.0,0.04086649763073634
26,1753218781,5.0,0.0,5.0,0.0,5.0,0.067963,0.09853,70.0,288.0,0.041922815594488155
27,1753218786,5.0,0.0,5.0,0.0,5.0,0.067963,0.09853,70.0,288.0,0.04298701751689117
28,1753218791,5.0,0.0,5.0,0.0,5.0,0.067963,0.09853,70.0,288.0,0.04398723921889334
29,1753218796,5.0,0.0,5.0,0.0,5.0,0.066541,0.056038,70.0,288.0,0.04337465134555713
30,1753218801,5.0,0.0,5.0,0.0,5.0,0.066541,0.056038,70.0,288.0,0.04342354072352521
31,1753218806,5.0,0.0,5.0,0.0,5.0,0.066541,0.056038,70.0,288.0,0.04199762865006517
32,1753218811,5.0,0.0,5.0,0.0,5.0,0.066541,0.056038,70.0,288.0,0.037150337503370365
33,1753218816,5.0,0.0,5.0,0.0,5.0,0.066541,0.056038,70.0,288.0,0.03575627280993215
34,1753218821,5.0,0.0,5.0,0.0,5.0,0.066541,0.056038,70.0,288.0,0.03382411600947263
35,1753218826,5.0,0.0,5.0,0.0,5.0,0.056306,0.083109,70.0,288.0,0.036922453043439926
36,1753218831,5.0,0.0,5.0,0.0,5.0,0.056306,0.083109,70.0,288.0,0.03799518570763492
37,1753218836,5.0,0.0,5.0,0.0,5.0,0.056306,0.083109,70.0,288.0,0.04039998048699104
38,1753218841,5.0,0.0,5.0,0.0,5.0,0.056306,0.083109,70.0,288.0,0.035315590886597484
39,1753218846,5.0,0.0,5.0,0.0,5.0,0.056306,0.083109,70.0,288.0,0.039121169738600275
40,1753218851,5.0,0.0,5.0,0.0,5.0,0.056306,0.083109,70.0,288.0,0.039732626819807035
41,1753218856,5.0,0.0,5.0,0.0,5.0,0.052113,0.023147,70.0,288.0,0.03977055533984589
42,1753218861,5.0,0.0,5.0,0.0,5.0,0.052113,0.023147,70.0,288.0,0.03693363864872097
43,1753218866,5.0,0.0,5.0,0.0,5.0,0.052113,0.023147,70.0,288.0,0.03663185639325617
44,1753218871,5.0,0.0,5.0,0.0,5.0,0.052113,0.023147,70.0,288.0,0.03163501002176095
45,1753218876,5.0,0.0,5.0,0.0,5.0,0.052113,0.023147,70.0,288.0,0.02834125721776213
46,1753218881,5.0,0.0,5.0,0.0,5.0,0.052113,0.023147,70.0,288.0,0.024740247436888504
47,1753218886,5.0,0.0,5.0,0.0,5.0,0.034503,0.02477,70.0,288.0,0.02163043103587994
48,1753218891,5.0,0.0,5.0,0.0,5.0,0.034503,0.02477,70.0,288.0,0.02296892217880748
49,1753218896,5.0,0.0,5.0,0.0,5.0,0.034503,0.02477,70.0,288.0,0.02124398272412123
50,1753218901,5.0,0.0,5.0,0.0,5.0,0.034503,0.02477,70.0,288.0,0.021765028132860617
51,1753218906,5.0,0.0,5.0,0.0,5.0,0.034503,0.02477,70.0,288.0,0.02490482219929132
52,1753218911,5.0,0.0,5.0,0.0,5.0,0.034503,0.02477,70.0,288.0,0.02729321509364587
53,1753218916,5.0,0.0,5.0,0.0,5.0,0.046399,0.105212,70.0,288.0,0.032742758876488975
54,1753218921,5.0,0.0,5.0,0.0,5.0,0.046399,0.105212,70.0,288.0,0.03596279270598435
55,1753218926,5.0,0.0,5.0,0.0,5.0,0.046399,0.105212,70.0,288.0,0.04012223010206475
56,1753218931,5.0,0.0,5.0,0.0,5.0,0.046399,0.105212,70.0,288.0,0.039605677998333456
57,1753218936,5.0,0.0,5.0,0.0,5.0,0.046399,0.105212,70.0,288.0,0.04358616756414819
58,1753218941,5.0,0.0,5.0,0.0,5.0,0.046399,0.105212,70.0,288.0,0.04651780705898208
59,1753218946,5.0,0.0,5.0,0.0,5.0,0.074885,0.079795,70.0,288.0,0.045563146937942646
60,1753218951,5.0,0.0,5.0,0.0,5.0,0.074885,0.079795,70.0,288.0,0.0495154340636832
61,1753218956,5.0,0.0,5.0,0.0,5.0,0.074885,0.079795,70.0,288.0,0.05075810516672739
62,1753218961,5.0,0.0,5.0,0.0,5.0,0.074885,0.079795,70.0,288.0,0.048551587315935944
63,1753218966,5.0,0.0,5.0,0.0,5.0,0.074885,0.079795,70.0,288.0,0.050760547109883716
64,1753218971,5.0,0.0,5.0,0.0,5.0,0.074885,0.079795,70.0,288.0,0.05138387638192053
65,1753218976,5.0,0.0,5.0,0.0,5.0,0.077444,0.018285,70.0,288.0,0.0505010353981633
66,1753218981,5.0,0.0,5.0,0.0,5.0,0.077444,0.018285,70.0,288.0,0.050860238132973176
67,1753218986,5.0,0.0,5.0,0.0,5.0,0.077444,0.018285,70.0,288.0,0.05070898327563279
68,1753218991,5.0,0.0,5.0,0.0,5.0,0.077444,0.018285,70.0,288.0,0.047918803505930044
69,1753218996,5.0,0.0,5.0,0.0,5.0,0.077444,0.018285,70.0,288.0,0.052005773822517504
70,1753219001,5.0,0.0,5.0,0.0,5.0,0.077444,0.018285,70.0,288.0,0.05207550240297496
71,1753219006,5.0,0.0,5.0,0.0,5.0,0.081538,0.026461,70.0,288.0,0.04914575863904073
72,1753219011,5.0,0.0,5.0,0.0,5.0,0.081538,0.026461,70.0,288.0,0.04835023862838247
73,1753219016,5.0,0.0,5.0,0.0,5.0,0.081538,0.026461,70.0,288.0,0.04814253804185602
74,1753219021,5.0,0.0,5.0,0.0,5.0,0.081538,0.026461,70.0,288.0,0.05196834367564798
75,1753219026,5.0,0.0,5.0,0.0,5.0,0.081538,0.026461,70.0,288.0,0.05533705676923906
76,1753219031,5.0,0.0,5.0,0.0,5.0,0.081538,0.026461,70.0,288.0,0.056768932881809786
77,1753219036,5.0,0.0,5.0,0.0,5.0,0.097223,0.057684,70.0,288.0,0.057310772340719365
78,1753219041,5.0,0.0,5.0,0.0,5.0,0.097223,0.057684,70.0,288.0,0.056460080121868955
79,1753219046,5.0,0.0,5.0,0.0,5.0,0.097223,0.057684,70.0,288.0,0.05564967105674441
80,1753219051,5.0,0.0,5.0,0.0,5.0,0.097223,0.057684,70.0,288.0,0.058694598016379496
81,1753219056,5.0,0.0,5.0,0.0,5.0,0.097223,0.057684,70.0,288.0,0.05800443148177575
