,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1753271458,5.0,0.0,5.0,1.0,5.0,0.433764,0.583001,70.0,288.0,0.03802943948647431
1,1753271463,5.0,0.0,5.0,0.0,5.0,0.433764,0.583001,70.0,288.0,0.06567826359467012
2,1753271468,5.0,0.0,5.0,0.0,5.0,0.433764,0.583001,70.0,288.0,0.07625576603720864
3,1753271473,5.0,0.0,5.0,0.0,5.0,0.433764,0.583001,70.0,288.0,0.08425499745709278
4,1753271478,5.0,0.0,5.0,0.0,5.0,0.440873,0.329855,70.0,288.0,0.08461983506461099
5,1753271483,5.0,0.0,5.0,0.0,5.0,0.440873,0.329855,70.0,288.0,0.09545221261221373
6,1753271488,5.0,0.0,5.0,0.0,5.0,0.440873,0.329855,70.0,288.0,0.1105708281633328
7,1753271493,5.0,0.0,5.0,0.0,5.0,0.440873,0.329855,70.0,288.0,0.11306865871673476
8,1753271498,5.0,0.0,5.0,0.0,5.0,0.440873,0.329855,70.0,288.0,0.1321695236012845
9,1753271503,5.0,0.0,5.0,0.0,5.0,0.440873,0.329855,70.0,288.0,0.13283212415208512
10,1753271508,5.0,0.0,5.0,0.0,5.0,0.39705,0.203716,70.0,288.0,0.128221307454987
11,1753271513,5.0,0.0,5.0,0.0,5.0,0.39705,0.203716,70.0,288.0,0.13703906178604872
12,1753271518,5.0,0.0,5.0,0.0,5.0,0.39705,0.203716,70.0,288.0,0.14101704952183663
13,1753271523,5.0,0.0,5.0,0.0,5.0,0.39705,0.203716,70.0,288.0,0.15752744386312306
14,1753271528,5.0,0.0,5.0,0.0,5.0,0.39705,0.203716,70.0,288.0,0.1588329682574511
15,1753271533,5.0,0.0,5.0,0.0,5.0,0.39705,0.203716,70.0,288.0,0.1599505456341323
16,1753271538,5.0,0.0,5.0,0.0,5.0,0.399532,0.50224,70.0,288.0,0.16151668003876088
17,1753271543,5.0,0.0,5.0,0.0,5.0,0.399532,0.50224,70.0,288.0,0.1550709353057692
18,1753271548,5.0,0.0,5.0,0.0,5.0,0.399532,0.50224,70.0,288.0,0.13881537170203917
