,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1753271458,5.0,0.0,5.0,0.002928218765742499,5.0,0.034394,0.004359,70.0,188.0,0.20373067017112992,0.20373067017112992
1,1753271463,5.0,0.0,5.0,0.0,5.0,0.034394,0.004359,70.0,188.0,0.20542366132062628,0.20542366132062628
2,1753271468,5.0,0.0,5.0,0.0,5.0,0.034394,0.004359,70.0,188.0,0.14939531110019796,0.14939531110019796
3,1753271473,5.0,0.0,5.0,0.0,5.0,0.034394,0.004359,70.0,188.0,0.170267759017303,0.170267759017303
4,1753271478,5.0,0.0,5.0,0.0,5.0,0.03713,0.000438,70.0,288.0,0.1655069288879279,0.1655069288879279
5,1753271483,5.0,0.0,5.0,0.0,5.0,0.03713,0.000438,70.0,288.0,0.17160365218609439,0.17160365218609439
6,1753271488,5.0,0.0,5.0,0.0,5.0,0.03713,0.000438,70.0,288.0,0.15177700458825874,0.15177700458825874
7,1753271493,5.0,0.0,5.0,0.0,5.0,0.03713,0.000438,70.0,288.0,0.06018691066397962,0.06018691066397962
8,1753271498,5.0,0.0,5.0,0.0,5.0,0.03713,0.000438,70.0,288.0,0.00448288641308747,0.00448288641308747
9,1753271503,5.0,0.0,5.0,0.0,5.0,0.03713,0.000438,70.0,288.0,0.004329172784810636,0.004329172784810636
10,1753271508,5.0,0.0,5.0,0.0,5.0,0.003352,0.001382,70.0,288.0,0.004221526837102486,0.004221526837102486
11,1753271513,5.0,0.0,5.0,0.0,5.0,0.003352,0.001382,70.0,288.0,0.005244873267329217,0.005244873267329217
12,1753271518,5.0,0.0,5.0,0.0,5.0,0.003352,0.001382,70.0,288.0,0.005228931691380079,0.005228931691380079
13,1753271523,5.0,0.0,5.0,0.0,5.0,0.003352,0.001382,70.0,288.0,0.005020486246496299,0.005020486246496299
14,1753271528,5.0,0.0,5.0,0.0,5.0,0.003352,0.001382,70.0,288.0,0.004279289621418313,0.004279289621418313
15,1753271533,5.0,0.0,5.0,0.0,5.0,0.003352,0.001382,70.0,288.0,0.004815839539946271,0.004815839539946271
16,1753271538,5.0,0.0,5.0,0.0,5.0,0.001564,0.002825,70.0,288.0,0.0048830067028700274,0.0048830067028700274
17,1753271543,5.0,0.0,5.0,0.0,5.0,0.001564,0.002825,70.0,288.0,0.004707564237473208,0.004707564237473208
