,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1753216914,3.0,0.0,1.0,,3.0,64.154996,64.154996,35.0,-226.0,
1,1753216919,3.0,0.0,1.0,,3.0,64.154996,64.154996,35.0,-226.0,0.3555489982817143
2,1753216924,3.0,0.0,1.0,2.260947622343143,3.0,64.154996,64.154996,35.0,-226.0,0.67328082707575
3,1753216929,3.0,0.0,1.0,2.260947622343143,3.0,64.154996,64.154996,35.0,-226.0,0.8326588837513973
4,1753216934,3.0,0.0,1.0,2.260947622343143,3.0,64.154996,64.154996,35.0,-226.0,0.8744265154058276
5,1753216939,3.0,0.0,2.0,2.260947622343143,3.0,18.852774,18.852774,35.0,-130.0,1.1309599549614764
6,1753216944,3.0,0.0,2.0,2.260947622343143,3.0,18.852774,18.852774,35.0,-130.0,1.2460659739927866
7,1753216949,3.0,0.0,2.0,2.260947622343143,3.0,18.852774,18.852774,35.0,-130.0,1.4294659633645088
8,1753216954,3.0,0.0,2.0,3.1186967324476202,3.0,18.852774,18.852774,35.0,-130.0,1.5514281183601208
9,1753216959,3.0,0.0,2.0,3.1186967324476202,3.0,18.852774,18.852774,35.0,-130.0,1.7414940182731042
10,1753216964,3.0,0.0,2.0,3.1186967324476202,3.0,18.852774,18.852774,35.0,-130.0,1.9333410367974269
11,1753216969,1.0,1.0,2.0,3.1186967324476202,1.0,13.434985,13.434985,35.0,-75.0,2.137792630165921
12,1753216974,1.0,1.0,2.0,3.1186967324476202,1.0,13.434985,13.434985,35.0,-75.0,2.1030886785072003
13,1753216979,1.0,1.0,2.0,3.1186967324476202,1.0,13.434985,13.434985,35.0,-75.0,1.851839956548191
14,1753216984,1.0,1.0,2.0,251.6704249040686,1.0,13.434985,13.434985,35.0,-75.0,1.9973884350979345
15,1753216989,1.0,1.0,2.0,251.6704249040686,1.0,13.434985,13.434985,35.0,-75.0,1.6650325511970165
16,1753216994,1.0,1.0,2.0,251.6704249040686,1.0,13.434985,13.434985,35.0,-75.0,1.6650325511970165
17,1753216999,2.0,2.0,0.0,251.6704249040686,2.0,67.133489,67.133489,35.0,-279.0,1.182369840313626
18,1753217004,2.0,2.0,0.0,251.6704249040686,2.0,67.133489,67.133489,35.0,-279.0,1.0674187158215467
19,1753217009,2.0,2.0,0.0,251.6704249040686,2.0,67.133489,67.133489,35.0,-279.0,0.36642973193784273
20,1753217014,2.0,2.0,0.0,167.20544938531447,2.0,67.133489,67.133489,35.0,-279.0,0.3199848656021797
21,1753217019,2.0,2.0,0.0,167.20544938531447,2.0,67.133489,67.133489,35.0,-279.0,0.09537360913638758
22,1753217024,2.0,2.0,0.0,167.20544938531447,2.0,67.133489,67.133489,35.0,-279.0,0.0003420069138374643
23,1753217029,5.0,0.0,0.0,167.20544938531447,5.0,143.674534,143.674534,35.0,-355.0,0.0002828074895770156
24,1753217034,5.0,0.0,0.0,167.20544938531447,5.0,143.674534,143.674534,35.0,-355.0,
25,1753217039,5.0,0.0,0.0,167.20544938531447,5.0,143.674534,143.674534,35.0,-355.0,
26,1753217044,5.0,0.0,0.0,14.613572068578698,5.0,143.674534,143.674534,35.0,-355.0,
27,1753217049,5.0,0.0,0.0,14.613572068578698,5.0,143.674534,143.674534,35.0,-355.0,0.3216717758659266
28,1753217054,5.0,0.0,0.0,14.613572068578698,5.0,143.674534,143.674534,35.0,-355.0,0.777294998866008
29,1753217059,5.0,0.0,5.0,14.613572068578698,5.0,100.497782,100.497782,35.0,-62.0,1.2119708377678935
30,1753217064,5.0,0.0,5.0,14.613572068578698,5.0,100.497782,100.497782,35.0,-62.0,1.465705276581596
31,1753217069,5.0,0.0,5.0,14.613572068578698,5.0,100.497782,100.497782,35.0,-62.0,1.5406740435584994
32,1753217074,5.0,0.0,5.0,7.997462241923867,5.0,100.497782,100.497782,35.0,-62.0,1.7516715333670012
33,1753217079,5.0,0.0,5.0,7.997462241923867,5.0,100.497782,100.497782,35.0,-62.0,2.2879235295009552
34,1753217084,5.0,0.0,5.0,7.997462241923867,5.0,100.497782,100.497782,35.0,-62.0,2.562140500463363
35,1753217089,5.0,0.0,5.0,7.997462241923867,5.0,18.48982,18.48982,35.0,20.0,2.661470299767551
36,1753217094,5.0,0.0,5.0,7.997462241923867,5.0,18.48982,18.48982,35.0,20.0,2.990703744295401
37,1753217099,5.0,0.0,5.0,7.997462241923867,5.0,18.48982,18.48982,35.0,20.0,3.1868545486933177
38,1753217104,5.0,0.0,5.0,95.49359020617311,5.0,18.48982,18.48982,35.0,20.0,3.293734299540662
39,1753217109,5.0,0.0,5.0,95.49359020617311,5.0,18.48982,18.48982,35.0,20.0,3.2126116977060706
40,1753217114,5.0,0.0,5.0,95.49359020617311,5.0,18.48982,18.48982,35.0,20.0,3.013796775515804
41,1753217119,2.0,4.0,1.0,95.49359020617311,2.0,58.792911,58.792911,35.0,-220.0,2.351425549214631
42,1753217124,2.0,4.0,1.0,95.49359020617311,2.0,58.792911,58.792911,35.0,-220.0,2.2954809175890465
43,1753217129,2.0,4.0,1.0,95.49359020617311,2.0,58.792911,58.792911,35.0,-220.0,2.006678708517934
44,1753217134,2.0,4.0,1.0,123.75029261251477,2.0,58.792911,58.792911,35.0,-220.0,1.7357149483604326
45,1753217139,2.0,4.0,1.0,123.75029261251477,2.0,58.792911,58.792911,35.0,-220.0,1.145708757875815
46,1753217144,2.0,4.0,1.0,123.75029261251477,2.0,58.792911,58.792911,35.0,-220.0,0.7066738362621394
47,1753217149,3.0,0.0,0.0,123.75029261251477,3.0,95.357402,95.357402,35.0,-307.0,0.22448715547340187
48,1753217154,3.0,0.0,0.0,123.75029261251477,3.0,95.357402,95.357402,35.0,-307.0,0.02106190669772015
49,1753217159,3.0,0.0,0.0,123.75029261251477,3.0,95.357402,95.357402,35.0,-307.0,0.0010044449274990738
50,1753217164,3.0,0.0,0.0,0.298668547794533,3.0,95.357402,95.357402,35.0,-307.0,0.0008613798502424971
51,1753217169,3.0,0.0,0.0,0.298668547794533,3.0,95.357402,95.357402,35.0,-307.0,0.00023482914967343146
52,1753217174,3.0,0.0,0.0,0.298668547794533,3.0,95.357402,95.357402,35.0,-307.0,0.00017972951109124243
53,1753217179,4.0,0.0,0.0,0.298668547794533,4.0,97.218733,97.218733,35.0,-309.0,
54,1753217184,4.0,0.0,0.0,0.298668547794533,4.0,97.218733,97.218733,35.0,-309.0,
55,1753217189,4.0,0.0,0.0,0.298668547794533,4.0,97.218733,97.218733,35.0,-309.0,
56,1753217194,4.0,0.0,0.0,18.435268495357043,4.0,97.218733,97.218733,35.0,-309.0,
57,1753217199,4.0,0.0,0.0,18.435268495357043,4.0,97.218733,97.218733,35.0,-309.0,
58,1753217204,4.0,0.0,0.0,18.435268495357043,4.0,97.218733,97.218733,35.0,-309.0,
59,1753217209,6.0,0.0,0.0,18.435268495357043,6.0,176.484946,176.484946,35.0,-388.0,
60,1753217214,6.0,0.0,0.0,18.435268495357043,6.0,176.484946,176.484946,35.0,-388.0,
61,1753217219,6.0,0.0,0.0,18.435268495357043,6.0,176.484946,176.484946,35.0,-388.0,0.13835979871284093
62,1753217224,6.0,0.0,0.0,165.85712105699537,6.0,176.484946,176.484946,35.0,-388.0,0.1882519225252835
63,1753217229,6.0,0.0,0.0,165.85712105699537,6.0,176.484946,176.484946,35.0,-388.0,0.465980821117181
64,1753217234,6.0,0.0,0.0,165.85712105699537,6.0,176.484946,176.484946,35.0,-388.0,0.8335584183866375
65,1753217239,6.0,0.0,4.0,165.85712105699537,6.0,150.770706,150.770706,35.0,-162.0,1.263484537967852
66,1753217244,6.0,0.0,4.0,165.85712105699537,6.0,150.770706,150.770706,35.0,-162.0,1.5389882735410472
67,1753217249,6.0,0.0,4.0,165.85712105699537,6.0,150.770706,150.770706,35.0,-162.0,1.4041899012167152
68,1753217254,6.0,0.0,4.0,12.03034262979123,6.0,150.770706,150.770706,35.0,-162.0,1.9481885007165387
69,1753217259,6.0,0.0,4.0,12.03034262979123,6.0,150.770706,150.770706,35.0,-162.0,2.211649865754971
70,1753217264,6.0,0.0,4.0,12.03034262979123,6.0,150.770706,150.770706,35.0,-162.0,2.603741140013522
71,1753217269,6.0,0.0,5.0,12.03034262979123,6.0,38.05821,38.05821,35.0,0.0,2.7659852847754975
72,1753217274,6.0,0.0,5.0,12.03034262979123,6.0,38.05821,38.05821,35.0,0.0,2.9984154444908
73,1753217279,6.0,0.0,5.0,12.03034262979123,6.0,38.05821,38.05821,35.0,0.0,3.0890022881372428
74,1753217284,6.0,0.0,5.0,6.309739644980706,6.0,38.05821,38.05821,35.0,0.0,3.028530113245284
75,1753217289,6.0,0.0,5.0,6.309739644980706,6.0,38.05821,38.05821,35.0,0.0,2.8503764978780635
76,1753217294,6.0,0.0,5.0,6.309739644980706,6.0,38.05821,38.05821,35.0,0.0,2.8139331949444553
77,1753217299,2.0,5.0,1.0,6.309739644980706,2.0,62.931661,62.931661,35.0,-224.0,2.2698430789700343
78,1753217304,2.0,5.0,1.0,6.309739644980706,2.0,62.931661,62.931661,35.0,-224.0,2.053812422249791
79,1753217309,2.0,5.0,1.0,6.309739644980706,2.0,62.931661,62.931661,35.0,-224.0,1.8325696089436443
80,1753217314,2.0,5.0,1.0,491.9407728692583,2.0,62.931661,62.931661,35.0,-224.0,1.0619919886938696
81,1753217319,2.0,5.0,1.0,491.9407728692583,2.0,62.931661,62.931661,35.0,-224.0,0.7135768824154151
82,1753217324,2.0,5.0,1.0,491.9407728692583,2.0,62.931661,62.931661,35.0,-224.0,0.45131982482915967
83,1753217329,5.0,0.0,2.0,491.9407728692583,5.0,159.814636,159.814636,35.0,-271.0,0.63150176582109
84,1753217334,5.0,0.0,2.0,491.9407728692583,5.0,159.814636,159.814636,35.0,-271.0,0.43819331575118803
85,1753217339,5.0,0.0,2.0,491.9407728692583,5.0,159.814636,159.814636,35.0,-271.0,0.24728913694636998
86,1753217344,5.0,0.0,2.0,361.9575662742008,5.0,159.814636,159.814636,35.0,-271.0,0.24660076782383872
87,1753217349,5.0,0.0,2.0,361.9575662742008,5.0,159.814636,159.814636,35.0,-271.0,0.24627069166666662
88,1753217354,5.0,0.0,2.0,361.9575662742008,5.0,159.814636,159.814636,35.0,-271.0,0.24627069166666662
89,1753217359,6.0,0.0,1.0,361.9575662742008,6.0,173.935071,173.935071,35.0,-335.0,0.24627069166666662
90,1753217364,6.0,0.0,1.0,361.9575662742008,6.0,173.935071,173.935071,35.0,-335.0,0.24627069166666662
91,1753217369,6.0,0.0,1.0,361.9575662742008,6.0,173.935071,173.935071,35.0,-335.0,0.24627069166666662
92,1753217374,6.0,0.0,1.0,186.8615615669491,6.0,173.935071,173.935071,35.0,-335.0,
93,1753217379,6.0,0.0,1.0,186.8615615669491,6.0,173.935071,173.935071,35.0,-335.0,
94,1753217384,6.0,0.0,1.0,186.8615615669491,6.0,173.935071,173.935071,35.0,-335.0,
95,1753217389,6.0,0.0,1.0,186.8615615669491,6.0,142.110611,142.110611,35.0,-304.0,
96,1753217394,6.0,0.0,1.0,186.8615615669491,6.0,142.110611,142.110611,35.0,-304.0,
97,1753217399,6.0,0.0,1.0,186.8615615669491,6.0,142.110611,142.110611,35.0,-304.0,
98,1753217404,6.0,0.0,1.0,597.9319205647405,6.0,142.110611,142.110611,35.0,-304.0,
99,1753217409,6.0,0.0,1.0,597.9319205647405,6.0,142.110611,142.110611,35.0,-304.0,
100,1753217414,6.0,0.0,1.0,597.9319205647405,6.0,142.110611,142.110611,35.0,-304.0,
101,1753217419,7.0,0.0,0.0,597.9319205647405,7.0,215.696508,215.696508,35.0,-427.0,
102,1753217424,7.0,0.0,0.0,597.9319205647405,7.0,215.696508,215.696508,35.0,-427.0,
103,1753217429,7.0,0.0,0.0,597.9319205647405,7.0,215.696508,215.696508,35.0,-427.0,
104,1753217434,7.0,0.0,0.0,18.723639194187722,7.0,215.696508,215.696508,35.0,-427.0,
105,1753217439,7.0,0.0,0.0,18.723639194187722,7.0,215.696508,215.696508,35.0,-427.0,
106,1753217444,7.0,0.0,0.0,18.723639194187722,7.0,215.696508,215.696508,35.0,-427.0,
107,1753217449,8.0,0.0,0.0,18.723639194187722,8.0,271.061493,271.061493,35.0,-483.0,
108,1753217454,8.0,0.0,0.0,18.723639194187722,8.0,271.061493,271.061493,35.0,-483.0,
109,1753217459,8.0,0.0,0.0,18.723639194187722,8.0,271.061493,271.061493,35.0,-483.0,
