,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752842582,5.0,0.0,0.0,107.62733409067782,5.0,26.582212,29.962084,70.0,-241.0,0.021465160807037087
1,1752842587,5.0,0.0,0.0,107.62733409067782,5.0,26.582212,29.962084,70.0,-241.0,0.033747494898453065
2,1752842592,5.0,0.0,0.0,107.62733409067782,5.0,26.582212,29.962084,70.0,-241.0,0.0488030226094948
3,1752842597,5.0,0.0,5.0,107.62733409067782,5.0,107.354201,332.966258,70.0,-44.0,0.06770541933797626
4,1752842602,5.0,0.0,5.0,107.62733409067782,5.0,107.354201,332.966258,70.0,-44.0,0.07294417905237909
5,1752842607,5.0,0.0,5.0,0.0,5.0,107.354201,332.966258,70.0,-44.0,0.08262576446197413
6,1752842612,5.0,0.0,5.0,0.0,5.0,107.354201,332.966258,70.0,-44.0,0.10547864802536963
7,1752842617,5.0,0.0,5.0,0.0,5.0,107.354201,332.966258,70.0,-44.0,0.13115677755245075
8,1752842622,5.0,0.0,5.0,0.0,5.0,107.354201,332.966258,70.0,-44.0,0.1623937549160281
9,1752842627,5.0,0.0,5.0,0.0,5.0,118.897931,79.06344,70.0,209.0,0.17345918233502605
10,1752842632,5.0,0.0,5.0,0.0,5.0,118.897931,79.06344,70.0,209.0,0.18549492857194042
11,1752842637,5.0,0.0,5.0,0.0,5.0,118.897931,79.06344,70.0,209.0,0.1964778136776229
12,1752842642,5.0,0.0,5.0,0.0,5.0,118.897931,79.06344,70.0,209.0,0.19526734442087565
13,1752842647,5.0,0.0,5.0,0.0,5.0,118.897931,79.06344,70.0,209.0,0.20753578317729332
14,1752842652,5.0,0.0,5.0,0.0,5.0,118.897931,79.06344,70.0,209.0,0.18403765394756075
15,1752842657,5.0,0.0,5.0,0.0,5.0,148.738987,335.389072,70.0,-47.0,0.16146454404393157
16,1752842662,5.0,0.0,5.0,0.0,5.0,148.738987,335.389072,70.0,-47.0,0.16197564952037596
17,1752842667,5.0,0.0,5.0,0.0,5.0,148.738987,335.389072,70.0,-47.0,0.155081064829184
18,1752842672,5.0,0.0,5.0,0.0,5.0,148.738987,335.389072,70.0,-47.0,0.14486481419083824
19,1752842677,5.0,0.0,5.0,0.0,5.0,148.738987,335.389072,70.0,-47.0,0.14423133080889902
20,1752842682,5.0,0.0,5.0,0.0,5.0,148.738987,335.389072,70.0,-47.0,0.11754814071461925
21,1752842687,5.0,0.0,5.0,0.0,5.0,166.18951,95.508181,70.0,193.0,0.11842721951650786
22,1752842692,5.0,0.0,5.0,0.0,5.0,166.18951,95.508181,70.0,193.0,0.10914052864737299
23,1752842697,5.0,0.0,5.0,0.0,5.0,166.18951,95.508181,70.0,193.0,0.10375236529596885
24,1752842702,5.0,0.0,5.0,0.0,5.0,166.18951,95.508181,70.0,193.0,0.10694333938034144
25,1752842707,5.0,0.0,5.0,0.0,5.0,166.18951,95.508181,70.0,193.0,0.10916866064859196
26,1752842712,5.0,0.0,5.0,0.0,5.0,166.18951,95.508181,70.0,193.0,0.10817324475867082
27,1752842717,5.0,0.0,5.0,0.0,5.0,173.337435,82.634744,70.0,206.0,0.09273916723909602
28,1752842722,5.0,0.0,5.0,0.0,5.0,173.337435,82.634744,70.0,206.0,0.09293641846987764
29,1752842727,5.0,0.0,5.0,0.0,5.0,173.337435,82.634744,70.0,206.0,0.08807328310806672
30,1752842732,5.0,0.0,5.0,0.0,5.0,173.337435,82.634744,70.0,206.0,0.09074571283391569
31,1752842737,5.0,0.0,5.0,0.0,5.0,173.337435,82.634744,70.0,206.0,0.08149097381632064
32,1752842742,5.0,0.0,5.0,0.0,5.0,173.337435,82.634744,70.0,206.0,0.07194984329221465
33,1752842747,5.0,0.0,5.0,0.0,5.0,281.670484,446.621601,70.0,-158.0,0.07327335437300242
34,1752842752,5.0,0.0,5.0,0.0,5.0,281.670484,446.621601,70.0,-158.0,0.059477347369104
35,1752842757,5.0,0.0,5.0,3.2357875244399037,5.0,281.670484,446.621601,70.0,-158.0,0.05679738360833674
36,1752842762,5.0,0.0,5.0,3.2357875244399037,5.0,281.670484,446.621601,70.0,-158.0,0.0411846707583502
37,1752842767,5.0,0.0,5.0,3.2357875244399037,5.0,281.670484,446.621601,70.0,-158.0,0.04278613025159035
38,1752842772,5.0,0.0,5.0,3.2357875244399037,5.0,281.670484,446.621601,70.0,-158.0,0.04297739718207086
39,1752842777,6.0,0.0,6.0,3.2357875244399037,6.0,371.118567,165.568528,70.0,223.0,0.03961290145082781
40,1752842782,6.0,0.0,6.0,3.2357875244399037,6.0,371.118567,165.568528,70.0,223.0,0.07580155646455232
41,1752842787,6.0,0.0,6.0,0.0,6.0,371.118567,165.568528,70.0,223.0,0.08118586627289606
42,1752842792,6.0,0.0,6.0,0.0,6.0,371.118567,165.568528,70.0,223.0,0.10632131658893883
43,1752842797,6.0,0.0,6.0,0.0,6.0,371.118567,165.568528,70.0,223.0,0.11754961594838399
44,1752842802,6.0,0.0,6.0,0.0,6.0,371.118567,165.568528,70.0,223.0,0.12005546294450388
45,1752842807,5.0,1.0,5.0,0.0,5.0,263.600061,303.337633,70.0,-15.0,0.11559759282693396
46,1752842812,5.0,1.0,5.0,0.0,5.0,263.600061,303.337633,70.0,-15.0,0.12052256103391458
47,1752842817,5.0,1.0,5.0,146.0,5.0,263.600061,303.337633,70.0,-15.0,0.11865257894580744
48,1752842822,5.0,1.0,5.0,146.0,5.0,263.600061,303.337633,70.0,-15.0,0.10808836832751478
49,1752842827,5.0,1.0,5.0,146.0,5.0,263.600061,303.337633,70.0,-15.0,0.11702032855216218
50,1752842832,5.0,1.0,5.0,146.0,5.0,263.600061,303.337633,70.0,-15.0,0.10056218962740729
51,1752842837,5.0,0.0,5.0,146.0,5.0,248.467,583.678384,70.0,-295.0,0.09600615146778238
52,1752842842,5.0,0.0,5.0,146.0,5.0,248.467,583.678384,70.0,-295.0,0.08662070170387579
53,1752842847,5.0,0.0,5.0,599.9774712863818,5.0,248.467,583.678384,70.0,-295.0,0.091292761438902
54,1752842852,5.0,0.0,5.0,599.9774712863818,5.0,248.467,583.678384,70.0,-295.0,0.08856017065118525
55,1752842857,5.0,0.0,5.0,599.9774712863818,5.0,248.467,583.678384,70.0,-295.0,0.08737527215439658
56,1752842862,5.0,0.0,5.0,599.9774712863818,5.0,248.467,583.678384,70.0,-295.0,0.08502426238980614
57,1752842867,5.0,0.0,5.0,599.9774712863818,5.0,248.467,583.678384,70.0,-295.0,0.08280051970349052
58,1752842872,5.0,0.0,5.0,599.9774712863818,5.0,248.467,583.678384,70.0,-295.0,0.06660013645458673
59,1752842877,5.0,0.0,5.0,599.9774712863818,5.0,248.467,583.678384,70.0,-295.0,0.0569909612860241
60,1752842882,5.0,0.0,5.0,599.9774712863818,5.0,248.467,583.678384,70.0,-295.0,0.05027453318036291
