,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1752843040,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,-211.0,0.12332965135261066,0.12332965135261066
1,1752843045,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,-211.0,0.21845363686623595,0.21845363686623595
2,1752843050,5.0,0.0,5.0,1.0,5.0,0.271416,0.004398,50.0,288.0,0.16889190836607648,0.16889190836607648
3,1752843055,5.0,0.0,5.0,1.0,5.0,0.271416,0.004398,50.0,288.0,0.16681080590018849,0.16681080590018849
4,1752843060,5.0,0.0,5.0,0.0,5.0,0.271416,0.004398,50.0,288.0,0.19268727614655332,0.19268727614655332
5,1752843065,5.0,0.0,5.0,0.0,5.0,0.271416,0.004398,50.0,288.0,0.16539699004323433,0.16539699004323433
6,1752843070,5.0,0.0,5.0,0.0,5.0,0.271416,0.004398,50.0,288.0,0.184946736188018,0.184946736188018
7,1752843075,5.0,0.0,5.0,0.0,5.0,0.271416,0.004398,50.0,288.0,0.16207130849425203,0.16207130849425203
8,1752843080,5.0,0.0,5.0,0.0,5.0,0.001344,0.001978,50.0,288.0,0.15874587548856278,0.15874587548856278
9,1752843085,5.0,0.0,5.0,0.0,5.0,0.001344,0.001978,50.0,288.0,0.0049858376155411215,0.0049858376155411215
10,1752843090,5.0,0.0,5.0,0.0,5.0,0.001344,0.001978,50.0,288.0,0.005223526514161275,0.005223526514161275
11,1752843095,5.0,0.0,5.0,0.0,5.0,0.001344,0.001978,50.0,288.0,0.005162889808226697,0.005162889808226697
12,1752843100,5.0,0.0,5.0,0.0,5.0,0.001344,0.001978,50.0,288.0,0.00503181089316089,0.00503181089316089
13,1752843105,5.0,0.0,5.0,0.0,5.0,0.001344,0.001978,50.0,288.0,0.004976543205503475,0.004976543205503475
14,1752843110,5.0,0.0,5.0,0.0,5.0,0.001512,0.000632,50.0,288.0,0.004926687019208651,0.004926687019208651
15,1752843115,5.0,0.0,5.0,0.0,5.0,0.001512,0.000632,50.0,288.0,0.004564173385584759,0.004564173385584759
16,1752843120,5.0,0.0,5.0,0.0,5.0,0.001512,0.000632,50.0,288.0,0.004569593874640251,0.004569593874640251
17,1752843125,5.0,0.0,5.0,0.0,5.0,0.001512,0.000632,50.0,288.0,0.004656674113604658,0.004656674113604658
18,1752843130,5.0,0.0,5.0,0.0,5.0,0.001512,0.000632,50.0,288.0,0.0048190286903197375,0.0048190286903197375
19,1752843135,5.0,0.0,5.0,0.0,5.0,0.001512,0.000632,50.0,288.0,0.004688672612524583,0.004688672612524583
20,1752843140,5.0,0.0,5.0,0.0,5.0,0.010677,0.029035,50.0,288.0,0.004904874621642935,0.004904874621642935
21,1752843145,5.0,0.0,5.0,0.0,5.0,0.010677,0.029035,50.0,288.0,0.0048707430768091505,0.0048707430768091505
22,1752843150,5.0,0.0,5.0,0.0,5.0,0.010677,0.029035,50.0,288.0,0.004363282359001411,0.004363282359001411
23,1752843155,5.0,0.0,5.0,0.0,5.0,0.010677,0.029035,50.0,288.0,0.005001774612857819,0.005001774612857819
24,1752843160,5.0,0.0,5.0,0.0,5.0,0.010677,0.029035,50.0,288.0,0.005074793786945718,0.005074793786945718
25,1752843165,5.0,0.0,5.0,0.0,5.0,0.010677,0.029035,50.0,288.0,0.005915251081208497,0.005915251081208497
26,1752843170,5.0,0.0,5.0,0.0,5.0,0.004783,0.006082,50.0,288.0,0.00568365537068835,0.00568365537068835
27,1752843175,5.0,0.0,5.0,0.0,5.0,0.004783,0.006082,50.0,288.0,0.005251205568453867,0.005251205568453867
28,1752843180,5.0,0.0,5.0,0.0,5.0,0.004783,0.006082,50.0,288.0,0.0051222562482451,0.0051222562482451
29,1752843185,5.0,0.0,5.0,0.0,5.0,0.004783,0.006082,50.0,288.0,0.005093344448964739,0.005093344448964739
30,1752843190,5.0,0.0,5.0,0.0,5.0,0.004783,0.006082,50.0,288.0,0.005097307400100068,0.005097307400100068
31,1752843195,5.0,0.0,5.0,0.0,5.0,0.004783,0.006082,50.0,288.0,0.005185526689433457,0.005185526689433457
32,1752843200,5.0,0.0,5.0,0.0,5.0,0.003903,0.001423,50.0,288.0,0.005183794124503327,0.005183794124503327
33,1752843205,5.0,0.0,5.0,0.0,5.0,0.003903,0.001423,50.0,288.0,0.004258600948018144,0.004258600948018144
34,1752843210,5.0,0.0,5.0,0.0,5.0,0.003903,0.001423,50.0,288.0,0.004154837657422998,0.004154837657422998
35,1752843215,5.0,0.0,5.0,0.0,5.0,0.003903,0.001423,50.0,288.0,0.0040632195802044,0.0040632195802044
36,1752843220,5.0,0.0,5.0,0.0,5.0,0.003903,0.001423,50.0,288.0,0.004901908818576727,0.004901908818576727
37,1752843225,5.0,0.0,5.0,0.0,5.0,0.003903,0.001423,50.0,288.0,0.005107914447495906,0.005107914447495906
38,1752843230,5.0,0.0,5.0,0.0,5.0,0.003807,0.00328,50.0,288.0,0.005062769210694551,0.005062769210694551
39,1752843235,5.0,0.0,5.0,0.0,5.0,0.003807,0.00328,50.0,288.0,0.005409813330031941,0.005409813330031941
40,1752843240,5.0,0.0,5.0,0.0,5.0,0.003807,0.00328,50.0,288.0,0.0054695759862405215,0.0054695759862405215
41,1752843245,5.0,0.0,5.0,0.0,5.0,0.003807,0.00328,50.0,288.0,0.005755799711051957,0.005755799711051957
42,1752843250,5.0,0.0,5.0,0.0,5.0,0.003807,0.00328,50.0,288.0,0.005881328366631762,0.005881328366631762
43,1752843255,5.0,0.0,5.0,0.0,5.0,0.003807,0.00328,50.0,288.0,0.005690526864858179,0.005690526864858179
44,1752843260,5.0,0.0,5.0,0.0,5.0,0.003539,0.001591,50.0,288.0,0.004851322077979476,0.004851322077979476
45,1752843265,5.0,0.0,5.0,0.0,5.0,0.003539,0.001591,50.0,288.0,0.005045226005219132,0.005045226005219132
46,1752843270,5.0,0.0,5.0,0.0,5.0,0.003539,0.001591,50.0,288.0,0.005046936494720328,0.005046936494720328
47,1752843275,5.0,0.0,5.0,0.0,5.0,0.003539,0.001591,50.0,288.0,0.006022347633444206,0.006022347633444206
48,1752843280,5.0,0.0,5.0,0.0,5.0,0.003539,0.001591,50.0,288.0,0.007149026017664843,0.007149026017664843
49,1752843285,5.0,0.0,5.0,0.0,5.0,0.003539,0.001591,50.0,288.0,0.007464244486219421,0.007464244486219421
50,1752843290,5.0,0.0,5.0,0.0,5.0,0.00378,0.003944,50.0,288.0,0.007965233180165206,0.007965233180165206
51,1752843295,5.0,0.0,5.0,0.0,5.0,0.00378,0.003944,50.0,288.0,0.007876838783645944,0.007876838783645944
52,1752843300,5.0,0.0,5.0,0.0,5.0,0.00378,0.003944,50.0,288.0,0.007900270645750376,0.007900270645750376
53,1752843305,5.0,0.0,5.0,0.0,5.0,0.00378,0.003944,50.0,288.0,0.008826947991123312,0.008826947991123312
54,1752843310,5.0,0.0,5.0,0.0,5.0,0.00378,0.003944,50.0,288.0,0.00871318287067882,0.00871318287067882
55,1752843315,5.0,0.0,5.0,0.0,5.0,0.00378,0.003944,50.0,288.0,0.008303215777871735,0.008303215777871735
56,1752843320,5.0,0.0,5.0,0.0,5.0,0.002477,0.000175,50.0,288.0,0.006310605102965897,0.006310605102965897
57,1752843325,5.0,0.0,5.0,0.0,5.0,0.002477,0.000175,50.0,288.0,0.005700579272041082,0.005700579272041082
58,1752843330,5.0,0.0,5.0,0.0,5.0,0.002477,0.000175,50.0,288.0,0.004341191857276449,0.004341191857276449
59,1752843335,5.0,0.0,5.0,0.0,5.0,0.002477,0.000175,50.0,288.0,0.0036451586973700765,0.0036451586973700765
60,1752843340,5.0,0.0,5.0,0.0,5.0,0.002477,0.000175,50.0,288.0,0.0029923771788073193,0.0029923771788073193
