,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752843501,5.0,0.0,5.0,0.0,5.0,1.867618,0.074811,70.0,288.0,0.012374769380756774
1,1752843506,5.0,0.0,5.0,0.0,5.0,1.867618,0.074811,70.0,288.0,0.014181004145509435
2,1752843511,5.0,0.0,5.0,0.0,5.0,1.867618,0.074811,70.0,288.0,0.018000185233718505
3,1752843516,5.0,0.0,5.0,0.0,5.0,1.867618,0.074811,70.0,288.0,0.021235688933833607
4,1752843521,5.0,0.0,5.0,0.0,5.0,1.867618,0.074811,70.0,288.0,0.024181836278699635
5,1752843526,5.0,0.0,5.0,0.0,5.0,1.905583,0.055125,70.0,288.0,0.02709077069362121
6,1752843531,5.0,0.0,5.0,0.0,5.0,1.905583,0.055125,70.0,288.0,0.02962597674498433
7,1752843536,5.0,0.0,5.0,0.0,5.0,1.905583,0.055125,70.0,288.0,0.03215498772179937
8,1752843541,5.0,0.0,5.0,0.0,5.0,1.905583,0.055125,70.0,288.0,0.03237474113280586
9,1752843546,5.0,0.0,5.0,0.0,5.0,1.905583,0.055125,70.0,288.0,0.032822481361066545
10,1752843551,5.0,0.0,5.0,0.0,5.0,1.905583,0.055125,70.0,288.0,0.03240728915379363
11,1752843556,5.0,0.0,5.0,0.0,5.0,0.070145,0.065169,70.0,288.0,0.03255145613511809
12,1752843561,5.0,0.0,5.0,0.0,5.0,0.070145,0.065169,70.0,288.0,0.033447548976572594
13,1752843566,5.0,0.0,5.0,0.0,5.0,0.070145,0.065169,70.0,288.0,0.0367343827675542
14,1752843571,5.0,0.0,5.0,0.0,5.0,0.070145,0.065169,70.0,288.0,0.03562053808777725
15,1752843576,5.0,0.0,5.0,0.0,5.0,0.070145,0.065169,70.0,288.0,0.03821048764609794
16,1752843581,5.0,0.0,5.0,0.0,5.0,0.070145,0.065169,70.0,288.0,0.042091454279125466
17,1752843586,5.0,0.0,5.0,0.0,5.0,0.08122,0.05811,70.0,288.0,0.04272966817132968
18,1752843591,5.0,0.0,5.0,0.0,5.0,0.08122,0.05811,70.0,288.0,0.042871768636781916
19,1752843596,5.0,0.0,5.0,0.0,5.0,0.08122,0.05811,70.0,288.0,0.045692014469976255
20,1752843601,5.0,0.0,5.0,0.0,5.0,0.08122,0.05811,70.0,288.0,0.048845761864466465
21,1752843606,5.0,0.0,5.0,0.0,5.0,0.08122,0.05811,70.0,288.0,0.04677695528185469
22,1752843611,5.0,0.0,5.0,0.0,5.0,0.08122,0.05811,70.0,288.0,0.04764924522441755
23,1752843616,5.0,0.0,5.0,0.0,5.0,0.165093,0.393862,70.0,288.0,0.05153602705624421
24,1752843621,5.0,0.0,5.0,0.0,5.0,0.165093,0.393862,70.0,288.0,0.053116862975792094
25,1752843626,5.0,0.0,5.0,0.0,5.0,0.165093,0.393862,70.0,288.0,0.05361501069054079
26,1752843631,5.0,0.0,5.0,0.0,5.0,0.165093,0.393862,70.0,288.0,0.05620700672352873
27,1752843636,5.0,0.0,5.0,0.0,5.0,0.165093,0.393862,70.0,288.0,0.05905867209822569
28,1752843641,5.0,0.0,5.0,0.0,5.0,0.165093,0.393862,70.0,288.0,0.054592096427864584
29,1752843646,5.0,0.0,5.0,0.0,5.0,0.202298,0.261116,70.0,288.0,0.05453076775763348
30,1752843651,5.0,0.0,5.0,0.0,5.0,0.202298,0.261116,70.0,288.0,0.05610668569538144
31,1752843656,5.0,0.0,5.0,0.0,5.0,0.202298,0.261116,70.0,288.0,0.056364528502466205
32,1752843661,5.0,0.0,5.0,0.0,5.0,0.202298,0.261116,70.0,288.0,0.05939321748773224
33,1752843666,5.0,0.0,5.0,0.0,5.0,0.202298,0.261116,70.0,288.0,0.05918159896414488
34,1752843671,5.0,0.0,5.0,0.0,5.0,0.202298,0.261116,70.0,288.0,0.06281291378443635
35,1752843676,5.0,0.0,5.0,0.0,5.0,0.286104,0.416293,70.0,288.0,0.06372575776149607
36,1752843681,5.0,0.0,5.0,0.0,5.0,0.286104,0.416293,70.0,288.0,0.0634257735639966
37,1752843686,5.0,0.0,5.0,0.0,5.0,0.286104,0.416293,70.0,288.0,0.06609083133159586
38,1752843691,5.0,0.0,5.0,0.0,5.0,0.286104,0.416293,70.0,288.0,0.06656014229729676
39,1752843696,5.0,0.0,5.0,0.0,5.0,0.286104,0.416293,70.0,288.0,0.07472000923505415
40,1752843701,5.0,0.0,5.0,0.0,5.0,0.286104,0.416293,70.0,288.0,0.07238121946949107
41,1752843706,5.0,0.0,5.0,0.0,5.0,0.513865,0.563805,70.0,288.0,0.0729702199317697
42,1752843711,5.0,0.0,5.0,0.0,5.0,0.513865,0.563805,70.0,288.0,0.07144074481485099
43,1752843716,5.0,0.0,5.0,0.0,5.0,0.513865,0.563805,70.0,288.0,0.07297172615165962
44,1752843721,5.0,0.0,5.0,0.0,5.0,0.513865,0.563805,70.0,288.0,0.07730237426609503
45,1752843726,5.0,0.0,5.0,0.0,5.0,0.513865,0.563805,70.0,288.0,0.07761340748377338
46,1752843731,5.0,0.0,5.0,0.0,5.0,0.513865,0.563805,70.0,288.0,0.07862647231017461
47,1752843736,5.0,0.0,5.0,0.0,5.0,0.504889,0.132103,70.0,288.0,0.0695520088112081
48,1752843741,5.0,0.0,5.0,0.0,5.0,0.504889,0.132103,70.0,288.0,0.07199036507328427
49,1752843746,5.0,0.0,5.0,0.0,5.0,0.504889,0.132103,70.0,288.0,0.06842329390566451
50,1752843751,5.0,0.0,5.0,0.0,5.0,0.504889,0.132103,70.0,288.0,0.06362302099272263
51,1752843756,5.0,0.0,5.0,0.0,5.0,0.504889,0.132103,70.0,288.0,0.07485420049398114
52,1752843761,5.0,0.0,5.0,0.0,5.0,0.504889,0.132103,70.0,288.0,0.07130349246132377
53,1752843766,5.0,0.0,5.0,0.0,5.0,0.627926,1.130226,70.0,287.0,0.0753319118628021
