,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752841203,0.0,0.0,0.0,104.81022332311515,0.0,0.0,0.0,70.0,-211.0,0.003960113078052849
1,1752841208,0.0,0.0,0.0,104.81022332311515,0.0,0.0,0.0,70.0,-211.0,0.005795798425564566
2,1752841213,0.0,0.0,0.0,104.81022332311515,0.0,0.0,0.0,70.0,-211.0,0.008997306575901047
3,1752841218,5.0,0.0,5.0,104.81022332311515,5.0,48.799984,0.08106,70.0,288.0,0.013651086450737001
4,1752841223,5.0,0.0,5.0,104.81022332311515,5.0,48.799984,0.08106,70.0,288.0,0.017784026376569586
5,1752841228,5.0,0.0,5.0,0.0,5.0,48.799984,0.08106,70.0,288.0,0.021006735521096744
6,1752841233,5.0,0.0,5.0,0.0,5.0,48.799984,0.08106,70.0,288.0,0.02300014840558791
7,1752841238,5.0,0.0,5.0,0.0,5.0,48.799984,0.08106,70.0,288.0,0.02819758362206029
8,1752841243,5.0,0.0,5.0,0.0,5.0,48.799984,0.08106,70.0,288.0,0.03170652531416023
9,1752841248,5.0,0.0,5.0,0.0,5.0,23.178091,0.111402,70.0,288.0,0.033749828614555694
10,1752841253,5.0,0.0,5.0,0.0,5.0,23.178091,0.111402,70.0,288.0,0.03952029666017254
11,1752841258,5.0,0.0,5.0,0.0,5.0,23.178091,0.111402,70.0,288.0,0.04019361429853321
12,1752841263,5.0,0.0,5.0,0.0,5.0,23.178091,0.111402,70.0,288.0,0.03849415620977491
13,1752841268,5.0,0.0,5.0,0.0,5.0,23.178091,0.111402,70.0,288.0,0.04109672268081702
14,1752841273,5.0,0.0,5.0,0.0,5.0,23.178091,0.111402,70.0,288.0,0.04167026541403772
15,1752841278,5.0,0.0,5.0,0.0,5.0,0.099509,0.025922,70.0,288.0,0.040240789859924735
16,1752841283,5.0,0.0,5.0,0.0,5.0,0.099509,0.025922,70.0,288.0,0.036958120981768566
17,1752841288,5.0,0.0,5.0,0.0,5.0,0.099509,0.025922,70.0,288.0,0.03253351930834301
18,1752841293,5.0,0.0,5.0,0.0,5.0,0.099509,0.025922,70.0,288.0,0.03128495646029864
19,1752841298,5.0,0.0,5.0,0.0,5.0,0.099509,0.025922,70.0,288.0,0.028616066353673805
20,1752841303,5.0,0.0,5.0,0.0,5.0,0.099509,0.025922,70.0,288.0,0.02797287330050993
21,1752841308,5.0,0.0,5.0,0.0,5.0,0.065546,0.045344,70.0,288.0,0.026621414790212357
22,1752841313,5.0,0.0,5.0,0.0,5.0,0.065546,0.045344,70.0,288.0,0.02360748732593299
23,1752841318,5.0,0.0,5.0,0.0,5.0,0.065546,0.045344,70.0,288.0,0.023997592818332858
24,1752841323,5.0,0.0,5.0,0.0,5.0,0.065546,0.045344,70.0,288.0,0.023312088769532325
25,1752841328,5.0,0.0,5.0,0.0,5.0,0.065546,0.045344,70.0,288.0,0.023295881098555925
26,1752841333,5.0,0.0,5.0,0.0,5.0,0.065546,0.045344,70.0,288.0,0.02342649184208288
27,1752841338,5.0,0.0,5.0,0.0,5.0,0.032765,0.001408,70.0,288.0,0.02086807693471555
28,1752841343,5.0,0.0,5.0,0.0,5.0,0.032765,0.001408,70.0,288.0,0.01950947212289758
29,1752841348,5.0,0.0,5.0,0.0,5.0,0.032765,0.001408,70.0,288.0,0.021068410554661653
30,1752841353,5.0,0.0,5.0,0.0,5.0,0.032765,0.001408,70.0,288.0,0.023953112988197425
31,1752841358,5.0,0.0,5.0,0.0,5.0,0.032765,0.001408,70.0,288.0,0.02395058226370725
