,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752841660,0.0,0.0,0.0,66.26123742865414,0.0,0.0,0.0,70.0,-211.0,0.003984698390948593
1,1752841665,0.0,0.0,0.0,66.26123742865414,0.0,0.0,0.0,70.0,-211.0,0.007480039105139356
2,1752841670,5.0,0.0,5.0,66.26123742865414,5.0,7.760322,0.098159,70.0,288.0,0.009177087624008847
3,1752841675,5.0,0.0,5.0,66.26123742865414,5.0,7.760322,0.098159,70.0,288.0,0.01223754172689223
4,1752841680,5.0,0.0,5.0,0.0,5.0,7.760322,0.098159,70.0,288.0,0.01402818331813765
5,1752841685,5.0,0.0,5.0,0.0,5.0,7.760322,0.098159,70.0,288.0,0.015323601420832385
6,1752841690,5.0,0.0,5.0,0.0,5.0,7.760322,0.098159,70.0,288.0,0.014487889396587053
7,1752841695,5.0,0.0,5.0,0.0,5.0,7.760322,0.098159,70.0,288.0,0.01572341732231387
8,1752841700,5.0,0.0,5.0,0.0,5.0,3.307189,0.110836,70.0,288.0,0.01687309005549062
9,1752841705,5.0,0.0,5.0,0.0,5.0,3.307189,0.110836,70.0,288.0,0.014437665033734275
10,1752841710,5.0,0.0,5.0,0.0,5.0,3.307189,0.110836,70.0,288.0,0.013287421035418119
11,1752841715,5.0,0.0,5.0,0.0,5.0,3.307189,0.110836,70.0,288.0,0.012740007713654772
12,1752841720,5.0,0.0,5.0,0.0,5.0,3.307189,0.110836,70.0,288.0,0.010560620188420071
13,1752841725,5.0,0.0,5.0,0.0,5.0,3.307189,0.110836,70.0,288.0,0.007435169518308935
14,1752841730,5.0,0.0,5.0,0.0,5.0,0.112401,0.0,70.0,289.0,0.007001054902736157
15,1752841735,5.0,0.0,5.0,0.0,5.0,0.112401,0.0,70.0,289.0,0.005881644648922742
16,1752841740,5.0,0.0,5.0,0.0,5.0,0.112401,0.0,70.0,289.0,0.005836829303014029
17,1752841745,5.0,0.0,5.0,0.0,5.0,0.112401,0.0,70.0,289.0,0.005699715142971863
18,1752841750,5.0,0.0,5.0,0.0,5.0,0.112401,0.0,70.0,289.0,0.0056016990860092335
19,1752841755,5.0,0.0,5.0,0.0,5.0,0.112401,0.0,70.0,289.0,0.00518992033972061
20,1752841760,5.0,0.0,5.0,0.0,5.0,0.030331,0.073701,70.0,288.0,0.005317307587184388
21,1752841765,5.0,0.0,5.0,0.0,5.0,0.030331,0.073701,70.0,288.0,0.006339387794938927
