,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752838695,1.0,0.0,1.0,0.10967579854913265,0.0,0.0,0.0,70.0,-111.0,0.01018522695565877
1,1752838700,5.0,0.0,5.0,0.10967579854913265,5.0,0.174281,0.205006,70.0,288.0,0.010243690700963842
2,1752838705,5.0,0.0,5.0,0.10967579854913265,5.0,0.174281,0.205006,70.0,288.0,0.011061841173295284
3,1752838710,5.0,0.0,5.0,0.0,5.0,0.174281,0.205006,70.0,288.0,0.01213469751576224
4,1752838715,5.0,0.0,5.0,0.0,5.0,0.174281,0.205006,70.0,288.0,0.01391273896346322
5,1752838720,5.0,0.0,5.0,0.0,5.0,0.174281,0.205006,70.0,288.0,0.014028258818205634
6,1752838725,5.0,0.0,5.0,0.0,5.0,0.174281,0.205006,70.0,288.0,0.014824017136383035
7,1752838730,5.0,0.0,5.0,0.0,5.0,0.453431,0.410085,70.0,288.0,0.013416471646863121
8,1752838735,5.0,0.0,5.0,0.0,5.0,0.453431,0.410085,70.0,288.0,0.013199583020394966
9,1752838740,5.0,0.0,5.0,0.0,5.0,0.453431,0.410085,70.0,288.0,0.013278115920726492
10,1752838745,5.0,0.0,5.0,0.0,5.0,0.453431,0.410085,70.0,288.0,0.012536902365892872
11,1752838750,5.0,0.0,5.0,0.0,5.0,0.453431,0.410085,70.0,288.0,0.01209342756393117
12,1752838755,5.0,0.0,5.0,0.0,5.0,0.453431,0.410085,70.0,288.0,0.011821991637162424
13,1752838760,5.0,0.0,5.0,0.0,5.0,0.393958,0.151506,70.0,288.0,0.011475788154911116
14,1752838765,5.0,0.0,5.0,0.0,5.0,0.393958,0.151506,70.0,288.0,0.010262974720375545
15,1752838770,5.0,0.0,5.0,0.0,5.0,0.393958,0.151506,70.0,288.0,0.010640235757553896
16,1752838775,5.0,0.0,5.0,0.0,5.0,0.393958,0.151506,70.0,288.0,0.009953332209589168
17,1752838780,5.0,0.0,5.0,0.0,5.0,0.393958,0.151506,70.0,288.0,0.008365653843200751
18,1752838785,5.0,0.0,5.0,0.0,5.0,0.393958,0.151506,70.0,288.0,0.008142349289800043
19,1752838790,5.0,0.0,5.0,0.0,5.0,0.359143,0.845029,70.0,288.0,0.00867799083894755
20,1752838795,5.0,0.0,5.0,0.0,5.0,0.359143,0.845029,70.0,288.0,0.009074308469542845
21,1752838800,5.0,0.0,5.0,0.0,5.0,0.359143,0.845029,70.0,288.0,0.008786700087252174
22,1752838805,5.0,0.0,5.0,0.0,5.0,0.359143,0.845029,70.0,288.0,0.008841450488902296
23,1752838810,5.0,0.0,5.0,0.0,5.0,0.359143,0.845029,70.0,288.0,0.009480662416570005
24,1752838815,5.0,0.0,5.0,0.0,5.0,0.359143,0.845029,70.0,288.0,0.009524787318680067
25,1752838820,5.0,0.0,5.0,0.0,5.0,0.398976,0.140026,70.0,288.0,0.009632935343095853
26,1752838825,5.0,0.0,5.0,0.0,5.0,0.398976,0.140026,70.0,288.0,0.009951498911266256
27,1752838830,5.0,0.0,5.0,0.0,5.0,0.398976,0.140026,70.0,288.0,0.009859990371865052
28,1752838835,5.0,0.0,5.0,0.0,5.0,0.398976,0.140026,70.0,288.0,0.009250940235754755
29,1752838840,5.0,0.0,5.0,0.0,5.0,0.398976,0.140026,70.0,288.0,0.01033662753619521
30,1752838845,5.0,0.0,5.0,0.0,5.0,0.398976,0.140026,70.0,288.0,0.009880014226898855
31,1752838850,5.0,0.0,5.0,0.0,5.0,0.383822,1.149794,70.0,287.0,0.01005624983554565
32,1752838855,5.0,0.0,5.0,0.0,5.0,0.383822,1.149794,70.0,287.0,0.010558315830845348
33,1752838860,5.0,0.0,5.0,0.0,5.0,0.383822,1.149794,70.0,287.0,0.010541056195610729
34,1752838865,5.0,0.0,5.0,0.0,5.0,0.383822,1.149794,70.0,287.0,0.010075048426661511
35,1752838870,5.0,0.0,5.0,0.0,5.0,0.383822,1.149794,70.0,287.0,0.01021803621847283
36,1752838875,5.0,0.0,5.0,0.0,5.0,0.383822,1.149794,70.0,287.0,0.010217691078547364
37,1752838880,5.0,0.0,5.0,0.0,5.0,0.341938,0.28373,70.0,288.0,0.010235982601126865
38,1752838885,5.0,0.0,5.0,0.0,5.0,0.341938,0.28373,70.0,288.0,0.00998134585118783
39,1752838890,5.0,0.0,5.0,0.0,5.0,0.341938,0.28373,70.0,288.0,0.009927657483685268
40,1752838895,5.0,0.0,5.0,0.0,5.0,0.341938,0.28373,70.0,288.0,0.009972772636626619
41,1752838900,5.0,0.0,5.0,0.0,5.0,0.341938,0.28373,70.0,288.0,0.009563801476612318
42,1752838905,5.0,0.0,5.0,0.0,5.0,0.341938,0.28373,70.0,288.0,0.01018997691448557
43,1752838910,5.0,0.0,5.0,0.0,5.0,0.37507,0.495694,70.0,288.0,0.010502991518298678
44,1752838915,5.0,0.0,5.0,0.0,5.0,0.37507,0.495694,70.0,288.0,0.011466891091916722
45,1752838920,5.0,0.0,5.0,0.0,5.0,0.37507,0.495694,70.0,288.0,0.011629885611941265
46,1752838925,5.0,0.0,5.0,0.0,5.0,0.37507,0.495694,70.0,288.0,0.012528080128746817
47,1752838930,5.0,0.0,5.0,0.0,5.0,0.37507,0.495694,70.0,288.0,0.011677497875630388
48,1752838935,5.0,0.0,5.0,0.0,5.0,0.37507,0.495694,70.0,288.0,0.012647177123857996
49,1752838940,5.0,0.0,5.0,0.0,5.0,0.591493,0.77076,70.0,288.0,0.013226054991530152
50,1752838945,5.0,0.0,5.0,0.0,5.0,0.591493,0.77076,70.0,288.0,0.012816533087855603
51,1752838950,5.0,0.0,5.0,0.0,5.0,0.591493,0.77076,70.0,288.0,0.012035993645721721
52,1752838955,5.0,0.0,5.0,0.0,5.0,0.591493,0.77076,70.0,288.0,0.011355826031447105
53,1752838960,5.0,0.0,5.0,0.0,5.0,0.591493,0.77076,70.0,288.0,0.011099536158635692
54,1752838965,5.0,0.0,5.0,0.0,5.0,0.591493,0.77076,70.0,288.0,0.010205139031458733
55,1752838970,5.0,0.0,5.0,0.0,5.0,0.421833,0.114364,70.0,288.0,0.010333450261670147
56,1752838975,5.0,0.0,5.0,0.0,5.0,0.421833,0.114364,70.0,288.0,0.007930368947634643
57,1752838980,5.0,0.0,5.0,0.0,5.0,0.421833,0.114364,70.0,288.0,0.006544950874618348
58,1752838985,5.0,0.0,5.0,0.0,5.0,0.421833,0.114364,70.0,288.0,0.005121868398303665
59,1752838990,5.0,0.0,5.0,0.0,5.0,0.421833,0.114364,70.0,288.0,0.004487880007673911
60,1752838995,5.0,0.0,5.0,0.0,5.0,0.421833,0.114364,70.0,288.0,0.003565917071606185
