,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752838695,5.0,1.0,0.0,61.59665850853708,5.0,0.216611,2.166112,70.0,-214.0,0.025732841550811427
1,1752838700,5.0,0.0,5.0,61.59665850853708,5.0,19.268806,0.725308,70.0,288.0,0.04997356866159257
2,1752838705,5.0,0.0,5.0,61.59665850853708,5.0,19.268806,0.725308,70.0,288.0,0.05692910893439555
3,1752838710,5.0,0.0,5.0,0.0,5.0,19.268806,0.725308,70.0,288.0,0.06651196822630409
4,1752838715,5.0,0.0,5.0,0.0,5.0,19.268806,0.725308,70.0,288.0,0.07057312731799903
5,1752838720,5.0,0.0,5.0,0.0,5.0,19.268806,0.725308,70.0,288.0,0.09187670687846129
6,1752838725,5.0,0.0,5.0,0.0,5.0,19.268806,0.725308,70.0,288.0,0.1061333810844974
7,1752838730,5.0,0.0,5.0,0.0,5.0,28.051319,0.971834,70.0,288.0,0.12297234026155468
8,1752838735,5.0,0.0,5.0,0.0,5.0,28.051319,0.971834,70.0,288.0,0.13886927139564043
9,1752838740,5.0,0.0,5.0,0.0,5.0,28.051319,0.971834,70.0,288.0,0.15329221579323282
10,1752838745,5.0,0.0,5.0,0.0,5.0,28.051319,0.971834,70.0,288.0,0.1517471772988056
11,1752838750,5.0,0.0,5.0,0.0,5.0,28.051319,0.971834,70.0,288.0,0.14983802109308633
12,1752838755,5.0,0.0,5.0,0.0,5.0,28.051319,0.971834,70.0,288.0,0.16622909793887528
13,1752838760,5.0,0.0,5.0,0.0,5.0,12.378735,0.64801,70.0,288.0,0.1695705566381595
14,1752838765,5.0,0.0,5.0,0.0,5.0,12.378735,0.64801,70.0,288.0,0.16314109959178658
15,1752838770,5.0,0.0,5.0,0.0,5.0,12.378735,0.64801,70.0,288.0,0.15987550485851276
16,1752838775,5.0,0.0,5.0,0.0,5.0,12.378735,0.64801,70.0,288.0,0.15608832089524038
17,1752838780,5.0,0.0,5.0,0.0,5.0,12.378735,0.64801,70.0,288.0,0.1525950253928414
