,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752854253,5.0,0.0,2.0,0.0,5.0,4.021305,2.571558,49.0,-74.0,0.051034873691869216
1,1752854258,5.0,0.0,2.0,0.0,5.0,4.021305,2.571558,49.0,-74.0,0.04892152463597634
2,1752854263,5.0,0.0,2.0,0.0,5.0,4.021305,2.571558,49.0,-74.0,0.05692863264989663
3,1752854268,5.0,0.0,5.0,0.0,5.0,0.989664,0.058122,49.0,138.0,0.04873335712801194
4,1752854273,5.0,0.0,5.0,0.0,5.0,0.989664,0.058122,49.0,138.0,0.04747018744524584
5,1752854278,5.0,0.0,5.0,0.0,5.0,0.989664,0.058122,49.0,138.0,0.05263181304338348
6,1752854283,5.0,0.0,5.0,0.0,5.0,0.989664,0.058122,49.0,138.0,0.05458275974534183
7,1752854288,5.0,0.0,5.0,0.0,5.0,0.989664,0.058122,49.0,138.0,0.041142416649426125
8,1752854293,5.0,0.0,5.0,0.0,5.0,0.989664,0.058122,49.0,138.0,0.01770726338062272
9,1752854298,5.0,0.0,5.0,0.0,5.0,0.053605,0.048271,49.0,138.0,0.017706171460061287
10,1752854303,5.0,0.0,5.0,0.0,5.0,0.053605,0.048271,49.0,138.0,0.018010691606649663
11,1752854308,5.0,0.0,5.0,0.0,5.0,0.053605,0.048271,49.0,138.0,0.017221259436639196
12,1752854313,5.0,0.0,5.0,0.0,5.0,0.053605,0.048271,49.0,138.0,0.01845646072181712
13,1752854318,5.0,0.0,5.0,0.0,5.0,0.053605,0.048271,49.0,138.0,0.01822795239650994
14,1752854323,5.0,0.0,5.0,0.0,5.0,0.053605,0.048271,49.0,138.0,0.017791801453303554
15,1752854328,5.0,0.0,5.0,0.0,5.0,0.053482,0.028854,49.0,138.0,0.017138766937532995
16,1752854333,5.0,0.0,5.0,0.0,5.0,0.053482,0.028854,49.0,138.0,0.016153909143697562
17,1752854338,5.0,0.0,5.0,0.0,5.0,0.053482,0.028854,49.0,138.0,0.017589268420683417
18,1752854343,5.0,0.0,5.0,0.0,5.0,0.053482,0.028854,49.0,138.0,0.018536746628026332
19,1752854348,5.0,0.0,5.0,0.0,5.0,0.053482,0.028854,49.0,138.0,0.01856119634296003
20,1752854353,5.0,0.0,5.0,0.0,5.0,0.053482,0.028854,49.0,138.0,0.018365977856475625
21,1752854358,5.0,0.0,5.0,0.0,5.0,0.046343,0.065186,49.0,138.0,0.01791005155436556
22,1752854363,5.0,0.0,5.0,0.0,5.0,0.046343,0.065186,49.0,138.0,0.018384741883181333
23,1752854368,5.0,0.0,5.0,0.0,5.0,0.046343,0.065186,49.0,138.0,0.020334120564030972
24,1752854373,5.0,0.0,5.0,0.0,5.0,0.046343,0.065186,49.0,138.0,0.0205959099604421
25,1752854378,5.0,0.0,5.0,0.0,5.0,0.046343,0.065186,49.0,138.0,0.02106942109456531
26,1752854383,5.0,0.0,5.0,0.0,5.0,0.046343,0.065186,49.0,138.0,0.022476300607144027
27,1752854388,5.0,0.0,5.0,0.0,5.0,0.04881,0.056826,49.0,138.0,0.026519654325882713
28,1752854393,5.0,0.0,5.0,0.0,5.0,0.04881,0.056826,49.0,138.0,0.027610817821244464
29,1752854398,5.0,0.0,5.0,0.0,5.0,0.04881,0.056826,49.0,138.0,0.02900804738978257
30,1752854403,5.0,0.0,5.0,0.0,5.0,0.04881,0.056826,49.0,138.0,0.028980745591865448
31,1752854408,5.0,0.0,5.0,0.0,5.0,0.04881,0.056826,49.0,138.0,0.027503783293216313
32,1752854413,5.0,0.0,5.0,0.0,5.0,0.04881,0.056826,49.0,138.0,0.026112128339020397
33,1752854418,5.0,0.0,5.0,0.0,5.0,0.057033,0.054573,49.0,138.0,0.027727284865398976
34,1752854423,5.0,0.0,5.0,0.0,5.0,0.057033,0.054573,49.0,138.0,0.025530857423708916
35,1752854428,5.0,0.0,5.0,0.0,5.0,0.057033,0.054573,49.0,138.0,0.021014196064772867
36,1752854433,5.0,0.0,5.0,0.0,5.0,0.057033,0.054573,49.0,138.0,0.020305460421110408
37,1752854438,5.0,0.0,5.0,0.0,5.0,0.057033,0.054573,49.0,138.0,0.019912162225803925
38,1752854443,5.0,0.0,5.0,0.0,5.0,0.057033,0.054573,49.0,138.0,0.01829958093405704
39,1752854448,5.0,0.0,5.0,0.0,5.0,0.05696,0.059965,49.0,138.0,0.017205433718043374
40,1752854453,5.0,0.0,5.0,0.0,5.0,0.05696,0.059965,49.0,138.0,0.017998884151476564
41,1752854458,5.0,0.0,5.0,0.0,5.0,0.05696,0.059965,49.0,138.0,0.018755819223231295
42,1752854463,5.0,0.0,5.0,0.0,5.0,0.05696,0.059965,49.0,138.0,0.018349608435740395
43,1752854468,5.0,0.0,5.0,0.0,5.0,0.05696,0.059965,49.0,138.0,0.0189518045190793
44,1752854473,5.0,0.0,5.0,0.0,5.0,0.05696,0.059965,49.0,138.0,0.01910499275275642
45,1752854478,5.0,0.0,5.0,0.0,5.0,0.063577,0.070861,49.0,138.0,0.02157415343449194
46,1752854483,5.0,0.0,5.0,0.0,5.0,0.063577,0.070861,49.0,138.0,0.023305757670959368
47,1752854488,5.0,0.0,5.0,0.0,5.0,0.063577,0.070861,49.0,138.0,0.023390278156754513
48,1752854493,5.0,0.0,5.0,0.0,5.0,0.063577,0.070861,49.0,138.0,0.02535290559248229
49,1752854498,5.0,0.0,5.0,0.0,5.0,0.063577,0.070861,49.0,138.0,0.02550282894428389
50,1752854503,5.0,0.0,5.0,0.0,5.0,0.063577,0.070861,49.0,138.0,0.026662927521118193
51,1752854508,5.0,0.0,5.0,0.0,5.0,0.069632,0.049913,49.0,138.0,0.026686756832854885
52,1752854513,5.0,0.0,5.0,0.0,5.0,0.069632,0.049913,49.0,138.0,0.025995842246474006
53,1752854518,5.0,0.0,5.0,0.0,5.0,0.069632,0.049913,49.0,138.0,0.025092367513613954
54,1752854523,5.0,0.0,5.0,0.0,5.0,0.069632,0.049913,49.0,138.0,0.02532897594912049
55,1752854528,5.0,0.0,5.0,0.0,5.0,0.069632,0.049913,49.0,138.0,0.024334019627366733
56,1752854533,5.0,0.0,5.0,0.0,5.0,0.069632,0.049913,49.0,138.0,0.02284087274016188
57,1752854538,5.0,0.0,5.0,0.0,5.0,0.070777,0.087688,49.0,138.0,0.02245448486942063
58,1752854543,5.0,0.0,5.0,0.0,5.0,0.070777,0.087688,49.0,138.0,0.02201827237492661
59,1752854548,5.0,0.0,5.0,0.0,5.0,0.070777,0.087688,49.0,138.0,0.020885947846517382
60,1752854553,5.0,0.0,5.0,0.0,5.0,0.070777,0.087688,49.0,138.0,0.019330415146022274
