,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752878426,5.0,0.0,5.0,0.3898834166965026,5.0,1.380403,0.088365,3.5,-187.0,0.01549581536540945
1,1752878431,5.0,0.0,5.0,0.3898834166965026,5.0,1.380403,0.088365,3.5,-187.0,0.024088362294531936
2,1752878436,5.0,0.0,5.0,0.3898834166965026,5.0,1.380403,0.088365,3.5,-187.0,0.026424060112093396
3,1752878441,5.0,0.0,5.0,0.3898834166965026,5.0,1.380403,0.088365,3.5,-187.0,0.028584443528342066
4,1752878446,5.0,0.0,5.0,0.3898834166965026,5.0,0.778061,0.220647,3.5,-187.0,0.040766028010627724
5,1752878451,5.0,0.0,5.0,0.3898834166965026,5.0,0.778061,0.220647,3.5,-187.0,0.04367556151975709
6,1752878456,5.0,0.0,5.0,0.11124051194060505,5.0,0.778061,0.220647,3.5,-187.0,0.04802790570501762
7,1752878461,5.0,0.0,5.0,0.11124051194060505,5.0,0.778061,0.220647,3.5,-187.0,0.051269918685619725
8,1752878466,5.0,0.0,5.0,0.11124051194060505,5.0,0.778061,0.220647,3.5,-187.0,0.05907489122703579
9,1752878471,5.0,0.0,5.0,0.11124051194060505,5.0,0.778061,0.220647,3.5,-187.0,0.060278610174825074
10,1752878476,5.0,0.0,5.0,0.11124051194060505,5.0,0.20221,0.148001,3.5,-187.0,0.058985570509651884
11,1752878481,5.0,0.0,5.0,0.11124051194060505,5.0,0.20221,0.148001,3.5,-187.0,0.06167207425168453
12,1752878486,5.0,0.0,5.0,0.12352143730366026,5.0,0.20221,0.148001,3.5,-187.0,0.061635351074404564
13,1752878491,5.0,0.0,5.0,0.12352143730366026,5.0,0.20221,0.148001,3.5,-187.0,0.056663150871801245
14,1752878496,5.0,0.0,5.0,0.12352143730366026,5.0,0.20221,0.148001,3.5,-187.0,0.05682077827473713
15,1752878501,5.0,0.0,5.0,0.12352143730366026,5.0,0.20221,0.148001,3.5,-187.0,0.05633678875932901
16,1752878506,5.0,0.0,5.0,0.12352143730366026,5.0,0.185717,0.210585,3.5,-187.0,0.047274909766003397
17,1752878511,5.0,0.0,5.0,0.12352143730366026,5.0,0.185717,0.210585,3.5,-187.0,0.054506709948659596
18,1752878516,5.0,0.0,5.0,0.25377560907309316,5.0,0.185717,0.210585,3.5,-187.0,0.05429629319829061
19,1752878521,5.0,0.0,5.0,0.25377560907309316,5.0,0.185717,0.210585,3.5,-187.0,0.05830174469504896
20,1752878526,5.0,0.0,5.0,0.25377560907309316,5.0,0.185717,0.210585,3.5,-187.0,0.05945964714473732
21,1752878531,5.0,0.0,5.0,0.25377560907309316,5.0,0.185717,0.210585,3.5,-187.0,0.059587364188256026
22,1752878536,5.0,0.0,5.0,0.25377560907309316,5.0,0.257541,0.373085,3.5,-187.0,0.06244158221143506
23,1752878541,5.0,0.0,5.0,0.25377560907309316,5.0,0.257541,0.373085,3.5,-187.0,0.06997083150270207
24,1752878546,5.0,0.0,5.0,0.15250530710027643,5.0,0.257541,0.373085,3.5,-187.0,0.06972813446738418
25,1752878551,5.0,0.0,5.0,0.15250530710027643,5.0,0.257541,0.373085,3.5,-187.0,0.07525799263645117
26,1752878556,5.0,0.0,5.0,0.15250530710027643,5.0,0.257541,0.373085,3.5,-187.0,0.07027567800022444
27,1752878561,5.0,0.0,5.0,0.15250530710027643,5.0,0.257541,0.373085,3.5,-187.0,0.07028119789127567
28,1752878566,5.0,0.0,5.0,0.15250530710027643,5.0,0.278784,0.21148,3.5,-187.0,0.07139202509613186
29,1752878571,5.0,0.0,5.0,0.15250530710027643,5.0,0.278784,0.21148,3.5,-187.0,0.07127530570942013
30,1752878576,5.0,0.0,5.0,0.23615924642904107,5.0,0.278784,0.21148,3.5,-187.0,0.06826705924004445
31,1752878581,5.0,0.0,5.0,0.23615924642904107,5.0,0.278784,0.21148,3.5,-187.0,0.05009746739683827
32,1752878586,5.0,0.0,5.0,0.23615924642904107,5.0,0.278784,0.21148,3.5,-187.0,0.06028248395809277
33,1752878591,5.0,0.0,5.0,0.23615924642904107,5.0,0.278784,0.21148,3.5,-187.0,0.05045010672422883
34,1752878596,5.0,0.0,5.0,0.23615924642904107,5.0,0.204155,0.206533,3.5,-187.0,0.06143076583152607
35,1752878601,5.0,0.0,5.0,0.23615924642904107,5.0,0.204155,0.206533,3.5,-187.0,0.06243809318302474
36,1752878606,5.0,0.0,5.0,0.21624770377026498,5.0,0.204155,0.206533,3.5,-187.0,0.06242226592568399
37,1752878611,5.0,0.0,5.0,0.21624770377026498,5.0,0.204155,0.206533,3.5,-187.0,0.06418771112968308
38,1752878616,5.0,0.0,5.0,0.21624770377026498,5.0,0.204155,0.206533,3.5,-187.0,0.06573891363236552
39,1752878621,5.0,0.0,5.0,0.21624770377026498,5.0,0.204155,0.206533,3.5,-187.0,0.0656412214978403
40,1752878626,5.0,0.0,5.0,0.21624770377026498,5.0,0.204244,0.218475,3.5,-187.0,0.06558244894845613
41,1752878631,5.0,0.0,5.0,0.21624770377026498,5.0,0.204244,0.218475,3.5,-187.0,0.06546742850404158
42,1752878636,5.0,0.0,5.0,0.2944082772236688,5.0,0.204244,0.218475,3.5,-187.0,0.04589418184223894
43,1752878641,5.0,0.0,5.0,0.2944082772236688,5.0,0.204244,0.218475,3.5,-187.0,0.06882375530757173
44,1752878646,5.0,0.0,5.0,0.2944082772236688,5.0,0.204244,0.218475,3.5,-187.0,0.06887407726572256
45,1752878651,5.0,0.0,5.0,0.2944082772236688,5.0,0.204244,0.218475,3.5,-187.0,0.06885478798621655
46,1752878656,5.0,0.0,5.0,0.2944082772236688,5.0,0.215624,0.266058,3.5,-187.0,0.06792933384667098
47,1752878661,5.0,0.0,5.0,0.2944082772236688,5.0,0.215624,0.266058,3.5,-187.0,0.06790789320118076
48,1752878666,5.0,0.0,5.0,0.23178820985436485,5.0,0.215624,0.266058,3.5,-187.0,0.06791268449204096
49,1752878671,5.0,0.0,5.0,0.23178820985436485,5.0,0.215624,0.266058,3.5,-187.0,0.06944895176553591
50,1752878676,5.0,0.0,5.0,0.23178820985436485,5.0,0.215624,0.266058,3.5,-187.0,0.06953679483686812
51,1752878681,5.0,0.0,5.0,0.23178820985436485,5.0,0.215624,0.266058,3.5,-187.0,0.060092512584635
52,1752878686,5.0,0.0,5.0,0.23178820985436485,5.0,0.250561,0.313619,3.5,-187.0,0.07117757580762023
53,1752878691,5.0,0.0,5.0,0.23178820985436485,5.0,0.250561,0.313619,3.5,-187.0,0.07137708163058916
54,1752878696,5.0,0.0,5.0,0.3480492829240236,5.0,0.250561,0.313619,3.5,-187.0,0.07122117191123647
55,1752878701,5.0,0.0,5.0,0.3480492829240236,5.0,0.250561,0.313619,3.5,-187.0,0.07381044318664357
56,1752878706,5.0,0.0,5.0,0.3480492829240236,5.0,0.250561,0.313619,3.5,-187.0,0.07150162925870593
57,1752878711,5.0,0.0,5.0,0.3480492829240236,5.0,0.250561,0.313619,3.5,-187.0,0.07141323908791736
58,1752878716,5.0,0.0,5.0,0.3480492829240236,5.0,0.264648,0.237023,3.5,-187.0,0.07151091443146185
59,1752878721,5.0,0.0,5.0,0.3480492829240236,5.0,0.264648,0.237023,3.5,-187.0,0.07052211117804284
60,1752878726,5.0,0.0,5.0,0.46561609355305916,5.0,0.264648,0.237023,3.5,-187.0,0.07039704627883664
