Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752882836,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882837,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882838,12,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882839,24,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882840,36,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882841,48,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882842,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882843,72,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882844,84,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882845,96,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882846,108,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882847,120,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1752882848,132,,Aggregated,0.000000,0.000000,2200,5200,6200,6200,8200,8200,8200,8200,8200,8200,8200,8,0,1200.0,2944.3849785002385,121.25541099885595,8208.961285999976,380.625
1752882849,144,,Aggregated,0.000000,0.000000,2200,5200,5200,6200,7200,8200,8200,8200,8200,8200,8200,55,0,2200.0,3042.0400671092716,121.25541099885595,8236.270198998682,397.54545454545456
1752882850,156,,Aggregated,0.000000,0.000000,2200,5200,5200,6200,7200,8200,8200,8200,8200,8200,8200,55,0,2200.0,3042.0400671092716,121.25541099885595,8236.270198998682,397.54545454545456
1752882851,168,,Aggregated,5.500000,0.000000,3200,5200,6200,7200,8200,9300,12000,13000,13000,13000,13000,84,13,2200.0,3556.453433845317,24.004996001167456,12894.770324001001,351.1666666666667
1752882852,180,,Aggregated,5.500000,0.000000,1900,5200,6400,7400,9900,11000,12000,13000,13000,13000,13000,213,66,1900.0,3608.806156521166,24.004996001167456,12894.770324001001,274.49295774647885
1752882853,192,,Aggregated,5.500000,0.000000,1900,5200,6400,7400,9900,11000,12000,13000,13000,13000,13000,213,66,1900.0,3608.806156521166,24.004996001167456,12894.770324001001,274.49295774647885
1752882854,204,,Aggregated,21.800000,6.800000,1000,3900,5900,6900,9900,11000,12000,13000,13000,13000,13000,244,83,980.0,3159.3277573443384,24.004996001167456,12894.770324001001,272.4549180327869
1752882855,216,,Aggregated,23.700000,7.800000,140,920,3400,5200,7900,10000,11000,13000,13000,13000,13000,364,156,140.0,2140.92418356874,22.956990000238875,12894.770324001001,275.739010989011
1752882856,228,,Aggregated,23.700000,7.800000,140,920,3400,5200,7900,10000,11000,13000,13000,13000,13000,364,156,140.0,2140.92418356874,22.956990000238875,12894.770324001001,275.739010989011
1752882857,240,,Aggregated,28.000000,10.200000,140,880,3200,5200,7900,10000,11000,13000,13000,13000,13000,379,160,140.0,2083.040352337779,22.956990000238875,12894.770324001001,271.6200527704485
1752882858,252,,Aggregated,42.200000,19.000000,120,210,1200,3200,7200,9900,11000,12000,13000,13000,13000,477,198,120.0,1711.9692108805352,19.270267999672797,12894.770324001001,278.22431865828094
1752882859,264,,Aggregated,42.200000,19.000000,120,210,1200,3200,7200,9900,11000,12000,13000,13000,13000,477,198,120.0,1711.9692108805352,19.270267999672797,12894.770324001001,278.22431865828094
1752882860,276,,Aggregated,42.200000,19.800000,110,200,1200,3200,6900,9900,11000,12000,13000,13000,13000,493,198,110.0,1657.803961490918,19.270267999672797,12894.770324001001,280.16430020283974
1752882861,288,,Aggregated,44.700000,19.800000,90,160,760,1900,6400,9300,11000,12000,13000,13000,13000,556,198,88,1475.8742606223582,17.639244000747567,12894.770324001001,292.6276978417266
1752882862,300,,Aggregated,44.700000,19.800000,90,160,760,1900,6400,9300,11000,12000,13000,13000,13000,556,198,88,1475.8742606223582,17.639244000747567,12894.770324001001,292.6276978417266
1752882863,312,,Aggregated,41.900000,19.800000,87,160,660,1600,6400,8900,11000,12000,13000,13000,13000,568,198,87,1446.2128798011136,17.639244000747567,12894.770324001001,296.6742957746479
1752882864,321,,Aggregated,35.500000,13.200000,74,150,470,1200,6200,8900,11000,12000,13000,13000,13000,604,198,72,1363.2944883709215,17.639244000747567,12894.770324001001,305.78145695364236
1752882865,318,,Aggregated,35.500000,13.200000,74,150,470,1200,6200,8900,11000,12000,13000,13000,13000,604,198,72,1363.2944883709215,17.639244000747567,12894.770324001001,305.78145695364236
1752882866,315,,Aggregated,25.600000,5.200000,72,150,450,1200,6200,8900,11000,12000,13000,13000,13000,608,198,70,1354.556768138225,17.639244000747567,12894.770324001001,308.5674342105263
1752882867,312,,Aggregated,26.600000,5.200000,69,150,290,1200,6100,8900,11000,12000,13000,13000,13000,626,198,69,1317.7974073227424,17.639244000747567,12894.770324001001,309.6421725239617
1752882868,309,,Aggregated,26.600000,5.200000,69,150,290,1200,6100,8900,11000,12000,13000,13000,13000,626,198,69,1317.7974073227424,17.639244000747567,12894.770324001001,309.6421725239617
1752882869,306,,Aggregated,18.600000,0.000000,98,180,1200,3900,7500,10000,11000,12000,13000,13000,13000,681,219,98,1794.7375234288193,17.639244000747567,12894.770324001001,295.2892804698972
1752882870,303,,Aggregated,30.300000,0.000000,190,4400,6700,8100,10000,11000,12000,12000,13000,13000,13000,930,325,190.0,3254.4502800570035,17.639244000747567,13380.90849099899,249.74516129032259
1752882871,302,,Aggregated,30.300000,0.000000,190,4400,6700,8100,10000,11000,12000,12000,13000,13000,13000,930,325,190.0,3254.4502800570035,17.639244000747567,13380.90849099899,249.74516129032259
1752882872,302,,Aggregated,38.000000,12.800000,180,4100,6400,7900,10000,11000,12000,12000,13000,13000,13000,962,326,180.0,3150.584632670484,17.639244000747567,13380.90849099899,253.7006237006237
1752882873,302,,Aggregated,38.400000,12.800000,140,1800,5400,7000,9800,11000,12000,12000,13000,13000,13000,1121,326,140.0,2718.85676582696,17.55515100012417,13380.90849099899,273.30597680642285
1752882874,302,,Aggregated,38.400000,12.800000,140,1800,5400,7000,9800,11000,12000,12000,13000,13000,13000,1121,326,140.0,2718.85676582696,17.55515100012417,13380.90849099899,273.30597680642285
1752882875,302,,Aggregated,53.500000,12.800000,140,1300,5200,6700,9700,11000,12000,12000,13000,13000,13000,1161,326,140.0,2631.1708863609115,17.55515100012417,13380.90849099899,280.99741602067184
1752882876,302,,Aggregated,57.400000,12.800000,130,480,3900,6000,9400,11000,11000,12000,13000,13000,13000,1329,326,130.0,2318.280940083527,17.55515100012417,13380.90849099899,302.418359668924
1752882877,302,,Aggregated,57.400000,12.800000,130,480,3900,6000,9400,11000,11000,12000,13000,13000,13000,1329,326,130.0,2318.280940083527,17.55515100012417,13380.90849099899,302.418359668924
