,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752887109,0.0,0.0,0.0,0.0,,,,,,0.004712221287487272
1,1752887114,0.0,0.0,0.0,0.0,,,,,,0.018045434562715935
2,1752887119,10.0,0.0,10.0,0.0,10.0,0.554298,0.554298,7.0,-112.0,0.020929308661079535
3,1752887124,10.0,0.0,10.0,0.0,10.0,0.554298,0.554298,7.0,-112.0,0.023741704034488793
4,1752887129,10.0,0.0,10.0,0.0,10.0,0.554298,0.554298,7.0,-112.0,0.026711669583976142
5,1752887134,10.0,0.0,10.0,0.7285762845847827,10.0,0.554298,0.554298,7.0,-112.0,0.055165633848212284
6,1752887139,10.0,0.0,10.0,0.7285762845847827,10.0,0.554298,0.554298,7.0,-112.0,0.06175707723163108
7,1752887144,10.0,0.0,10.0,0.7285762845847827,10.0,0.554298,0.554298,7.0,-112.0,0.0673555181625056
8,1752887149,10.0,0.0,10.0,0.7285762845847827,10.0,0.724267,0.854578,7.0,-112.0,0.10975496113457375
9,1752887154,10.0,0.0,10.0,0.7285762845847827,10.0,0.724267,0.854578,7.0,-112.0,0.12187365034503642
10,1752887159,10.0,0.0,10.0,0.7285762845847827,10.0,0.724267,0.854578,7.0,-112.0,0.1489423092980239
11,1752887164,10.0,0.0,10.0,1.2849742132747288,10.0,0.724267,0.854578,7.0,-112.0,0.16285782532046844
12,1752887169,10.0,0.0,10.0,1.2849742132747288,10.0,0.724267,0.854578,7.0,-112.0,0.17306116881855807
13,1752887174,10.0,0.0,10.0,1.2849742132747288,10.0,0.724267,0.854578,7.0,-112.0,0.15172896274902184
14,1752887179,10.0,0.0,10.0,1.2849742132747288,10.0,1.08413,1.719889,7.0,-113.0,0.22216835746704797
15,1752887184,10.0,0.0,10.0,1.2849742132747288,10.0,1.08413,1.719889,7.0,-113.0,0.22221780969261862
16,1752887189,10.0,0.0,10.0,1.2849742132747288,10.0,1.08413,1.719889,7.0,-113.0,0.22211224153597003
17,1752887194,10.0,0.0,10.0,0.26261756444502854,10.0,1.08413,1.719889,7.0,-113.0,0.21409345415786865
18,1752887199,10.0,0.0,10.0,0.26261756444502854,10.0,1.08413,1.719889,7.0,-113.0,0.21429607064354153
19,1752887204,10.0,0.0,10.0,0.26261756444502854,10.0,1.08413,1.719889,7.0,-113.0,0.17477391661631608
20,1752887209,10.0,0.0,10.0,0.26261756444502854,10.0,1.13086,1.260144,7.0,-113.0,0.16134284805848678
21,1752887214,10.0,0.0,10.0,0.26261756444502854,10.0,1.13086,1.260144,7.0,-113.0,0.161250354569888
22,1752887219,10.0,0.0,10.0,0.26261756444502854,10.0,1.13086,1.260144,7.0,-113.0,0.08160343205339989
23,1752887224,10.0,0.0,10.0,0.6330738408061932,10.0,1.13086,1.260144,7.0,-113.0,0.11428963995048445
24,1752887229,10.0,0.0,10.0,0.6330738408061932,10.0,1.13086,1.260144,7.0,-113.0,0.11438247783149263
25,1752887234,10.0,0.0,10.0,0.6330738408061932,10.0,1.13086,1.260144,7.0,-113.0,0.11488324079174832
26,1752887239,10.0,0.0,10.0,0.6330738408061932,10.0,1.056433,0.776095,7.0,-112.0,0.06809969314363665
27,1752887244,10.0,0.0,10.0,0.6330738408061932,10.0,1.056433,0.776095,7.0,-112.0,0.0628109854870976
28,1752887249,10.0,0.0,10.0,0.6330738408061932,10.0,1.056433,0.776095,7.0,-112.0,0.06287435599793761
29,1752887254,10.0,0.0,10.0,1.4291751861165662,10.0,1.056433,0.776095,7.0,-112.0,0.08578183074910346
30,1752887259,10.0,0.0,10.0,1.4291751861165662,10.0,1.056433,0.776095,7.0,-112.0,0.0857342605393666
31,1752887264,10.0,0.0,10.0,1.4291751861165662,10.0,1.056433,0.776095,7.0,-112.0,0.05971626869044983
32,1752887269,10.0,0.0,10.0,1.4291751861165662,10.0,1.014344,0.813719,7.0,-112.0,0.07014295084692541
33,1752887274,10.0,0.0,10.0,1.4291751861165662,10.0,1.014344,0.813719,7.0,-112.0,0.06035481669791952
34,1752887279,10.0,0.0,10.0,1.4291751861165662,10.0,1.014344,0.813719,7.0,-112.0,0.05997867875657093
35,1752887284,10.0,0.0,10.0,1.6453503137566852,10.0,1.014344,0.813719,7.0,-112.0,0.08571340634971454
36,1752887289,10.0,0.0,10.0,1.6453503137566852,10.0,1.014344,0.813719,7.0,-112.0,0.10017095050669732
37,1752887294,10.0,0.0,10.0,1.6453503137566852,10.0,1.014344,0.813719,7.0,-112.0,0.09981264331826743
38,1752887299,10.0,0.0,10.0,1.6453503137566852,10.0,1.284081,2.839563,7.0,-114.0,0.1579340853396474
39,1752887304,10.0,0.0,10.0,1.6453503137566852,10.0,1.284081,2.839563,7.0,-114.0,0.16933757255004397
40,1752887309,10.0,0.0,10.0,1.6453503137566852,10.0,1.284081,2.839563,7.0,-114.0,0.16901776019407716
41,1752887314,10.0,0.0,10.0,3.2345113585023344,10.0,1.284081,2.839563,7.0,-114.0,0.2286834787020543
42,1752887319,10.0,0.0,10.0,3.2345113585023344,10.0,1.284081,2.839563,7.0,-114.0,0.26886360348670685
43,1752887324,10.0,0.0,10.0,3.2345113585023344,10.0,1.284081,2.839563,7.0,-114.0,0.28028831411693683
44,1752887329,10.0,0.0,10.0,3.2345113585023344,10.0,2.20211,8.414106,7.0,-120.0,0.28007266733280667
45,1752887334,10.0,0.0,10.0,3.2345113585023344,10.0,2.20211,8.414106,7.0,-120.0,0.3231521270204452
