,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752887702,1.0,0.0,1.0,,1.0,2.967214,16.731559,70.0,-128.0,0.087587925
1,1752887707,1.0,0.0,1.0,120.98158897404744,1.0,2.967214,16.731559,70.0,-128.0,0.087587925
2,1752887712,1.0,0.0,1.0,120.98158897404744,1.0,2.967214,16.731559,70.0,-128.0,0.087587925
3,1752887717,3.0,0.0,2.0,120.98158897404744,3.0,47.138288,71.825821,70.0,-83.0,0.087587925
4,1752887722,3.0,0.0,2.0,120.98158897404744,3.0,47.138288,71.825821,70.0,-83.0,
5,1752887727,3.0,0.0,2.0,120.98158897404744,3.0,47.138288,71.825821,70.0,-83.0,0.0009839983725013508
6,1752887732,3.0,0.0,2.0,120.98158897404744,3.0,47.138288,71.825821,70.0,-83.0,0.0018563651482778908
7,1752887737,3.0,0.0,2.0,9.586782275769169,3.0,47.138288,71.825821,70.0,-83.0,0.0021479242079877683
8,1752887742,3.0,0.0,2.0,9.586782275769169,3.0,47.138288,71.825821,70.0,-83.0,0.1734048693901252
9,1752887747,3.0,0.0,3.0,9.586782275769169,3.0,53.150483,34.159104,70.0,54.0,0.4433700969633574
10,1752887752,3.0,0.0,3.0,9.586782275769169,3.0,53.150483,34.159104,70.0,54.0,0.8599080608439432
11,1752887757,3.0,0.0,3.0,9.586782275769169,3.0,53.150483,34.159104,70.0,54.0,1.0001550192620088
12,1752887762,3.0,0.0,3.0,9.586782275769169,3.0,53.150483,34.159104,70.0,54.0,1.084580112757887
13,1752887767,3.0,0.0,3.0,0.14870462051303618,3.0,53.150483,34.159104,70.0,54.0,1.4395097547061857
14,1752887772,3.0,0.0,3.0,0.14870462051303618,3.0,53.150483,34.159104,70.0,54.0,1.4365376937967413
15,1752887777,1.0,2.0,1.0,0.14870462051303618,1.0,34.51148,0.111629,70.0,-12.0,1.3733546769807377
16,1752887782,1.0,2.0,1.0,0.14870462051303618,1.0,34.51148,0.111629,70.0,-12.0,1.3057931104747815
17,1752887787,1.0,2.0,1.0,0.14870462051303618,1.0,34.51148,0.111629,70.0,-12.0,1.1124453485452863
18,1752887792,1.0,2.0,1.0,0.14870462051303618,1.0,34.51148,0.111629,70.0,-12.0,0.3708849742618706
19,1752887797,1.0,2.0,1.0,0.1372384772112846,1.0,34.51148,0.111629,70.0,-12.0,0.38732912363101996
20,1752887802,1.0,2.0,1.0,0.1372384772112846,1.0,34.51148,0.111629,70.0,-12.0,0.2970869697925433
21,1752887807,1.0,1.0,1.0,0.1372384772112846,1.0,24.859658,0.124265,70.0,-112.0,0.12218141617651501
22,1752887812,1.0,1.0,1.0,0.1372384772112846,1.0,24.859658,0.124265,70.0,-112.0,0.0016392185672968085
23,1752887817,1.0,1.0,1.0,0.1372384772112846,1.0,24.859658,0.124265,70.0,-112.0,0.0015273972904926514
24,1752887822,1.0,1.0,1.0,0.1372384772112846,1.0,24.859658,0.124265,70.0,-112.0,0.001474355337703898
25,1752887827,1.0,1.0,1.0,0.09469453326205725,1.0,24.859658,0.124265,70.0,-112.0,0.0013273486793142894
