,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752893028,5.0,0.0,5.0,41.194048394410935,5.0,18.876384,0.018476,70.0,288.0,0.05973135673506855
1,1752893033,5.0,0.0,5.0,41.194048394410935,5.0,18.876384,0.018476,70.0,288.0,0.06893097652634389
2,1752893038,5.0,0.0,5.0,41.194048394410935,5.0,18.876384,0.018476,70.0,288.0,0.05539514681186136
3,1752893043,5.0,0.0,5.0,0.0,5.0,18.876384,0.018476,70.0,288.0,0.05723532374545865
4,1752893048,5.0,0.0,5.0,0.0,5.0,18.876384,0.018476,70.0,288.0,0.05899605197628123
5,1752893053,5.0,0.0,5.0,0.0,5.0,18.876384,0.018476,70.0,288.0,0.063958759171226
6,1752893058,5.0,0.0,5.0,0.0,5.0,8.012887,0.065874,70.0,288.0,0.06379422043113603
7,1752893063,5.0,0.0,5.0,0.0,5.0,8.012887,0.065874,70.0,288.0,0.06880445223665323
8,1752893068,5.0,0.0,5.0,0.0,5.0,8.012887,0.065874,70.0,288.0,0.03572913158310163
9,1752893073,5.0,0.0,5.0,0.0,5.0,8.012887,0.065874,70.0,288.0,0.03618838915234372
10,1752893078,5.0,0.0,5.0,0.0,5.0,8.012887,0.065874,70.0,288.0,0.03926750900836388
11,1752893083,5.0,0.0,5.0,0.0,5.0,8.012887,0.065874,70.0,288.0,0.04509685267220833
12,1752893088,5.0,0.0,5.0,0.0,5.0,0.060516,0.068595,70.0,288.0,0.0460781866029413
13,1752893093,5.0,0.0,5.0,0.0,5.0,0.060516,0.068595,70.0,288.0,0.04738565110255205
14,1752893098,5.0,0.0,5.0,0.0,5.0,0.060516,0.068595,70.0,288.0,0.04906269871751465
15,1752893103,5.0,0.0,5.0,0.0,5.0,0.060516,0.068595,70.0,288.0,0.051028888423456084
16,1752893108,5.0,0.0,5.0,0.0,5.0,0.060516,0.068595,70.0,288.0,0.052848521493957454
17,1752893113,5.0,0.0,5.0,0.0,5.0,0.060516,0.068595,70.0,288.0,0.055005732967150014
