,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752893028,10.0,0.0,10.0,41.20919023015007,10.0,9.97527,12.830875,7.0,-124.0,0.040015379080053176
1,1752893033,10.0,0.0,10.0,41.20919023015007,10.0,9.97527,12.830875,7.0,-124.0,0.06343256577606844
2,1752893038,10.0,0.0,10.0,41.20919023015007,10.0,9.97527,12.830875,7.0,-124.0,0.10093918822241935
3,1752893043,10.0,0.0,10.0,76.8093439423519,10.0,9.97527,12.830875,7.0,-124.0,0.14672590197343402
4,1752893048,10.0,0.0,10.0,76.8093439423519,10.0,9.97527,12.830875,7.0,-124.0,0.1760767091503295
5,1752893053,10.0,0.0,10.0,76.8093439423519,10.0,9.97527,12.830875,7.0,-124.0,0.19310812776489025
6,1752893058,10.0,0.0,10.0,76.8093439423519,13.0,27.552795,0.48653,7.0,-112.0,0.2031585288050198
7,1752893063,10.0,0.0,10.0,76.8093439423519,13.0,27.552795,0.48653,7.0,-112.0,0.2078385417642107
8,1752893068,10.0,0.0,10.0,76.8093439423519,13.0,27.552795,0.48653,7.0,-112.0,0.22967112106698462
9,1752893073,10.0,0.0,10.0,0.30028894299133163,13.0,27.552795,0.48653,7.0,-112.0,0.23942485557690837
10,1752893078,10.0,0.0,10.0,0.30028894299133163,13.0,27.552795,0.48653,7.0,-112.0,0.2029203835871054
11,1752893083,10.0,0.0,10.0,0.30028894299133163,13.0,27.552795,0.48653,7.0,-112.0,0.15850723680387002
12,1752893088,10.0,0.0,10.0,0.30028894299133163,13.0,24.441103,0.519831,7.0,-112.0,0.14701431675027726
13,1752893093,10.0,0.0,10.0,0.30028894299133163,13.0,24.441103,0.519831,7.0,-112.0,0.14524658158468415
14,1752893098,10.0,0.0,10.0,0.30028894299133163,13.0,24.441103,0.519831,7.0,-112.0,0.13966913176738407
15,1752893103,10.0,0.0,10.0,0.6184512512982746,13.0,24.441103,0.519831,7.0,-112.0,0.1373511170734716
16,1752893108,10.0,0.0,10.0,0.6184512512982746,13.0,24.441103,0.519831,7.0,-112.0,0.13678787355296895
17,1752893113,10.0,0.0,10.0,0.6184512512982746,13.0,24.441103,0.519831,7.0,-112.0,0.1469649099850337
18,1752893118,10.0,0.0,10.0,0.6184512512982746,18.0,18.253535,0.568532,7.0,-112.0,0.1401896451236237
19,1752893123,10.0,0.0,10.0,0.6184512512982746,18.0,18.253535,0.568532,7.0,-112.0,0.1445992659313035
