,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752893647,1.0,1.0,1.0,0.22133697342400951,1.0,0.212973,0.172642,70.0,-112.0,0.0006719420204111874
1,1752893652,1.0,1.0,1.0,0.22133697342400951,1.0,0.212973,0.172642,70.0,-112.0,0.0006719420204111874
2,1752893657,1.0,1.0,1.0,0.22133697342400951,1.0,0.2271,0.248737,70.0,-112.0,0.0007391714095646422
3,1752893662,1.0,1.0,1.0,0.22133697342400951,1.0,0.2271,0.248737,70.0,-112.0,0.0006920116706071708
4,1752893667,1.0,1.0,1.0,0.22133697342400951,1.0,0.2271,0.248737,70.0,-112.0,0.0006920116706071708
5,1752893672,1.0,1.0,1.0,0.22133697342400951,1.0,0.2271,0.248737,70.0,-112.0,0.0005747772045877538
6,1752893677,1.0,1.0,1.0,0.20807942966778809,1.0,0.2271,0.248737,70.0,-112.0,0.0010243535188216015
7,1752893682,1.0,1.0,1.0,0.20807942966778809,1.0,0.2271,0.248737,70.0,-112.0,0.0010243535188216015
8,1752893687,1.0,1.0,1.0,0.20807942966778809,1.0,0.218591,0.173207,70.0,-112.0,0.0011469862784070572
9,1752893692,1.0,1.0,1.0,0.20807942966778809,1.0,0.218591,0.173207,70.0,-112.0,0.0011469862784070572
10,1752893697,1.0,1.0,1.0,0.20807942966778809,1.0,0.218591,0.173207,70.0,-112.0,0.0011469862784070572
11,1752893702,1.0,1.0,1.0,0.20807942966778809,1.0,0.218591,0.173207,70.0,-112.0,0.0010067254945230347
12,1752893707,1.0,1.0,1.0,0.21259329662220094,1.0,0.218591,0.173207,70.0,-112.0,0.0009917582995185256
13,1752893712,1.0,1.0,1.0,0.21259329662220094,1.0,0.218591,0.173207,70.0,-112.0,0.0009917582995185256
14,1752893717,1.0,1.0,1.0,0.21259329662220094,1.0,0.217748,0.268497,70.0,-112.0,0.0007254941239316174
15,1752893722,1.0,1.0,1.0,0.21259329662220094,1.0,0.217748,0.268497,70.0,-112.0,0.000734871773276638
16,1752893727,1.0,1.0,1.0,0.21259329662220094,1.0,0.217748,0.268497,70.0,-112.0,0.000734871773276638
17,1752893732,1.0,1.0,1.0,0.21259329662220094,1.0,0.217748,0.268497,70.0,-112.0,0.000734871773276638
18,1752893737,1.0,1.0,1.0,0.2636134349823451,1.0,0.217748,0.268497,70.0,-112.0,0.0007222264772335629
19,1752893742,1.0,1.0,1.0,0.2636134349823451,1.0,0.217748,0.268497,70.0,-112.0,0.0007222264772335629
20,1752893747,1.0,1.0,1.0,0.2636134349823451,1.0,0.236907,0.244063,70.0,-112.0,0.0007818812363105616
21,1752893752,1.0,1.0,1.0,0.2636134349823451,1.0,0.236907,0.244063,70.0,-112.0,0.0007261861489448132
22,1752893757,1.0,1.0,1.0,0.2636134349823451,1.0,0.236907,0.244063,70.0,-112.0,0.0007261861489448132
23,1752893762,1.0,1.0,1.0,0.2636134349823451,1.0,0.236907,0.244063,70.0,-112.0,0.0007261861489448132
24,1752893767,1.0,1.0,1.0,0.2459237843506965,1.0,0.236907,0.244063,70.0,-112.0,0.0007477293577981572
25,1752893772,1.0,1.0,1.0,0.2459237843506965,1.0,0.236907,0.244063,70.0,-112.0,0.0007477293577981572
26,1752893777,1.0,1.0,1.0,0.2459237843506965,1.0,0.254691,0.237103,70.0,-112.0,0.0007222369467267387
27,1752893782,1.0,1.0,1.0,0.2459237843506965,1.0,0.254691,0.237103,70.0,-112.0,0.0006869017327032556
28,1752893787,1.0,1.0,1.0,0.2459237843506965,1.0,0.254691,0.237103,70.0,-112.0,0.0006869017327032556
29,1752893792,1.0,1.0,1.0,0.2459237843506965,1.0,0.254691,0.237103,70.0,-112.0,0.0007098607660547896
30,1752893797,1.0,1.0,1.0,0.21261060121037798,1.0,0.254691,0.237103,70.0,-112.0,0.0007480024731285131
31,1752893802,1.0,1.0,1.0,0.21261060121037798,1.0,0.254691,0.237103,70.0,-112.0,0.0007480024731285131
32,1752893807,1.0,1.0,1.0,0.21261060121037798,1.0,0.26366,0.280391,70.0,-112.0,0.0007710319030320522
33,1752893812,1.0,1.0,1.0,0.21261060121037798,1.0,0.26366,0.280391,70.0,-112.0,0.000753377149370644
34,1752893817,1.0,1.0,1.0,0.21261060121037798,1.0,0.26366,0.280391,70.0,-112.0,0.000753377149370644
35,1752893822,1.0,1.0,1.0,0.21261060121037798,1.0,0.26366,0.280391,70.0,-112.0,0.0007270270757147294
