,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752897565,5.0,0.0,5.0,0.0059472460204297445,5.0,0.021379,0.012108,9.0,-62.0,0.04687023466078357
1,1752897570,5.0,0.0,5.0,0.0059472460204297445,5.0,0.021379,0.012108,9.0,-62.0,0.04478767103539475
2,1752897575,5.0,0.0,5.0,0.032031679274249235,5.0,0.021379,0.012108,9.0,-62.0,0.03789455597320005
3,1752897580,5.0,0.0,5.0,0.032031679274249235,5.0,0.021379,0.012108,9.0,-62.0,0.04277951523747173
4,1752897585,5.0,0.0,5.0,0.032031679274249235,5.0,0.021379,0.012108,9.0,-62.0,0.04626645952683765
5,1752897590,5.0,0.0,5.0,0.032031679274249235,5.0,0.044624,0.065633,9.0,-62.0,0.0463287468518139
6,1752897595,5.0,0.0,5.0,0.032031679274249235,5.0,0.044624,0.065633,9.0,-62.0,0.04464528373850701
7,1752897600,5.0,0.0,5.0,0.032031679274249235,5.0,0.044624,0.065633,9.0,-62.0,0.045779989282666925
8,1752897605,5.0,0.0,5.0,0.05329695245566274,5.0,0.044624,0.065633,9.0,-62.0,0.018543051538416327
9,1752897610,5.0,0.0,5.0,0.05329695245566274,5.0,0.044624,0.065633,9.0,-62.0,0.01891297396100052
10,1752897615,5.0,0.0,5.0,0.05329695245566274,5.0,0.044624,0.065633,9.0,-62.0,0.022060193461947056
11,1752897620,5.0,0.0,5.0,0.05329695245566274,5.0,0.05562,0.096201,9.0,-62.0,0.022551402239464113
12,1752897625,5.0,0.0,5.0,0.05329695245566274,5.0,0.05562,0.096201,9.0,-62.0,0.022140621294463647
13,1752897630,5.0,0.0,5.0,0.05329695245566274,5.0,0.05562,0.096201,9.0,-62.0,0.022271673724444874
14,1752897635,5.0,0.0,5.0,0.16188018639712626,5.0,0.05562,0.096201,9.0,-62.0,0.021212447457832382
15,1752897640,5.0,0.0,5.0,0.16188018639712626,5.0,0.05562,0.096201,9.0,-62.0,0.02148732475806485
16,1752897645,5.0,0.0,5.0,0.16188018639712626,5.0,0.05562,0.096201,9.0,-62.0,0.020540311745545374
17,1752897650,5.0,0.0,5.0,0.16188018639712626,5.0,0.107332,0.186562,9.0,-62.0,0.021678328292605253
18,1752897655,5.0,0.0,5.0,0.16188018639712626,5.0,0.107332,0.186562,9.0,-62.0,0.01859868297830171
19,1752897660,5.0,0.0,5.0,0.16188018639712626,5.0,0.107332,0.186562,9.0,-62.0,0.0219862733511818
20,1752897665,5.0,0.0,5.0,0.12540598348034118,5.0,0.107332,0.186562,9.0,-62.0,0.02516910752473764
21,1752897670,5.0,0.0,5.0,0.12540598348034118,5.0,0.107332,0.186562,9.0,-62.0,0.02439573281905827
22,1752897675,5.0,0.0,5.0,0.12540598348034118,5.0,0.107332,0.186562,9.0,-62.0,0.02835751571993876
23,1752897680,5.0,0.0,5.0,0.12540598348034118,5.0,0.131697,0.099331,9.0,-62.0,0.03183957017111232
24,1752897685,5.0,0.0,5.0,0.12540598348034118,5.0,0.131697,0.099331,9.0,-62.0,0.034481662479620014
25,1752897690,5.0,0.0,5.0,0.12540598348034118,5.0,0.131697,0.099331,9.0,-62.0,0.03624349400752394
26,1752897695,5.0,0.0,5.0,0.12125616947309197,5.0,0.131697,0.099331,9.0,-62.0,0.037769765199545544
27,1752897700,5.0,0.0,5.0,0.12125616947309197,5.0,0.131697,0.099331,9.0,-62.0,0.035073707394625474
28,1752897705,5.0,0.0,5.0,0.12125616947309197,5.0,0.131697,0.099331,9.0,-62.0,0.03870446246445944
29,1752897710,5.0,0.0,5.0,0.12125616947309197,5.0,0.108004,0.119396,9.0,-62.0,0.03704845504822444
30,1752897715,5.0,0.0,5.0,0.12125616947309197,5.0,0.108004,0.119396,9.0,-62.0,0.038699500113431304
31,1752897720,5.0,0.0,5.0,0.12125616947309197,5.0,0.108004,0.119396,9.0,-62.0,0.03729042816580496
32,1752897725,5.0,0.0,5.0,0.13889262850302903,5.0,0.108004,0.119396,9.0,-62.0,0.03836539388718126
33,1752897730,5.0,0.0,5.0,0.13889262850302903,5.0,0.108004,0.119396,9.0,-62.0,0.039010416266785204
34,1752897735,5.0,0.0,5.0,0.13889262850302903,5.0,0.108004,0.119396,9.0,-62.0,0.039980302156231134
35,1752897740,5.0,0.0,5.0,0.13889262850302903,5.0,0.118461,0.124568,9.0,-62.0,0.040930606221062774
36,1752897745,5.0,0.0,5.0,0.13889262850302903,5.0,0.118461,0.124568,9.0,-62.0,0.04203915742162795
37,1752897750,5.0,0.0,5.0,0.13889262850302903,5.0,0.118461,0.124568,9.0,-62.0,0.042340224252205384
38,1752897755,5.0,0.0,5.0,0.13856984191219135,5.0,0.118461,0.124568,9.0,-62.0,0.04217471874618277
39,1752897760,5.0,0.0,5.0,0.13856984191219135,5.0,0.118461,0.124568,9.0,-62.0,0.043522603567971115
40,1752897765,5.0,0.0,5.0,0.13856984191219135,5.0,0.118461,0.124568,9.0,-62.0,0.041817267461007425
41,1752897770,5.0,0.0,5.0,0.13856984191219135,5.0,0.141502,0.158562,9.0,-62.0,0.045998714257322826
42,1752897775,5.0,0.0,5.0,0.13856984191219135,5.0,0.141502,0.158562,9.0,-62.0,0.04546441718485863
43,1752897780,5.0,0.0,5.0,0.13856984191219135,5.0,0.141502,0.158562,9.0,-62.0,0.04646078959222887
44,1752897785,5.0,0.0,5.0,0.13009376228948963,5.0,0.141502,0.158562,9.0,-62.0,0.04466594630856852
45,1752897790,5.0,0.0,5.0,0.13009376228948963,5.0,0.141502,0.158562,9.0,-62.0,0.04407498040319706
46,1752897795,5.0,0.0,5.0,0.13009376228948963,5.0,0.141502,0.158562,9.0,-62.0,0.045201977003860874
47,1752897800,5.0,0.0,5.0,0.13009376228948963,5.0,0.145223,0.142331,9.0,-62.0,0.04645247300681248
48,1752897805,5.0,0.0,5.0,0.13009376228948963,5.0,0.145223,0.142331,9.0,-62.0,0.04413593311748571
49,1752897810,5.0,0.0,5.0,0.13009376228948963,5.0,0.145223,0.142331,9.0,-62.0,0.04219163062730051
50,1752897815,5.0,0.0,5.0,0.12851423404804346,5.0,0.145223,0.142331,9.0,-62.0,0.04312999539754928
51,1752897820,5.0,0.0,5.0,0.12851423404804346,5.0,0.145223,0.142331,9.0,-62.0,0.042933085371454134
52,1752897825,5.0,0.0,5.0,0.12851423404804346,5.0,0.145223,0.142331,9.0,-62.0,0.04081144057177681
53,1752897830,5.0,0.0,5.0,0.12851423404804346,5.0,0.134054,0.116315,9.0,-62.0,0.04162564650558513
54,1752897835,5.0,0.0,5.0,0.12851423404804346,5.0,0.134054,0.116315,9.0,-62.0,0.04097108925058985
55,1752897840,5.0,0.0,5.0,0.12851423404804346,5.0,0.134054,0.116315,9.0,-62.0,0.039720678637190907
56,1752897845,5.0,0.0,5.0,0.09245692420472232,5.0,0.134054,0.116315,9.0,-62.0,0.03667398261291606
57,1752897850,5.0,0.0,5.0,0.09245692420472232,5.0,0.134054,0.116315,9.0,-62.0,0.03789533621609536
58,1752897855,5.0,0.0,5.0,0.09245692420472232,5.0,0.134054,0.116315,9.0,-62.0,0.03778736384780868
59,1752897860,5.0,0.0,5.0,0.09245692420472232,5.0,0.130114,0.154978,9.0,-62.0,0.03864132288410652
60,1752897865,5.0,0.0,5.0,0.09245692420472232,5.0,0.130114,0.154978,9.0,-62.0,0.03773249998527072
