,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752899668,10.0,0.0,1.0,,10.0,0.029134,0.045688,7.0,-202.0,0.005124563702324017
1,1752899673,10.0,0.0,1.0,0.12982786587017212,10.0,0.029134,0.045688,7.0,-202.0,0.019306655153235493
2,1752899678,10.0,0.0,1.0,0.12982786587017212,10.0,0.029134,0.045688,7.0,-202.0,0.022694886253289033
3,1752899683,10.0,0.0,1.0,0.12982786587017212,10.0,0.029134,0.045688,7.0,-202.0,0.024061692047495954
4,1752899688,10.0,0.0,10.0,0.12982786587017212,10.0,0.083262,0.18734,7.0,-112.0,0.027895113311179828
5,1752899693,10.0,0.0,10.0,0.12982786587017212,10.0,0.083262,0.18734,7.0,-112.0,0.030881685660762822
6,1752899698,10.0,0.0,10.0,0.12982786587017212,10.0,0.083262,0.18734,7.0,-112.0,0.03146190338354436
7,1752899703,10.0,0.0,10.0,0.0,10.0,0.083262,0.18734,7.0,-112.0,0.033751749771431874
8,1752899708,10.0,0.0,10.0,0.0,10.0,0.083262,0.18734,7.0,-112.0,0.03543599748480551
9,1752899713,10.0,0.0,10.0,0.0,10.0,0.083262,0.18734,7.0,-112.0,0.03850694628178998
10,1752899718,10.0,0.0,10.0,0.0,10.0,0.1829,0.428081,7.0,-112.0,0.034311798110386794
11,1752899723,10.0,0.0,10.0,0.0,10.0,0.1829,0.428081,7.0,-112.0,0.034397243388123125
12,1752899728,10.0,0.0,10.0,0.0,10.0,0.1829,0.428081,7.0,-112.0,0.033509911866562374
13,1752899733,10.0,0.0,10.0,0.1092727136218261,10.0,0.1829,0.428081,7.0,-112.0,0.03290900082908453
14,1752899738,10.0,0.0,10.0,0.1092727136218261,10.0,0.1829,0.428081,7.0,-112.0,0.0318771727481519
15,1752899743,10.0,0.0,10.0,0.1092727136218261,10.0,0.1829,0.428081,7.0,-112.0,0.03453049678852018
16,1752899748,10.0,0.0,10.0,0.1092727136218261,10.0,0.222983,0.392219,7.0,-112.0,0.032816349945631665
17,1752899753,10.0,0.0,10.0,0.1092727136218261,10.0,0.222983,0.392219,7.0,-112.0,0.0325373149333541
18,1752899758,10.0,0.0,10.0,0.1092727136218261,10.0,0.222983,0.392219,7.0,-112.0,0.027996268030529715
19,1752899763,10.0,0.0,10.0,2.652749171920928,10.0,0.222983,0.392219,7.0,-112.0,0.025120840790734095
20,1752899768,10.0,0.0,10.0,2.652749171920928,10.0,0.222983,0.392219,7.0,-112.0,0.047335903487280166
21,1752899773,10.0,0.0,10.0,2.652749171920928,10.0,0.222983,0.392219,7.0,-112.0,0.06662656517369471
22,1752899778,10.0,0.0,10.0,2.652749171920928,10.0,0.409126,1.048964,7.0,-113.0,0.10307638646824195
23,1752899783,10.0,0.0,10.0,2.652749171920928,10.0,0.409126,1.048964,7.0,-113.0,0.13109156653074647
24,1752899788,10.0,0.0,10.0,2.652749171920928,10.0,0.409126,1.048964,7.0,-113.0,0.15123474488137123
25,1752899793,10.0,0.0,10.0,1.3873874123963916,10.0,0.409126,1.048964,7.0,-113.0,0.19159172636528116
26,1752899798,10.0,0.0,10.0,1.3873874123963916,10.0,0.409126,1.048964,7.0,-113.0,0.2093412860394107
27,1752899803,10.0,0.0,10.0,1.3873874123963916,10.0,0.409126,1.048964,7.0,-113.0,0.2280817947532706
28,1752899808,10.0,0.0,10.0,1.3873874123963916,10.0,0.509417,1.257286,7.0,-113.0,0.2284815221818028
29,1752899813,10.0,0.0,10.0,1.3873874123963916,10.0,0.509417,1.257286,7.0,-113.0,0.2494609362736908
30,1752899818,10.0,0.0,10.0,1.3873874123963916,10.0,0.509417,1.257286,7.0,-113.0,0.24965760043110014
31,1752899823,10.0,0.0,10.0,1.4586548016637013,10.0,0.509417,1.257286,7.0,-113.0,0.23868162330973988
32,1752899828,10.0,0.0,10.0,1.4586548016637013,10.0,0.509417,1.257286,7.0,-113.0,0.24023570012421785
33,1752899833,10.0,0.0,10.0,1.4586548016637013,10.0,0.509417,1.257286,7.0,-113.0,0.2467963107469398
34,1752899838,10.0,0.0,10.0,1.4586548016637013,10.0,0.607088,1.234926,7.0,-113.0,0.23751835133360258
35,1752899843,10.0,0.0,10.0,1.4586548016637013,10.0,0.607088,1.234926,7.0,-113.0,0.24989150162965815
36,1752899848,10.0,0.0,10.0,1.4586548016637013,10.0,0.607088,1.234926,7.0,-113.0,0.25183148531640487
37,1752899853,10.0,0.0,10.0,1.4513357742938717,10.0,0.607088,1.234926,7.0,-113.0,0.2663184619569204
38,1752899858,10.0,0.0,10.0,1.4513357742938717,10.0,0.607088,1.234926,7.0,-113.0,0.2710373991293973
39,1752899863,10.0,0.0,10.0,1.4513357742938717,10.0,0.607088,1.234926,7.0,-113.0,0.272096272513792
40,1752899868,10.0,0.0,10.0,1.4513357742938717,10.0,0.693527,1.397628,7.0,-113.0,0.26858845430255973
41,1752899873,10.0,0.0,10.0,1.4513357742938717,10.0,0.693527,1.397628,7.0,-113.0,0.2658644232119456
42,1752899878,10.0,0.0,10.0,1.4513357742938717,10.0,0.693527,1.397628,7.0,-113.0,0.2807732109385204
43,1752899883,10.0,0.0,10.0,2.0099136266639164,10.0,0.693527,1.397628,7.0,-113.0,0.2753229176091038
44,1752899888,10.0,0.0,10.0,2.0099136266639164,10.0,0.693527,1.397628,7.0,-113.0,0.26976885548332624
45,1752899893,10.0,0.0,10.0,2.0099136266639164,10.0,0.693527,1.397628,7.0,-113.0,0.26791486051082863
46,1752899898,10.0,0.0,10.0,2.0099136266639164,10.0,0.842524,1.802036,7.0,-113.0,0.2610447151244586
47,1752899903,10.0,0.0,10.0,2.0099136266639164,10.0,0.842524,1.802036,7.0,-113.0,0.23301626113727228
48,1752899908,10.0,0.0,10.0,2.0099136266639164,10.0,0.842524,1.802036,7.0,-113.0,0.1963943011792204
49,1752899913,10.0,0.0,10.0,0.005439393741803149,10.0,0.842524,1.802036,7.0,-113.0,0.17159780927660734
50,1752899918,10.0,0.0,10.0,0.005439393741803149,10.0,0.842524,1.802036,7.0,-113.0,0.1313837212705046
51,1752899923,10.0,0.0,10.0,0.005439393741803149,10.0,0.842524,1.802036,7.0,-113.0,0.12150405684455524
52,1752899928,10.0,0.0,10.0,0.005439393741803149,10.0,0.894257,1.047322,7.0,-113.0,0.11087493386962342
53,1752899933,10.0,0.0,10.0,0.005439393741803149,10.0,0.894257,1.047322,7.0,-113.0,0.05770225312307318
54,1752899938,10.0,0.0,10.0,0.005439393741803149,10.0,0.894257,1.047322,7.0,-113.0,0.04756334439469557
55,1752899943,10.0,0.0,10.0,0.0,10.0,0.894257,1.047322,7.0,-113.0,0.045725905745674235
56,1752899948,10.0,0.0,10.0,0.0,10.0,0.894257,1.047322,7.0,-113.0,0.040994834861572134
57,1752899953,10.0,0.0,10.0,0.0,10.0,0.894257,1.047322,7.0,-113.0,0.03439907377286626
58,1752899958,10.0,0.0,10.0,0.0,10.0,0.937555,0.487631,7.0,-112.0,0.03944868140688184
59,1752899963,10.0,0.0,10.0,0.0,10.0,0.937555,0.487631,7.0,-112.0,0.04767164527023775
60,1752899968,10.0,0.0,10.0,0.0,10.0,0.937555,0.487631,7.0,-112.0,0.08049605665245595
