,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752899668,10.0,0.0,10.0,32.31108300069028,13.0,46.08564,79.637728,7.0,-191.0,0.029597298619531823
1,1752899673,10.0,0.0,10.0,62.695227660304745,13.0,46.08564,79.637728,7.0,-191.0,0.05507029364582515
2,1752899678,10.0,0.0,10.0,62.695227660304745,13.0,46.08564,79.637728,7.0,-191.0,0.08140942022551502
3,1752899683,10.0,0.0,10.0,62.695227660304745,13.0,46.08564,79.637728,7.0,-191.0,0.10420595925275282
4,1752899688,10.0,0.0,10.0,62.695227660304745,15.0,55.001685,90.562173,7.0,-202.0,0.12124144522464879
5,1752899693,10.0,0.0,10.0,62.695227660304745,15.0,55.001685,90.562173,7.0,-202.0,0.12756080683567617
6,1752899698,10.0,0.0,10.0,62.695227660304745,15.0,55.001685,90.562173,7.0,-202.0,0.1432076683180489
7,1752899703,10.0,0.0,10.0,107.49778896121104,15.0,55.001685,90.562173,7.0,-202.0,0.14890430482653658
8,1752899708,10.0,0.0,10.0,107.49778896121104,15.0,55.001685,90.562173,7.0,-202.0,0.1580029085788848
9,1752899713,10.0,0.0,10.0,107.49778896121104,15.0,55.001685,90.562173,7.0,-202.0,0.17769967308495282
10,1752899718,10.0,0.0,10.0,107.49778896121104,33.0,75.441053,56.024239,7.0,-168.0,0.17211533280093122
11,1752899723,10.0,0.0,10.0,107.49778896121104,33.0,75.441053,56.024239,7.0,-168.0,0.16825933708200785
12,1752899728,10.0,0.0,10.0,107.49778896121104,33.0,75.441053,56.024239,7.0,-168.0,0.14577356278916875
13,1752899733,10.0,0.0,10.0,143.1323450342399,33.0,75.441053,56.024239,7.0,-168.0,0.1463036748380191
14,1752899738,10.0,0.0,10.0,143.1323450342399,33.0,75.441053,56.024239,7.0,-168.0,0.151906818347719
15,1752899743,10.0,0.0,10.0,143.1323450342399,33.0,75.441053,56.024239,7.0,-168.0,0.1527208503235892
16,1752899748,10.0,0.0,10.0,143.1323450342399,56.0,131.294556,391.487036,7.0,-503.0,0.152832052790296
17,1752899753,10.0,0.0,10.0,143.1323450342399,56.0,131.294556,391.487036,7.0,-503.0,0.13864805614755965
18,1752899758,10.0,0.0,10.0,143.1323450342399,56.0,131.294556,391.487036,7.0,-503.0,0.11959686123518079
19,1752899763,10.0,0.0,10.0,31.254273751213393,56.0,131.294556,391.487036,7.0,-503.0,0.13374430063421264
20,1752899768,10.0,0.0,10.0,31.254273751213393,56.0,131.294556,391.487036,7.0,-503.0,0.19994333091641645
21,1752899773,10.0,0.0,10.0,31.254273751213393,56.0,131.294556,391.487036,7.0,-503.0,0.380466810122223
22,1752899778,10.0,0.0,10.0,31.254273751213393,64.0,140.961,11.26703,7.0,-123.0,0.38820181318575464
23,1752899783,10.0,0.0,10.0,31.254273751213393,64.0,140.961,11.26703,7.0,-123.0,0.5574362353818441
24,1752899788,10.0,0.0,10.0,31.254273751213393,64.0,140.961,11.26703,7.0,-123.0,0.721252143599483
25,1752899793,10.0,0.0,10.0,8.57129049645481,64.0,140.961,11.26703,7.0,-123.0,0.774490233813477
26,1752899798,10.0,0.0,10.0,8.57129049645481,64.0,140.961,11.26703,7.0,-123.0,0.931981267775105
27,1752899803,10.0,0.0,10.0,8.57129049645481,64.0,140.961,11.26703,7.0,-123.0,0.9911481106045243
28,1752899808,10.0,0.0,10.0,8.57129049645481,64.0,52.177623,7.516425,7.0,-119.0,1.0471109690573508
29,1752899813,10.0,0.0,10.0,8.57129049645481,64.0,52.177623,7.516425,7.0,-119.0,1.0641281760049575
30,1752899818,10.0,0.0,10.0,8.57129049645481,64.0,52.177623,7.516425,7.0,-119.0,1.0719029017115094
31,1752899823,10.0,0.0,10.0,16.15084180671045,64.0,52.177623,7.516425,7.0,-119.0,1.022259453374009
32,1752899828,10.0,0.0,10.0,16.15084180671045,64.0,52.177623,7.516425,7.0,-119.0,1.0137937142849187
33,1752899833,10.0,0.0,10.0,16.15084180671045,64.0,52.177623,7.516425,7.0,-119.0,1.0184418313074095
34,1752899838,10.0,0.0,10.0,16.15084180671045,10.0,9.841081,10.005787,7.0,-122.0,1.0235644390382372
35,1752899843,10.0,0.0,10.0,16.15084180671045,10.0,9.841081,10.005787,7.0,-122.0,1.0240267540053132
36,1752899848,10.0,0.0,10.0,16.15084180671045,10.0,9.841081,10.005787,7.0,-122.0,1.002101577334234
37,1752899853,10.0,0.0,10.0,12.394549977800983,10.0,9.841081,10.005787,7.0,-122.0,1.0768574188501463
38,1752899858,10.0,0.0,10.0,12.394549977800983,10.0,9.841081,10.005787,7.0,-122.0,1.0547040399977878
39,1752899863,10.0,0.0,10.0,12.394549977800983,10.0,9.841081,10.005787,7.0,-122.0,1.0786599200821831
40,1752899868,10.0,0.0,10.0,12.394549977800983,10.0,11.706169,13.2903,7.0,-125.0,1.0986107052746819
41,1752899873,10.0,0.0,10.0,12.394549977800983,10.0,11.706169,13.2903,7.0,-125.0,1.1300592567408663
