,index,srv-profile_autoscaler_requested_pods,srv-profile_autoscaler_terminating_pods,srv-profile_autoscaler_actual_pods,srv-profile_activator_request_concurrency,srv-profile_autoscaler_desired_pods,srv-profile_autoscaler_stable_request_concurrency,srv-profile_autoscaler_panic_request_concurrency,srv-profile_autoscaler_target_concurrency_per_pod,srv-profile_autoscaler_excess_burst_capacity,srv-profile_container_cpu_usage_seconds_total
0,1752903420,5.0,0.0,5.0,0.19032838412595646,5.0,1.901356,6.508489,4.25,-193.0,0.01533656699398481
1,1752903425,5.0,0.0,5.0,0.2592848369284837,5.0,1.901356,6.508489,4.25,-193.0,0.016716461788859868
2,1752903430,5.0,0.0,5.0,0.2592848369284837,5.0,1.901356,6.508489,4.25,-193.0,0.019658346295770193
3,1752903435,5.0,0.0,5.0,0.2592848369284837,5.0,1.901356,6.508489,4.25,-193.0,0.022772622068720466
4,1752903440,5.0,0.0,5.0,0.2592848369284837,5.0,1.992378,0.301132,4.25,-187.0,0.026099621722250225
5,1752903445,5.0,0.0,5.0,0.2592848369284837,5.0,1.992378,0.301132,4.25,-187.0,0.033239999018011605
6,1752903450,5.0,0.0,5.0,0.2592848369284837,5.0,1.992378,0.301132,4.25,-187.0,0.03582159552880229
7,1752903455,5.0,0.0,5.0,0.4350717651148245,5.0,1.992378,0.301132,4.25,-187.0,0.03654929397745989
8,1752903460,5.0,0.0,5.0,0.4350717651148245,5.0,1.992378,0.301132,4.25,-187.0,0.041430120225135945
9,1752903465,5.0,0.0,5.0,0.4350717651148245,5.0,1.992378,0.301132,4.25,-187.0,0.04635208457436317
10,1752903470,5.0,0.0,5.0,0.4350717651148245,5.0,2.162734,0.520809,4.25,-187.0,0.04966309437071596
11,1752903475,5.0,0.0,5.0,0.4350717651148245,5.0,2.162734,0.520809,4.25,-187.0,0.05236104713240178
12,1752903480,5.0,0.0,5.0,0.4350717651148245,5.0,2.162734,0.520809,4.25,-187.0,0.05591434885459471
13,1752903485,5.0,0.0,5.0,0.45774533961346114,5.0,2.162734,0.520809,4.25,-187.0,0.05593753295255736
14,1752903490,5.0,0.0,5.0,0.45774533961346114,5.0,2.162734,0.520809,4.25,-187.0,0.054083188815314
15,1752903495,5.0,0.0,5.0,0.45774533961346114,5.0,2.162734,0.520809,4.25,-187.0,0.057413168265493704
16,1752903500,5.0,0.0,5.0,0.45774533961346114,5.0,0.428563,0.468025,4.25,-187.0,0.05753611860490022
17,1752903505,5.0,0.0,5.0,0.45774533961346114,5.0,0.428563,0.468025,4.25,-187.0,0.058476291890676685
18,1752903510,5.0,0.0,5.0,0.45774533961346114,5.0,0.428563,0.468025,4.25,-187.0,0.05812425412355403
19,1752903515,5.0,0.0,5.0,1.470943231493975,5.0,0.428563,0.468025,4.25,-187.0,0.05644088366830616
20,1752903520,5.0,0.0,5.0,1.470943231493975,5.0,0.428563,0.468025,4.25,-187.0,0.05341242290752915
21,1752903525,5.0,0.0,5.0,1.470943231493975,5.0,0.428563,0.468025,4.25,-187.0,0.05606400076446605
22,1752903530,5.0,0.0,5.0,1.470943231493975,5.0,0.436145,0.283975,4.25,-187.0,0.05612870520049918
23,1752903535,5.0,0.0,5.0,1.470943231493975,5.0,0.436145,0.283975,4.25,-187.0,0.05375822513025618
24,1752903540,5.0,0.0,5.0,1.470943231493975,5.0,0.436145,0.283975,4.25,-187.0,0.05216723453863824
25,1752903545,5.0,0.0,5.0,0.35707910004339605,5.0,0.436145,0.283975,4.25,-187.0,0.05078007358687755
26,1752903550,5.0,0.0,5.0,0.35707910004339605,5.0,0.436145,0.283975,4.25,-187.0,0.04992737652916593
27,1752903555,5.0,0.0,5.0,0.35707910004339605,5.0,0.436145,0.283975,4.25,-187.0,0.04644129380328848
28,1752903560,5.0,0.0,5.0,0.35707910004339605,5.0,0.380146,0.376718,4.25,-187.0,0.04337366656621287
29,1752903565,5.0,0.0,5.0,0.35707910004339605,5.0,0.380146,0.376718,4.25,-187.0,0.04141016714537968
30,1752903570,5.0,0.0,5.0,0.35707910004339605,5.0,0.380146,0.376718,4.25,-187.0,0.046429889149662805
31,1752903575,5.0,0.0,5.0,0.4950922945583064,5.0,0.380146,0.376718,4.25,-187.0,0.04566232985129349
32,1752903580,5.0,0.0,5.0,0.4950922945583064,5.0,0.380146,0.376718,4.25,-187.0,0.048567405517708766
33,1752903585,5.0,0.0,5.0,0.4950922945583064,5.0,0.380146,0.376718,4.25,-187.0,0.05271647324714662
34,1752903590,5.0,0.0,5.0,0.4950922945583064,5.0,0.37138,0.448032,4.25,-187.0,0.05237852060808918
35,1752903595,5.0,0.0,5.0,0.4950922945583064,5.0,0.37138,0.448032,4.25,-187.0,0.056170249295335845
36,1752903600,5.0,0.0,5.0,0.4950922945583064,5.0,0.37138,0.448032,4.25,-187.0,0.05624018912578699
37,1752903605,5.0,0.0,5.0,0.10446316316884587,5.0,0.37138,0.448032,4.25,-187.0,0.058307111774432055
38,1752903610,5.0,0.0,5.0,0.10446316316884587,5.0,0.37138,0.448032,4.25,-187.0,0.05492411294787883
39,1752903615,5.0,0.0,5.0,0.10446316316884587,5.0,0.37138,0.448032,4.25,-187.0,0.05581347279203729
40,1752903620,5.0,0.0,5.0,0.10446316316884587,5.0,0.372261,0.295353,4.25,-187.0,0.05264923162074712
41,1752903625,5.0,0.0,5.0,0.10446316316884587,5.0,0.372261,0.295353,4.25,-187.0,0.054065275947498354
42,1752903630,5.0,0.0,5.0,0.10446316316884587,5.0,0.372261,0.295353,4.25,-187.0,0.051528396488539414
43,1752903635,5.0,0.0,5.0,0.03756906535911497,5.0,0.372261,0.295353,4.25,-187.0,0.05197036568326614
44,1752903640,5.0,0.0,5.0,0.03756906535911497,5.0,0.372261,0.295353,4.25,-187.0,0.04684455752170034
45,1752903645,5.0,0.0,5.0,0.03756906535911497,5.0,0.372261,0.295353,4.25,-187.0,0.04522908002458465
46,1752903650,5.0,0.0,5.0,0.03756906535911497,5.0,0.330416,0.252564,4.25,-187.0,0.04414702329295517
47,1752903655,5.0,0.0,5.0,0.03756906535911497,5.0,0.330416,0.252564,4.25,-187.0,0.044022011020320696
48,1752903660,5.0,0.0,5.0,0.03756906535911497,5.0,0.330416,0.252564,4.25,-187.0,0.04076461379616815
49,1752903665,5.0,0.0,5.0,6.912524884904613,5.0,0.330416,0.252564,4.25,-187.0,0.040603693101028675
50,1752903670,5.0,0.0,5.0,6.912524884904613,5.0,0.330416,0.252564,4.25,-187.0,0.03879455964626278
51,1752903675,5.0,0.0,5.0,6.912524884904613,5.0,0.330416,0.252564,4.25,-187.0,0.04025156338071888
52,1752903680,5.0,0.0,5.0,6.912524884904613,5.0,0.364341,0.628153,4.25,-187.0,0.04393180717317045
