,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752904253,10.0,0.0,10.0,0.0,10.0,0.001381,-1e-06,80.0,789.0,0.009585883575316853
1,1752904258,10.0,0.0,10.0,0.0,10.0,0.001381,-1e-06,80.0,789.0,0.00976574936811638
2,1752904263,10.0,0.0,10.0,0.0,10.0,0.001381,-1e-06,80.0,789.0,0.010186317499576067
3,1752904268,10.0,0.0,10.0,0.0,10.0,0.001381,-1e-06,80.0,789.0,0.009249429009057423
4,1752904273,10.0,0.0,10.0,0.0,10.0,0.001381,-1e-06,80.0,789.0,0.009252374149111993
5,1752904278,1.0,9.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.009659280223324681
6,1752904283,1.0,9.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.010567801895449256
7,1752904288,1.0,9.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.012325126578592888
8,1752904293,1.0,9.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.012321562224776966
9,1752904298,1.0,9.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.012031847827586295
10,1752904303,1.0,9.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.011494607884688916
11,1752904308,1.0,0.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.010336466838149497
12,1752904313,1.0,0.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.011245323435860112
13,1752904318,1.0,0.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.01023716538772635
14,1752904323,1.0,0.0,1.0,0.006603981018585814,0.0,0.0,-1e-06,80.0,-111.0,0.008588623949602818
15,1752904328,1.0,0.0,1.0,0.006603981018585814,0.0,0.0,-1e-06,80.0,-111.0,0.2421097916766673
16,1752904333,1.0,0.0,1.0,0.006603981018585814,0.0,0.0,-1e-06,80.0,-111.0,0.41102218394439927
17,1752904338,10.0,0.0,10.0,0.006603981018585814,10.0,0.072915,0.000744,80.0,788.0,0.4530376260452888
18,1752904343,10.0,0.0,10.0,0.006603981018585814,10.0,0.072915,0.000744,80.0,788.0,0.39381245205741516
19,1752904348,10.0,0.0,10.0,0.006603981018585814,10.0,0.072915,0.000744,80.0,788.0,0.38743471913967936
20,1752904353,10.0,0.0,10.0,0.0,10.0,0.072915,0.000744,80.0,788.0,0.39959879391498837
21,1752904358,10.0,0.0,10.0,0.0,10.0,0.072915,0.000744,80.0,788.0,0.34808697520255094
22,1752904363,10.0,0.0,10.0,0.0,10.0,0.072915,0.000744,80.0,788.0,0.3625960892192005
23,1752904368,10.0,0.0,10.0,0.0,10.0,0.005519,-1e-06,80.0,789.0,0.37288549876289756
24,1752904373,10.0,0.0,10.0,0.0,10.0,0.005519,-1e-06,80.0,789.0,0.044874481888212456
25,1752904378,10.0,0.0,10.0,0.0,10.0,0.005519,-1e-06,80.0,789.0,0.035072431897696286
26,1752904383,10.0,0.0,10.0,0.0,10.0,0.005519,-1e-06,80.0,789.0,0.03517324911743853
27,1752904388,10.0,0.0,10.0,0.0,10.0,0.005519,-1e-06,80.0,789.0,0.0073457017831321005
28,1752904393,10.0,0.0,10.0,0.0,10.0,0.005519,-1e-06,80.0,789.0,0.007688199742617863
29,1752904398,1.0,9.0,1.0,0.0,1.0,0.0,-1e-06,80.0,-11.0,0.007755088322384656
30,1752904403,1.0,9.0,1.0,0.0,1.0,0.0,-1e-06,80.0,-11.0,0.007861205087007403
31,1752904408,1.0,9.0,1.0,0.0,1.0,0.0,-1e-06,80.0,-11.0,0.008088461304267458
32,1752904413,1.0,9.0,1.0,0.0,1.0,0.0,-1e-06,80.0,-11.0,0.008173767530241256
33,1752904418,1.0,9.0,1.0,0.0,1.0,0.0,-1e-06,80.0,-11.0,0.007466461437208931
34,1752904423,1.0,9.0,1.0,0.0,1.0,0.0,-1e-06,80.0,-11.0,0.007728667474498274
35,1752904428,1.0,1.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.0069861636896988485
36,1752904433,1.0,1.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.00619606627836393
37,1752904438,1.0,1.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.004988648187133723
38,1752904443,1.0,1.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.004394257387795553
39,1752904448,1.0,1.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.0037968495529842397
40,1752904453,1.0,1.0,1.0,0.0,0.0,0.0,-1e-06,80.0,-111.0,0.028080596357639598
41,1752904458,10.0,0.0,10.0,0.0,10.0,0.13864,0.002376,80.0,788.0,0.2669899470055065
42,1752904463,10.0,0.0,10.0,0.0,10.0,0.13864,0.002376,80.0,788.0,0.4185209844773782
43,1752904468,10.0,0.0,10.0,0.0,10.0,0.13864,0.002376,80.0,788.0,0.40932059145063354
44,1752904473,10.0,0.0,10.0,0.0,10.0,0.13864,0.002376,80.0,788.0,0.4492800847636679
