,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752904718,5.0,0.0,0.0,0.0,5.0,4.458949,4.458949,70.0,-216.0,0.06537493627481186
1,1752904723,5.0,0.0,0.0,0.0,5.0,4.458949,4.458949,70.0,-216.0,0.054692814202603496
2,1752904728,5.0,0.0,5.0,0.0,5.0,14.481629,0.041279,70.0,288.0,0.059630195575953886
3,1752904733,5.0,0.0,5.0,0.0,5.0,14.481629,0.041279,70.0,288.0,0.054558507625218904
4,1752904738,5.0,0.0,5.0,0.0,5.0,14.481629,0.041279,70.0,288.0,0.05730462531296142
5,1752904743,5.0,0.0,5.0,0.0,5.0,14.481629,0.041279,70.0,288.0,0.05825161754295951
6,1752904748,5.0,0.0,5.0,0.0,5.0,14.481629,0.041279,70.0,288.0,0.057898381605150456
7,1752904753,5.0,0.0,5.0,0.0,5.0,14.481629,0.041279,70.0,288.0,0.029084225120753145
8,1752904758,5.0,0.0,5.0,0.0,5.0,7.655994,0.048279,70.0,288.0,0.024556198831029337
9,1752904763,5.0,0.0,5.0,0.0,5.0,7.655994,0.048279,70.0,288.0,0.025094269682893886
10,1752904768,5.0,0.0,5.0,0.0,5.0,7.655994,0.048279,70.0,288.0,0.027516622744241236
11,1752904773,5.0,0.0,5.0,0.0,5.0,7.655994,0.048279,70.0,288.0,0.02919815504607428
12,1752904778,5.0,0.0,5.0,0.0,5.0,7.655994,0.048279,70.0,288.0,0.03065231932277761
13,1752904783,5.0,0.0,5.0,0.0,5.0,7.655994,0.048279,70.0,288.0,0.031328790540800296
14,1752904788,5.0,0.0,5.0,0.0,5.0,0.04406,0.057377,70.0,288.0,0.03162357366332115
15,1752904793,5.0,0.0,5.0,0.0,5.0,0.04406,0.057377,70.0,288.0,0.032420704326706906
16,1752904798,5.0,0.0,5.0,0.0,5.0,0.04406,0.057377,70.0,288.0,0.03422372938205765
17,1752904803,5.0,0.0,5.0,0.0,5.0,0.04406,0.057377,70.0,288.0,0.03352601510486506
18,1752904808,5.0,0.0,5.0,0.0,5.0,0.04406,0.057377,70.0,288.0,0.03577279980037496
19,1752904813,5.0,0.0,5.0,0.0,5.0,0.04406,0.057377,70.0,288.0,0.03552692752724123
20,1752904818,5.0,0.0,5.0,0.0,5.0,0.055326,0.08969,70.0,288.0,0.03698451245426078
21,1752904823,5.0,0.0,5.0,0.0,5.0,0.055326,0.08969,70.0,288.0,0.040671955205695096
22,1752904828,5.0,0.0,5.0,0.0,5.0,0.055326,0.08969,70.0,288.0,0.03982293394697039
23,1752904833,5.0,0.0,5.0,0.0,5.0,0.055326,0.08969,70.0,288.0,0.043199379044610305
24,1752904838,5.0,0.0,5.0,0.0,5.0,0.055326,0.08969,70.0,288.0,0.042532036045010754
25,1752904843,5.0,0.0,5.0,0.0,5.0,0.055326,0.08969,70.0,288.0,0.04721019858717339
26,1752904848,5.0,0.0,5.0,0.0,5.0,0.075387,0.090539,70.0,288.0,0.04784691005396377
27,1752904853,5.0,0.0,5.0,0.0,5.0,0.075387,0.090539,70.0,288.0,0.050189434803496864
28,1752904858,5.0,0.0,5.0,0.0,5.0,0.075387,0.090539,70.0,288.0,0.05187177781920957
29,1752904863,5.0,0.0,5.0,0.0,5.0,0.075387,0.090539,70.0,288.0,0.053320924664645525
30,1752904868,5.0,0.0,5.0,0.0,5.0,0.075387,0.090539,70.0,288.0,0.05140291963075969
31,1752904873,5.0,0.0,5.0,0.0,5.0,0.075387,0.090539,70.0,288.0,0.04976252733624997
32,1752904878,5.0,0.0,5.0,0.0,5.0,0.072707,0.09298,70.0,288.0,0.046395451189667924
33,1752904883,5.0,0.0,5.0,0.0,5.0,0.072707,0.09298,70.0,288.0,0.04276359866501976
34,1752904888,5.0,0.0,5.0,0.0,5.0,0.072707,0.09298,70.0,288.0,0.04233701628960859
35,1752904893,5.0,0.0,5.0,0.0,5.0,0.072707,0.09298,70.0,288.0,0.040747751600453436
36,1752904898,5.0,0.0,5.0,0.0,5.0,0.072707,0.09298,70.0,288.0,0.04066205103389765
37,1752904903,5.0,0.0,5.0,0.0,5.0,0.072707,0.09298,70.0,288.0,0.037937589892537656
38,1752904908,5.0,0.0,5.0,0.0,5.0,0.08455,0.10142,70.0,288.0,0.04054415791427365
39,1752904913,5.0,0.0,5.0,0.0,5.0,0.08455,0.10142,70.0,288.0,0.041595628016495495
40,1752904918,5.0,0.0,5.0,0.0,5.0,0.08455,0.10142,70.0,288.0,0.0415461477397539
41,1752904923,5.0,0.0,5.0,0.0,5.0,0.08455,0.10142,70.0,288.0,0.04359824228918359
42,1752904928,5.0,0.0,5.0,0.0,5.0,0.08455,0.10142,70.0,288.0,0.044553494366107865
43,1752904933,5.0,0.0,5.0,0.0,5.0,0.08455,0.10142,70.0,288.0,0.047019552948260906
44,1752904938,5.0,0.0,5.0,0.0,5.0,0.092076,0.111579,70.0,288.0,0.048129877655338736
45,1752904943,5.0,0.0,5.0,0.0,5.0,0.092076,0.111579,70.0,288.0,0.05026144380493166
46,1752904948,5.0,0.0,5.0,0.0,5.0,0.092076,0.111579,70.0,288.0,0.04931058926352834
47,1752904953,5.0,0.0,5.0,,5.0,0.092076,0.111579,70.0,288.0,0.04773980691834183
48,1752904958,5.0,0.0,5.0,,5.0,0.092076,0.111579,70.0,288.0,0.049513342079411826
49,1752904963,5.0,0.0,5.0,,5.0,0.092076,0.111579,70.0,288.0,0.048015204000927396
50,1752904968,5.0,0.0,5.0,,5.0,0.069863,0.007602,70.0,288.0,0.04321578637785456
51,1752904973,5.0,0.0,5.0,,5.0,0.069863,0.007602,70.0,288.0,0.04395194399655096
52,1752904978,5.0,0.0,5.0,,5.0,0.069863,0.007602,70.0,288.0,0.04238049792853003
53,1752904983,5.0,0.0,5.0,,5.0,0.069863,0.007602,70.0,288.0,0.04035849544334498
54,1752904988,5.0,0.0,5.0,,5.0,0.069863,0.007602,70.0,288.0,0.04004500747931242
55,1752904993,5.0,0.0,5.0,,5.0,0.069863,0.007602,70.0,288.0,0.03788718314440573
