,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752905690,2.0,0.0,0.0,20.995144025360336,2.0,10.042275,76.316943,70.0,-288.0,0.0003654299230673784
1,1752905695,2.0,0.0,0.0,20.995144025360336,2.0,10.042275,76.316943,70.0,-288.0,
2,1752905700,2.0,0.0,0.0,20.995144025360336,2.0,10.042275,76.316943,70.0,-288.0,
3,1752905705,2.0,0.0,0.0,103.86148253614827,2.0,10.042275,76.316943,70.0,-288.0,
4,1752905710,2.0,0.0,0.0,103.86148253614827,2.0,10.042275,76.316943,70.0,-288.0,
5,1752905715,2.0,0.0,0.0,103.86148253614827,2.0,10.042275,76.316943,70.0,-288.0,0.3467197558714637
6,1752905720,2.0,0.0,2.0,103.86148253614827,2.0,59.318128,122.229304,70.0,-134.0,0.7494769839932609
7,1752905725,2.0,0.0,2.0,103.86148253614827,2.0,59.318128,122.229304,70.0,-134.0,0.9130138926690002
8,1752905730,2.0,0.0,2.0,103.86148253614827,2.0,59.318128,122.229304,70.0,-134.0,0.8907850269081425
9,1752905735,2.0,0.0,2.0,59.06560154227066,2.0,59.318128,122.229304,70.0,-134.0,0.7872908916666668
10,1752905740,2.0,0.0,2.0,59.06560154227066,2.0,59.318128,122.229304,70.0,-134.0,0.7872908916666668
11,1752905745,2.0,0.0,2.0,59.06560154227066,2.0,59.318128,122.229304,70.0,-134.0,0.7872908916666668
12,1752905750,3.0,0.0,0.0,59.06560154227066,3.0,95.947679,83.832657,70.0,-295.0,0.7872908916666668
13,1752905755,3.0,0.0,0.0,59.06560154227066,3.0,95.947679,83.832657,70.0,-295.0,0.3818868166666667
14,1752905760,3.0,0.0,0.0,59.06560154227066,3.0,95.947679,83.832657,70.0,-295.0,0.3818868166666667
15,1752905765,3.0,0.0,0.0,338.6486799248037,3.0,95.947679,83.832657,70.0,-295.0,
16,1752905770,3.0,0.0,0.0,338.6486799248037,3.0,95.947679,83.832657,70.0,-295.0,
17,1752905775,3.0,0.0,0.0,338.6486799248037,3.0,95.947679,83.832657,70.0,-295.0,
18,1752905780,5.0,0.0,4.0,338.6486799248037,5.0,130.022434,18.953231,70.0,170.0,0.1370989795733179
19,1752905785,5.0,0.0,4.0,338.6486799248037,5.0,130.022434,18.953231,70.0,170.0,0.3298025436137176
20,1752905790,5.0,0.0,4.0,338.6486799248037,5.0,130.022434,18.953231,70.0,170.0,0.668434851310322
21,1752905795,5.0,0.0,4.0,0.0,5.0,130.022434,18.953231,70.0,170.0,0.9819364832275361
22,1752905800,5.0,0.0,4.0,0.0,5.0,130.022434,18.953231,70.0,170.0,1.5277780020606397
23,1752905805,5.0,0.0,4.0,0.0,5.0,130.022434,18.953231,70.0,170.0,1.800483356070588
24,1752905810,5.0,0.0,5.0,0.0,5.0,88.240309,12.485455,70.0,276.0,2.0883963445081366
25,1752905815,5.0,0.0,5.0,0.0,5.0,88.240309,12.485455,70.0,276.0,2.4721229701867875
26,1752905820,5.0,0.0,5.0,0.0,5.0,88.240309,12.485455,70.0,276.0,2.800993028550909
27,1752905825,5.0,0.0,5.0,0.0,5.0,88.240309,12.485455,70.0,276.0,3.1371810990084477
28,1752905830,5.0,0.0,5.0,0.0,5.0,88.240309,12.485455,70.0,276.0,3.276438315018289
29,1752905835,5.0,0.0,5.0,0.0,5.0,88.240309,12.485455,70.0,276.0,3.7008190458525734
30,1752905840,2.0,3.0,2.0,0.0,2.0,9.302494,10.332506,70.0,278.0,3.7097095389539088
31,1752905845,2.0,3.0,2.0,0.0,2.0,9.302494,10.332506,70.0,278.0,3.3368443155114256
32,1752905850,2.0,3.0,2.0,0.0,2.0,9.302494,10.332506,70.0,278.0,3.2092140545889345
33,1752905855,2.0,3.0,2.0,51.17342402784464,2.0,9.302494,10.332506,70.0,278.0,3.127080035034754
34,1752905860,2.0,3.0,2.0,51.17342402784464,2.0,9.302494,10.332506,70.0,278.0,2.6337361730976907
35,1752905865,2.0,3.0,2.0,51.17342402784464,2.0,9.302494,10.332506,70.0,278.0,1.9950107889967685
36,1752905870,5.0,1.0,3.0,51.17342402784464,5.0,63.916513,83.944562,70.0,5.0,1.8844891193564783
37,1752905875,5.0,1.0,3.0,51.17342402784464,5.0,63.916513,83.944562,70.0,5.0,1.4908144988531489
38,1752905880,5.0,1.0,3.0,51.17342402784464,5.0,63.916513,83.944562,70.0,5.0,1.2385130797441612
39,1752905885,5.0,1.0,3.0,127.4568137556622,5.0,63.916513,83.944562,70.0,5.0,1.0292394339612618
40,1752905890,5.0,1.0,3.0,127.4568137556622,5.0,63.916513,83.944562,70.0,5.0,0.7158498859467411
41,1752905895,5.0,1.0,3.0,127.4568137556622,5.0,63.916513,83.944562,70.0,5.0,0.8265161713452124
42,1752905900,5.0,0.0,4.0,127.4568137556622,5.0,109.452361,51.138731,70.0,137.0,1.191629654742246
43,1752905905,5.0,0.0,4.0,127.4568137556622,5.0,109.452361,51.138731,70.0,137.0,1.7521785812625763
44,1752905910,5.0,0.0,4.0,127.4568137556622,5.0,109.452361,51.138731,70.0,137.0,1.5259626247998317
45,1752905915,5.0,0.0,4.0,0.0,5.0,109.452361,51.138731,70.0,137.0,1.953973125326336
46,1752905920,5.0,0.0,4.0,0.0,5.0,109.452361,51.138731,70.0,137.0,2.467536406405079
47,1752905925,5.0,0.0,4.0,0.0,5.0,109.452361,51.138731,70.0,137.0,2.6962177728391254
48,1752905930,5.0,0.0,5.0,0.0,5.0,64.351667,32.137172,70.0,256.0,3.1510947674925895
49,1752905935,5.0,0.0,5.0,0.0,5.0,64.351667,32.137172,70.0,256.0,3.482175368207226
50,1752905940,5.0,0.0,5.0,0.0,5.0,64.351667,32.137172,70.0,256.0,3.8395936332258707
51,1752905945,5.0,0.0,5.0,0.0,5.0,64.351667,32.137172,70.0,256.0,3.8067176790777926
52,1752905950,5.0,0.0,5.0,0.0,5.0,64.351667,32.137172,70.0,256.0,3.955122895972985
53,1752905955,5.0,0.0,5.0,0.0,5.0,64.351667,32.137172,70.0,256.0,4.116304330052827
