,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total_x,srv-user_container_cpu_usage_seconds_total_y
0,1752905690,5.0,0.0,4.0,,5.0,0.166666,0.333333,70.0,-112.0,0.09640860651043474,0.09640860651043474
1,1752905695,5.0,0.0,4.0,,5.0,0.166666,0.333333,70.0,-112.0,0.2056714765313821,0.2056714765313821
2,1752905700,5.0,0.0,4.0,,5.0,0.166666,0.333333,70.0,-112.0,0.19693349129066767,0.19693349129066767
3,1752905705,5.0,0.0,4.0,0.0,5.0,0.166666,0.333333,70.0,-112.0,0.16829449893515142,0.16829449893515142
4,1752905710,5.0,0.0,4.0,0.0,5.0,0.166666,0.333333,70.0,-112.0,0.1585275333466737,0.1585275333466737
5,1752905715,5.0,0.0,4.0,0.0,5.0,0.166666,0.333333,70.0,-112.0,0.18037685289558567,0.18037685289558567
6,1752905720,5.0,0.0,5.0,0.0,5.0,0.001489,0.000425,70.0,288.0,0.18261267437689702,0.18261267437689702
7,1752905725,5.0,0.0,5.0,0.0,5.0,0.001489,0.000425,70.0,288.0,0.14684800293837497,0.14684800293837497
8,1752905730,5.0,0.0,5.0,0.0,5.0,0.001489,0.000425,70.0,288.0,0.15488813315061925,0.15488813315061925
9,1752905735,5.0,0.0,5.0,0.0,5.0,0.001489,0.000425,70.0,288.0,0.004333597752540772,0.004333597752540772
10,1752905740,5.0,0.0,5.0,0.0,5.0,0.001489,0.000425,70.0,288.0,0.005108699815528812,0.005108699815528812
11,1752905745,5.0,0.0,5.0,0.0,5.0,0.001489,0.000425,70.0,288.0,0.005817871042325961,0.005817871042325961
12,1752905750,5.0,0.0,5.0,0.0,5.0,0.002659,0.000749,70.0,288.0,0.005825851925985912,0.005825851925985912
13,1752905755,5.0,0.0,5.0,0.0,5.0,0.002659,0.000749,70.0,288.0,0.00582896625270569,0.00582896625270569
14,1752905760,5.0,0.0,5.0,0.0,5.0,0.002659,0.000749,70.0,288.0,0.005901409373691042,0.005901409373691042
15,1752905765,5.0,0.0,5.0,0.0,5.0,0.002659,0.000749,70.0,288.0,0.005757851059362796,0.005757851059362796
16,1752905770,5.0,0.0,5.0,0.0,5.0,0.002659,0.000749,70.0,288.0,0.005868695025729979,0.005868695025729979
17,1752905775,5.0,0.0,5.0,0.0,5.0,0.002659,0.000749,70.0,288.0,0.005854413762724024,0.005854413762724024
18,1752905780,5.0,0.0,5.0,0.0,5.0,0.001526,0.003265,70.0,288.0,0.00563146939325626,0.00563146939325626
19,1752905785,5.0,0.0,5.0,0.0,5.0,0.001526,0.003265,70.0,288.0,0.005631909551497447,0.005631909551497447
20,1752905790,5.0,0.0,5.0,0.0,5.0,0.001526,0.003265,70.0,288.0,0.004689532563433664,0.004689532563433664
