,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752906176,10.0,0.0,10.0,0.7183559344268976,10.0,1.120288,4.563946,7.0,-116.0,0.14974505704823785
1,1752906181,10.0,0.0,10.0,0.7183559344268976,10.0,1.120288,4.563946,7.0,-116.0,0.1904430506770723
2,1752906186,10.0,0.0,10.0,189.00002545397683,10.0,1.120288,4.563946,7.0,-116.0,0.20853990892559235
3,1752906191,10.0,0.0,10.0,189.00002545397683,10.0,1.120288,4.563946,7.0,-116.0,0.20981282081673927
4,1752906196,10.0,0.0,10.0,189.00002545397683,10.0,1.120288,4.563946,7.0,-116.0,0.20395713886975173
5,1752906201,10.0,0.0,10.0,189.00002545397683,28.0,42.293681,80.723996,7.0,-192.0,0.20998951594272142
6,1752906206,10.0,0.0,10.0,189.00002545397683,28.0,42.293681,80.723996,7.0,-192.0,0.2189220753695645
7,1752906211,10.0,0.0,10.0,189.00002545397683,28.0,42.293681,80.723996,7.0,-192.0,0.22231322782723778
8,1752906216,10.0,0.0,10.0,77.85966680018721,28.0,42.293681,80.723996,7.0,-192.0,0.2204748797564947
9,1752906221,10.0,0.0,10.0,77.85966680018721,28.0,42.293681,80.723996,7.0,-192.0,0.1805684393726498
10,1752906226,10.0,0.0,10.0,77.85966680018721,28.0,42.293681,80.723996,7.0,-192.0,0.16763808774762962
11,1752906231,10.0,0.0,10.0,77.85966680018721,42.0,103.088289,67.752515,7.0,-179.0,0.18605348775724198
12,1752906236,10.0,0.0,10.0,77.85966680018721,42.0,103.088289,67.752515,7.0,-179.0,0.23753521413257603
13,1752906241,10.0,0.0,10.0,77.85966680018721,42.0,103.088289,67.752515,7.0,-179.0,0.27620096942332295
14,1752906246,10.0,0.0,10.0,73.53077395217436,42.0,103.088289,67.752515,7.0,-179.0,0.29647287045240167
15,1752906251,10.0,0.0,10.0,73.53077395217436,42.0,103.088289,67.752515,7.0,-179.0,0.30639029242052934
16,1752906256,10.0,0.0,10.0,73.53077395217436,42.0,103.088289,67.752515,7.0,-179.0,0.2955937396011945
17,1752906261,10.0,0.0,10.0,73.53077395217436,42.0,106.138294,97.464442,7.0,-209.0,0.29524868448291774
18,1752906266,10.0,0.0,10.0,73.53077395217436,42.0,106.138294,97.464442,7.0,-209.0,0.2992571125218665
19,1752906271,10.0,0.0,10.0,73.53077395217436,42.0,106.138294,97.464442,7.0,-209.0,0.3101727692940228
20,1752906276,10.0,0.0,10.0,339.993095833069,42.0,106.138294,97.464442,7.0,-209.0,0.27861080107021075
21,1752906281,10.0,0.0,10.0,339.993095833069,42.0,106.138294,97.464442,7.0,-209.0,0.23757033854193252
22,1752906286,10.0,0.0,10.0,339.993095833069,42.0,106.138294,97.464442,7.0,-209.0,0.16789878212075457
23,1752906291,10.0,0.0,10.0,339.993095833069,51.0,121.82968,64.466063,7.0,-176.0,0.14246924536501449
24,1752906296,10.0,0.0,10.0,339.993095833069,51.0,121.82968,64.466063,7.0,-176.0,0.13671776875139421
25,1752906301,10.0,0.0,10.0,339.993095833069,51.0,121.82968,64.466063,7.0,-176.0,0.14452115014692554
26,1752906306,10.0,0.0,10.0,200.1147602282247,51.0,121.82968,64.466063,7.0,-176.0,0.14238566642114364
27,1752906311,10.0,0.0,10.0,200.1147602282247,51.0,121.82968,64.466063,7.0,-176.0,0.12900915035589508
28,1752906316,10.0,0.0,10.0,200.1147602282247,51.0,121.82968,64.466063,7.0,-176.0,0.1182446608478943
29,1752906321,10.0,0.0,10.0,200.1147602282247,51.0,137.007966,92.596147,7.0,-204.0,0.1248892591856208
30,1752906326,10.0,0.0,10.0,200.1147602282247,51.0,137.007966,92.596147,7.0,-204.0,0.12681035585132078
31,1752906331,10.0,0.0,10.0,200.1147602282247,51.0,137.007966,92.596147,7.0,-204.0,0.1376122577217297
32,1752906336,10.0,0.0,10.0,58.875503271778584,51.0,137.007966,92.596147,7.0,-204.0,0.1435455847460318
33,1752906341,10.0,0.0,10.0,58.875503271778584,51.0,137.007966,92.596147,7.0,-204.0,0.13717768038361908
34,1752906346,10.0,0.0,10.0,58.875503271778584,51.0,137.007966,92.596147,7.0,-204.0,0.1212155454690699
35,1752906351,10.0,0.0,10.0,58.875503271778584,51.0,120.816744,135.951277,7.0,-247.0,0.11472340019020802
36,1752906356,10.0,0.0,10.0,58.875503271778584,51.0,120.816744,135.951277,7.0,-247.0,0.11320578639917796
37,1752906361,10.0,0.0,10.0,58.875503271778584,51.0,120.816744,135.951277,7.0,-247.0,0.11753051119829683
38,1752906366,10.0,0.0,10.0,318.77494933500003,51.0,120.816744,135.951277,7.0,-247.0,0.11121682728668543
39,1752906371,10.0,0.0,10.0,318.77494933500003,51.0,120.816744,135.951277,7.0,-247.0,0.1104762759007162
40,1752906376,10.0,0.0,10.0,318.77494933500003,51.0,120.816744,135.951277,7.0,-247.0,0.10743168205425169
41,1752906381,10.0,0.0,10.0,318.77494933500003,71.0,175.895498,89.595302,7.0,-201.0,0.12226804298181852
42,1752906386,10.0,0.0,10.0,318.77494933500003,71.0,175.895498,89.595302,7.0,-201.0,0.1553595350562004
