,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752894373,1.0,0.0,1.0,0.017148862512363996,0.0,0.0,0.0,70.0,-111.0,0.14881867168207089
1,1752894378,5.0,0.0,5.0,0.017148862512363996,5.0,0.175148,0.002806,70.0,288.0,0.13414891184816868
2,1752894383,5.0,0.0,5.0,0.017148862512363996,5.0,0.175148,0.002806,70.0,288.0,0.12572320653966987
3,1752894388,5.0,0.0,5.0,0.017148862512363996,5.0,0.175148,0.002806,70.0,288.0,0.1352326329019185
4,1752894393,5.0,0.0,5.0,0.0,5.0,0.175148,0.002806,70.0,288.0,0.13359255437760573
5,1752894398,5.0,0.0,5.0,0.0,5.0,0.175148,0.002806,70.0,288.0,0.11219741666138737
6,1752894403,5.0,0.0,5.0,0.0,5.0,0.175148,0.002806,70.0,288.0,0.11674345810511601
7,1752894408,5.0,0.0,5.0,0.0,5.0,0.001984,0.001825,70.0,288.0,0.11072512240331833
8,1752894413,5.0,0.0,5.0,0.0,5.0,0.001984,0.001825,70.0,288.0,0.004104301979760499
9,1752894418,5.0,0.0,5.0,0.0,5.0,0.001984,0.001825,70.0,288.0,0.004182328294011729
10,1752894423,5.0,0.0,5.0,0.0,5.0,0.001984,0.001825,70.0,288.0,0.004006167402381434
11,1752894428,5.0,0.0,5.0,0.0,5.0,0.001984,0.001825,70.0,288.0,0.003895139892439098
12,1752894433,5.0,0.0,5.0,0.0,5.0,0.001984,0.001825,70.0,288.0,0.0038122437745504644
13,1752894438,5.0,0.0,5.0,0.0,5.0,0.003464,0.00084,70.0,288.0,0.003387873836308088
14,1752894443,5.0,0.0,5.0,0.0,5.0,0.003464,0.00084,70.0,288.0,0.0035088466659847772
15,1752894448,5.0,0.0,5.0,0.0,5.0,0.003464,0.00084,70.0,288.0,0.0034929932683253947
16,1752894453,5.0,0.0,5.0,0.0,5.0,0.003464,0.00084,70.0,288.0,0.0034661074171071574
17,1752894458,5.0,0.0,5.0,0.0,5.0,0.003464,0.00084,70.0,288.0,0.0036854965878920496
18,1752894463,5.0,0.0,5.0,0.0,5.0,0.003464,0.00084,70.0,288.0,0.003285205977680274
19,1752894468,5.0,0.0,5.0,0.0,5.0,0.002948,0.002538,70.0,288.0,0.004237217333521191
