,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752243824,0.0,0.0,0.0,15.863023985987894,0.0,-1e-06,0.0,70.0,-211.0,0.021823425946933133
1,1752243829,5.0,0.0,5.0,15.863023985987894,5.0,3.265698,0.03032,70.0,288.0,0.02245399450584697
2,1752243834,5.0,0.0,5.0,15.863023985987894,5.0,3.265698,0.03032,70.0,288.0,0.02361868806255432
3,1752243839,5.0,0.0,5.0,0.0,5.0,3.265698,0.03032,70.0,288.0,0.02613243512915566
4,1752243844,5.0,0.0,5.0,0.0,5.0,3.265698,0.03032,70.0,288.0,0.027846880567951135
5,1752243849,5.0,0.0,5.0,0.0,5.0,3.265698,0.03032,70.0,288.0,0.02936177469329653
6,1752243854,5.0,0.0,5.0,0.0,5.0,3.265698,0.03032,70.0,288.0,0.03435148086782816
7,1752243859,5.0,0.0,5.0,0.0,5.0,1.529045,0.287068,70.0,288.0,0.0382867072072901
8,1752243864,5.0,0.0,5.0,0.0,5.0,1.529045,0.287068,70.0,288.0,0.034151484644190176
9,1752243869,5.0,0.0,5.0,0.0,5.0,1.529045,0.287068,70.0,288.0,0.03846932807277475
10,1752243874,5.0,0.0,5.0,0.0,5.0,1.529045,0.287068,70.0,288.0,0.03933095198421223
11,1752243879,5.0,0.0,5.0,0.0,5.0,1.529045,0.287068,70.0,288.0,0.04239370415923573
12,1752243884,5.0,0.0,5.0,0.0,5.0,1.529045,0.287068,70.0,288.0,0.043513512660264
13,1752243889,5.0,0.0,5.0,0.0,5.0,0.162816,0.093605,70.0,288.0,0.04389377901205378
14,1752243894,5.0,0.0,5.0,0.0,5.0,0.162816,0.093605,70.0,288.0,0.042415729927072494
15,1752243899,5.0,0.0,5.0,0.0,5.0,0.162816,0.093605,70.0,288.0,0.04193124136778576
16,1752243904,5.0,0.0,5.0,0.0,5.0,0.162816,0.093605,70.0,288.0,0.039631929938554376
17,1752243909,5.0,0.0,5.0,0.0,5.0,0.162816,0.093605,70.0,288.0,0.037852624487219745
18,1752243914,5.0,0.0,5.0,0.0,5.0,0.162816,0.093605,70.0,288.0,0.035006517319975304
19,1752243919,5.0,0.0,5.0,0.0,5.0,0.124321,0.072518,70.0,288.0,0.03357052338687845
20,1752243924,5.0,0.0,5.0,0.0,5.0,0.124321,0.072518,70.0,288.0,0.032019620064658735
21,1752243929,5.0,0.0,5.0,0.0,5.0,0.124321,0.072518,70.0,288.0,0.03067352630086504
22,1752243934,5.0,0.0,5.0,0.0,5.0,0.124321,0.072518,70.0,288.0,0.029149262074503968
23,1752243939,5.0,0.0,5.0,0.0,5.0,0.124321,0.072518,70.0,288.0,0.02999748105147816
24,1752243944,5.0,0.0,5.0,0.0,5.0,0.124321,0.072518,70.0,288.0,0.029126706788083552
25,1752243949,5.0,0.0,5.0,0.0,5.0,0.074746,0.091781,70.0,288.0,0.02947671803469529
26,1752243954,5.0,0.0,5.0,0.0,5.0,0.074746,0.091781,70.0,288.0,0.031165289873874825
27,1752243959,5.0,0.0,5.0,0.0,5.0,0.074746,0.091781,70.0,288.0,0.030185524228551388
28,1752243964,5.0,0.0,5.0,0.0,5.0,0.074746,0.091781,70.0,288.0,0.0319683450726611
29,1752243969,5.0,0.0,5.0,0.0,5.0,0.074746,0.091781,70.0,288.0,0.031214266873347687
30,1752243974,5.0,0.0,5.0,0.0,5.0,0.074746,0.091781,70.0,288.0,0.03286209271447954
31,1752243979,5.0,0.0,5.0,0.0,5.0,0.084625,0.120278,70.0,288.0,0.03227491964667043
32,1752243984,5.0,0.0,5.0,0.0,5.0,0.084625,0.120278,70.0,288.0,0.032553720136813444
33,1752243989,5.0,0.0,5.0,0.0,5.0,0.084625,0.120278,70.0,288.0,0.033698382085229545
34,1752243994,5.0,0.0,5.0,0.0,5.0,0.084625,0.120278,70.0,288.0,0.03327947071720856
35,1752243999,5.0,0.0,5.0,0.0,5.0,0.084625,0.120278,70.0,288.0,0.035275653740195166
36,1752244004,5.0,0.0,5.0,0.0,5.0,0.084625,0.120278,70.0,288.0,0.0361878247341829
37,1752244009,5.0,0.0,5.0,0.0,5.0,0.113584,0.132794,70.0,288.0,0.03692727105508941
38,1752244014,5.0,0.0,5.0,0.0,5.0,0.113584,0.132794,70.0,288.0,0.03573966903271964
39,1752244019,5.0,0.0,5.0,0.0,5.0,0.113584,0.132794,70.0,288.0,0.035683304490609656
40,1752244024,5.0,0.0,5.0,0.0,5.0,0.113584,0.132794,70.0,288.0,0.03846085345635866
41,1752244029,5.0,0.0,5.0,0.0,5.0,0.113584,0.132794,70.0,288.0,0.03846085345635866
42,1752244034,5.0,0.0,5.0,0.0,5.0,0.113584,0.132794,70.0,288.0,0.038259044482653846
43,1752244039,5.0,0.0,5.0,0.0,5.0,0.130532,0.1159,70.0,288.0,0.038759454599960455
44,1752244044,5.0,0.0,5.0,0.0,5.0,0.130532,0.1159,70.0,288.0,0.03822561809321647
45,1752244049,5.0,0.0,5.0,0.0,5.0,0.130532,0.1159,70.0,288.0,0.03781035850604865
46,1752244054,5.0,0.0,5.0,0.0,5.0,0.130532,0.1159,70.0,288.0,0.03659200620616457
47,1752244059,5.0,0.0,5.0,0.0,5.0,0.130532,0.1159,70.0,288.0,0.03524232194418054
48,1752244064,5.0,0.0,5.0,0.0,5.0,0.130532,0.1159,70.0,288.0,0.03568267979134688
49,1752244069,5.0,0.0,5.0,0.0,5.0,0.115384,0.11457,70.0,288.0,0.03573415722090576
50,1752244074,5.0,0.0,5.0,0.0,5.0,0.115384,0.11457,70.0,288.0,0.0348236638416585
51,1752244079,5.0,0.0,5.0,0.0,5.0,0.115384,0.11457,70.0,288.0,0.031834476458352495
52,1752244084,5.0,0.0,5.0,0.0,5.0,0.115384,0.11457,70.0,288.0,0.03495700964212976
53,1752244089,5.0,0.0,5.0,0.0,5.0,0.115384,0.11457,70.0,288.0,0.03528792321623676
54,1752244094,5.0,0.0,5.0,0.0,5.0,0.115384,0.11457,70.0,288.0,0.03587589562719536
55,1752244099,5.0,0.0,5.0,0.0,5.0,0.118592,0.102609,70.0,288.0,0.03232256807564377
56,1752244104,5.0,0.0,5.0,0.0,5.0,0.118592,0.102609,70.0,288.0,0.03667332323534986
57,1752244109,5.0,0.0,5.0,0.0,5.0,0.118592,0.102609,70.0,288.0,0.03683402288299552
