,index,srv-reservation_autoscaler_requested_pods,srv-reservation_autoscaler_terminating_pods,srv-reservation_autoscaler_actual_pods,srv-reservation_activator_request_concurrency,srv-reservation_autoscaler_desired_pods,srv-reservation_autoscaler_stable_request_concurrency,srv-reservation_autoscaler_panic_request_concurrency,srv-reservation_autoscaler_target_concurrency_per_pod,srv-reservation_autoscaler_excess_burst_capacity,srv-reservation_container_cpu_usage_seconds_total
0,1752243824,0.0,0.0,0.0,,0.0,-1e-06,0.0,70.0,-211.0,0.013142848400566884
1,1752243829,5.0,0.0,5.0,,5.0,0.477348,0.121031,70.0,288.0,0.02018279921329783
2,1752243834,5.0,0.0,5.0,,5.0,0.477348,0.121031,70.0,288.0,0.03627681083379207
3,1752243839,5.0,0.0,5.0,0.0,5.0,0.477348,0.121031,70.0,288.0,0.04309903935216254
4,1752243844,5.0,0.0,5.0,0.0,5.0,0.477348,0.121031,70.0,288.0,0.04941860553098083
5,1752243849,5.0,0.0,5.0,0.0,5.0,0.477348,0.121031,70.0,288.0,0.062080281670600285
6,1752243854,5.0,0.0,5.0,0.0,5.0,0.477348,0.121031,70.0,288.0,0.10085451469069369
7,1752243859,5.0,0.0,5.0,0.0,5.0,0.745905,1.770604,70.0,287.0,0.12645636967073795
8,1752243864,5.0,0.0,5.0,0.0,5.0,0.745905,1.770604,70.0,287.0,0.14832564528792064
9,1752243869,5.0,0.0,5.0,0.0,5.0,0.745905,1.770604,70.0,287.0,0.17508344556486025
10,1752243874,5.0,0.0,5.0,0.0,5.0,0.745905,1.770604,70.0,287.0,0.20165812443538306
11,1752243879,5.0,0.0,5.0,0.0,5.0,0.745905,1.770604,70.0,287.0,0.2229989674834798
12,1752243884,5.0,0.0,5.0,0.0,5.0,0.745905,1.770604,70.0,287.0,0.2535717960418589
13,1752243889,5.0,0.0,5.0,0.0,5.0,1.056302,1.00016,70.0,287.0,0.2670737722996612
14,1752243894,5.0,0.0,5.0,0.0,5.0,1.056302,1.00016,70.0,287.0,0.25611869536290915
15,1752243899,5.0,0.0,5.0,0.0,5.0,1.056302,1.00016,70.0,287.0,0.2596839965734295
16,1752243904,5.0,0.0,5.0,0.0,5.0,1.056302,1.00016,70.0,287.0,0.24931135606510546
17,1752243909,5.0,0.0,5.0,0.0,5.0,1.056302,1.00016,70.0,287.0,0.24697145030851966
18,1752243914,5.0,0.0,5.0,0.0,5.0,1.056302,1.00016,70.0,287.0,0.2285646724805515
19,1752243919,5.0,0.0,5.0,0.0,5.0,0.856295,0.612693,70.0,288.0,0.22552892331176094
20,1752243924,5.0,0.0,5.0,0.0,5.0,0.856295,0.612693,70.0,288.0,0.21833411631468205
21,1752243929,5.0,0.0,5.0,0.0,5.0,0.856295,0.612693,70.0,288.0,0.20600110250520776
22,1752243934,5.0,0.0,5.0,0.0,5.0,0.856295,0.612693,70.0,288.0,0.19387549713515567
23,1752243939,5.0,0.0,5.0,0.0,5.0,0.856295,0.612693,70.0,288.0,0.1819501569115806
24,1752243944,5.0,0.0,5.0,0.0,5.0,0.856295,0.612693,70.0,288.0,0.19194854432797828
25,1752243949,5.0,0.0,5.0,0.0,5.0,0.57088,0.660294,70.0,288.0,0.1927784066165236
26,1752243954,5.0,0.0,5.0,0.0,5.0,0.57088,0.660294,70.0,288.0,0.19533002181319664
27,1752243959,5.0,0.0,5.0,0.0,5.0,0.57088,0.660294,70.0,288.0,0.19151539046786323
28,1752243964,5.0,0.0,5.0,0.0,5.0,0.57088,0.660294,70.0,288.0,0.19759832187588727
29,1752243969,5.0,0.0,5.0,0.0,5.0,0.57088,0.660294,70.0,288.0,0.19398511902222373
30,1752243974,5.0,0.0,5.0,0.0,5.0,0.57088,0.660294,70.0,288.0,0.2007618531867835
31,1752243979,5.0,0.0,5.0,0.0,5.0,0.665821,1.022584,70.0,287.0,0.20420047311678785
32,1752243984,5.0,0.0,5.0,0.0,5.0,0.665821,1.022584,70.0,287.0,0.21170965800943223
33,1752243989,5.0,0.0,5.0,0.0,5.0,0.665821,1.022584,70.0,287.0,0.20916697246270904
34,1752243994,5.0,0.0,5.0,0.0,5.0,0.665821,1.022584,70.0,287.0,0.21960058902629337
35,1752243999,5.0,0.0,5.0,0.0,5.0,0.665821,1.022584,70.0,287.0,0.23116921471590016
36,1752244004,5.0,0.0,5.0,0.0,5.0,0.665821,1.022584,70.0,287.0,0.2339715645455639
37,1752244009,5.0,0.0,5.0,0.0,5.0,0.874189,0.962565,70.0,288.0,0.23775004238505035
38,1752244014,5.0,0.0,5.0,0.0,5.0,0.874189,0.962565,70.0,288.0,0.2488872186866601
39,1752244019,5.0,0.0,5.0,0.0,5.0,0.874189,0.962565,70.0,288.0,0.25459788287953183
40,1752244024,5.0,0.0,5.0,0.0,5.0,0.874189,0.962565,70.0,288.0,0.25509131090387377
41,1752244029,5.0,0.0,5.0,0.0,5.0,0.874189,0.962565,70.0,288.0,0.2628087674187656
42,1752244034,5.0,0.0,5.0,0.0,5.0,0.874189,0.962565,70.0,288.0,0.2620500716620876
43,1752244039,5.0,0.0,5.0,0.0,5.0,1.069423,1.24207,70.0,287.0,0.26162283945014647
44,1752244044,5.0,0.0,5.0,0.0,5.0,1.069423,1.24207,70.0,287.0,0.25547002720866757
45,1752244049,5.0,0.0,5.0,0.0,5.0,1.069423,1.24207,70.0,287.0,0.25425645176826017
46,1752244054,5.0,0.0,5.0,0.0,5.0,1.069423,1.24207,70.0,287.0,0.22020147354562672
47,1752244059,5.0,0.0,5.0,0.0,5.0,1.069423,1.24207,70.0,287.0,0.24070061250224745
48,1752244064,5.0,0.0,5.0,0.0,5.0,1.069423,1.24207,70.0,287.0,0.23903129137713253
49,1752244069,5.0,0.0,5.0,0.0,5.0,0.91979,0.668506,70.0,288.0,0.22465953099714955
50,1752244074,5.0,0.0,5.0,0.0,5.0,0.91979,0.668506,70.0,288.0,0.23275674963507914
