,index,srv-search_autoscaler_requested_pods,srv-search_autoscaler_terminating_pods,srv-search_autoscaler_actual_pods,srv-search_activator_request_concurrency,srv-search_autoscaler_desired_pods,srv-search_autoscaler_stable_request_concurrency,srv-search_autoscaler_panic_request_concurrency,srv-search_autoscaler_target_concurrency_per_pod,srv-search_autoscaler_excess_burst_capacity,srv-search_container_cpu_usage_seconds_total
0,1752246871,5.0,0.0,1.0,0.0,5.0,19.276584,23.913086,70.0,-135.0,0.037184836269059995
1,1752246876,5.0,0.0,1.0,0.0,5.0,19.276584,23.913086,70.0,-135.0,0.09549366301496559
2,1752246881,5.0,0.0,1.0,0.0,5.0,19.276584,23.913086,70.0,-135.0,0.1458746065845637
3,1752246886,5.0,0.0,5.0,0.0,5.0,7.752964,5.856847,70.0,283.0,0.20551347111282628
4,1752246891,5.0,0.0,5.0,0.0,5.0,7.752964,5.856847,70.0,283.0,0.2933092195097723
5,1752246896,5.0,0.0,5.0,0.0,5.0,7.752964,5.856847,70.0,283.0,0.3541001495089958
6,1752246901,5.0,0.0,5.0,0.0,5.0,7.752964,5.856847,70.0,283.0,0.3814120858091286
7,1752246906,5.0,0.0,5.0,0.0,5.0,7.752964,5.856847,70.0,283.0,0.5205111328198272
8,1752246911,5.0,0.0,5.0,0.0,5.0,7.752964,5.856847,70.0,283.0,0.6489451599005764
9,1752246916,5.0,0.0,5.0,0.0,5.0,6.853639,8.831884,70.0,280.0,0.7277082639386123
10,1752246921,5.0,0.0,5.0,0.0,5.0,6.853639,8.831884,70.0,280.0,0.7854165469585223
11,1752246926,5.0,0.0,5.0,0.0,5.0,6.853639,8.831884,70.0,280.0,0.8922764870176547
12,1752246931,5.0,0.0,5.0,0.0,5.0,6.853639,8.831884,70.0,280.0,0.9037822194325144
13,1752246936,5.0,0.0,5.0,0.0,5.0,6.853639,8.831884,70.0,280.0,0.9868506491362633
14,1752246941,5.0,0.0,5.0,0.0,5.0,6.853639,8.831884,70.0,280.0,0.9806167555487544
15,1752246946,5.0,0.0,5.0,0.0,5.0,8.989217,5.282436,70.0,283.0,0.895688785529236
16,1752246951,5.0,0.0,5.0,0.0,5.0,8.989217,5.282436,70.0,283.0,0.8907558744895094
17,1752246956,5.0,0.0,5.0,0.0,5.0,8.989217,5.282436,70.0,283.0,0.910087420534326
18,1752246961,5.0,0.0,5.0,0.0,5.0,8.989217,5.282436,70.0,283.0,0.871087529515868
19,1752246966,5.0,0.0,5.0,0.0,5.0,8.989217,5.282436,70.0,283.0,0.8126422447378108
20,1752246971,5.0,0.0,5.0,0.0,5.0,8.989217,5.282436,70.0,283.0,0.8317292201246443
21,1752246976,5.0,0.0,5.0,0.0,5.0,6.907528,6.765253,70.0,282.0,0.7836298243015026
22,1752246981,5.0,0.0,5.0,0.0,5.0,6.907528,6.765253,70.0,282.0,0.7589601548899136
23,1752246986,5.0,0.0,5.0,0.0,5.0,6.907528,6.765253,70.0,282.0,0.796208249593171
24,1752246991,5.0,0.0,5.0,0.0,5.0,6.907528,6.765253,70.0,282.0,0.8083563937772018
25,1752246996,5.0,0.0,5.0,0.0,5.0,6.907528,6.765253,70.0,282.0,0.817285792178611
26,1752247001,5.0,0.0,5.0,0.0,5.0,6.907528,6.765253,70.0,282.0,0.8547911825855836
27,1752247006,5.0,0.0,5.0,0.0,5.0,7.073704,10.187702,70.0,278.0,0.8764653598009695
28,1752247011,5.0,0.0,5.0,0.0,5.0,7.073704,10.187702,70.0,278.0,0.8891322651059013
29,1752247016,5.0,0.0,5.0,0.0,5.0,7.073704,10.187702,70.0,278.0,0.9142461665463073
30,1752247021,5.0,0.0,5.0,0.0,5.0,7.073704,10.187702,70.0,278.0,0.9055225337114715
31,1752247026,5.0,0.0,5.0,0.0,5.0,7.073704,10.187702,70.0,278.0,0.945756379259058
32,1752247031,5.0,0.0,5.0,0.0,5.0,7.073704,10.187702,70.0,278.0,0.9048488356823501
33,1752247036,5.0,0.0,5.0,0.0,5.0,8.464827,9.61522,70.0,279.0,0.9219902232717203
34,1752247041,5.0,0.0,5.0,0.0,5.0,8.464827,9.61522,70.0,279.0,0.9468048390589178
35,1752247046,5.0,0.0,5.0,0.0,5.0,8.464827,9.61522,70.0,279.0,0.9168531454499075
36,1752247051,5.0,0.0,5.0,0.0,5.0,8.464827,9.61522,70.0,279.0,0.9160502034960506
37,1752247056,5.0,0.0,5.0,0.0,5.0,8.464827,9.61522,70.0,279.0,0.9859537813903538
38,1752247061,5.0,0.0,5.0,0.0,5.0,8.464827,9.61522,70.0,279.0,0.9297551757264787
39,1752247066,5.0,0.0,5.0,0.0,5.0,11.818517,13.571189,70.0,275.0,1.0376892208819637
40,1752247071,5.0,0.0,5.0,0.0,5.0,11.818517,13.571189,70.0,275.0,1.0490791360220817
41,1752247076,5.0,0.0,5.0,0.0,5.0,11.818517,13.571189,70.0,275.0,1.0952003035078781
42,1752247081,5.0,0.0,5.0,0.0,5.0,11.818517,13.571189,70.0,275.0,1.0526761174264734
43,1752247086,5.0,0.0,5.0,0.0,5.0,11.818517,13.571189,70.0,275.0,1.1689798982397905
44,1752247091,5.0,0.0,5.0,0.0,5.0,11.818517,13.571189,70.0,275.0,1.1818410915274113
45,1752247096,5.0,0.0,5.0,0.0,5.0,23.836264,53.94172,70.0,235.0,1.2125972534198624
46,1752247101,5.0,0.0,5.0,0.0,5.0,23.836264,53.94172,70.0,235.0,1.1575551024547681
47,1752247106,5.0,0.0,5.0,0.0,5.0,23.836264,53.94172,70.0,235.0,1.2530840771495062
