,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752236531,0.0,0.0,0.0,0.008620178198679402,0.0,-1e-06,0.0,70.0,-211.0,0.020385337629479815
1,1752236536,5.0,0.0,5.0,0.008620178198679402,5.0,1.451953,0.042006,70.0,288.0,0.022923589786217682
2,1752236541,5.0,0.0,5.0,0.008620178198679402,5.0,1.451953,0.042006,70.0,288.0,0.02463905024819744
3,1752236546,5.0,0.0,5.0,0.0,5.0,1.451953,0.042006,70.0,288.0,0.02491508355088344
4,1752236551,5.0,0.0,5.0,0.0,5.0,1.451953,0.042006,70.0,288.0,0.025990620281374
5,1752236556,5.0,0.0,5.0,0.0,5.0,1.451953,0.042006,70.0,288.0,0.028295881337964124
6,1752236561,5.0,0.0,5.0,0.0,5.0,1.451953,0.042006,70.0,288.0,0.029976603324490442
7,1752236566,5.0,0.0,5.0,0.0,5.0,0.743666,0.092005,70.0,288.0,0.033153436717832954
8,1752236571,5.0,0.0,5.0,0.0,5.0,0.743666,0.092005,70.0,288.0,0.026849015902861543
9,1752236576,5.0,0.0,5.0,0.0,5.0,0.743666,0.092005,70.0,288.0,0.026123208471366573
10,1752236581,5.0,0.0,5.0,0.0,5.0,0.743666,0.092005,70.0,288.0,0.028068928790070523
11,1752236586,5.0,0.0,5.0,0.0,5.0,0.743666,0.092005,70.0,288.0,0.027167295560855988
12,1752236591,5.0,0.0,5.0,0.0,5.0,0.743666,0.092005,70.0,288.0,0.03403131203897887
13,1752236596,5.0,0.0,5.0,0.0,5.0,0.094477,0.080942,70.0,288.0,0.034063977090072216
14,1752236601,5.0,0.0,5.0,0.0,5.0,0.094477,0.080942,70.0,288.0,0.034077578339820794
