,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752256987,5.0,0.0,1.0,0.0056056943254096095,5.0,0.016949,0.2,70.0,-112.0,0.002181813704971314
1,1752256992,5.0,0.0,1.0,0.0056056943254096095,5.0,0.016949,0.2,70.0,-112.0,0.005242743466859572
2,1752256997,5.0,0.0,1.0,0.0056056943254096095,5.0,0.046224,0.208078,70.0,-112.0,0.005242743466859572
3,1752257002,5.0,0.0,1.0,0.0056056943254096095,5.0,0.046224,0.208078,70.0,-112.0,0.004804553880591794
4,1752257007,5.0,0.0,1.0,0.0,5.0,0.046224,0.208078,70.0,-112.0,0.006092896049800887
5,1752257012,5.0,0.0,1.0,0.0,5.0,0.046224,0.208078,70.0,-112.0,0.006092896049800887
6,1752257017,5.0,0.0,1.0,0.0,5.0,0.046224,0.208078,70.0,-112.0,0.004256028680489504
7,1752257022,5.0,0.0,1.0,0.0,5.0,0.046224,0.208078,70.0,-112.0,0.004946394166280517
8,1752257027,5.0,0.0,1.0,0.0,5.0,0.079449,0.2,70.0,-112.0,0.004946394166280517
9,1752257032,5.0,0.0,1.0,0.0,5.0,0.079449,0.2,70.0,-112.0,0.0038712650335593333
10,1752257037,5.0,0.0,1.0,0.003368934079707574,5.0,0.079449,0.2,70.0,-112.0,0.0017443752991862117
11,1752257042,5.0,0.0,1.0,0.003368934079707574,5.0,0.079449,0.2,70.0,-112.0,0.0017443752991862117
12,1752257047,5.0,0.0,1.0,0.003368934079707574,5.0,0.079449,0.2,70.0,-112.0,0.0014891586564544424
13,1752257052,5.0,0.0,1.0,0.003368934079707574,5.0,0.079449,0.2,70.0,-112.0,0.001712728030855832
14,1752257057,5.0,0.0,1.0,0.003368934079707574,5.0,0.05356,0.004497,70.0,-112.0,0.001712728030855832
15,1752257062,5.0,0.0,1.0,0.003368934079707574,5.0,0.05356,0.004497,70.0,-112.0,0.0020977231513197654
16,1752257067,5.0,0.0,1.0,0.006964504476119522,5.0,0.05356,0.004497,70.0,-112.0,0.0023474133743523317
17,1752257072,5.0,0.0,1.0,0.006964504476119522,5.0,0.05356,0.004497,70.0,-112.0,0.0023474133743523317
18,1752257077,5.0,0.0,1.0,0.006964504476119522,5.0,0.05356,0.004497,70.0,-112.0,0.0027587951579345583
19,1752257082,5.0,0.0,1.0,0.006964504476119522,5.0,0.05356,0.004497,70.0,-112.0,0.0027587951579345583
20,1752257087,5.0,0.0,1.0,0.006964504476119522,5.0,0.037933,0.0,70.0,-111.0,0.002287570803757081
21,1752257092,5.0,0.0,1.0,0.006964504476119522,5.0,0.037933,0.0,70.0,-111.0,0.0017201073074209815
22,1752257097,5.0,0.0,1.0,0.0,5.0,0.037933,0.0,70.0,-111.0,0.002043462550973004
23,1752257102,5.0,0.0,1.0,0.0,5.0,0.037933,0.0,70.0,-111.0,0.0017815231443070224
24,1752257107,5.0,0.0,1.0,0.0,5.0,0.037933,0.0,70.0,-111.0,0.0017815231443070224
25,1752257112,5.0,0.0,1.0,0.0,5.0,0.037933,0.0,70.0,-111.0,0.0013247308934338003
26,1752257117,5.0,0.0,1.0,0.0,5.0,0.120314,0.199999,70.0,-112.0,0.0010812527148367425
27,1752257122,5.0,0.0,1.0,0.0,5.0,0.120314,0.199999,70.0,-112.0,0.0013754576419373048
28,1752257127,5.0,0.0,1.0,0.001984154327261436,5.0,0.120314,0.199999,70.0,-112.0,0.001136773931488919
29,1752257132,5.0,0.0,1.0,0.001984154327261436,5.0,0.120314,0.199999,70.0,-112.0,0.001136773931488919
30,1752257137,5.0,0.0,1.0,0.001984154327261436,5.0,0.120314,0.199999,70.0,-112.0,0.002076013857754229
31,1752257142,5.0,0.0,1.0,0.001984154327261436,5.0,0.120314,0.199999,70.0,-112.0,0.002076013857754229
