,index,srv-rate_autoscaler_requested_pods,srv-rate_autoscaler_terminating_pods,srv-rate_autoscaler_actual_pods,srv-rate_activator_request_concurrency,srv-rate_autoscaler_desired_pods,srv-rate_autoscaler_stable_request_concurrency,srv-rate_autoscaler_panic_request_concurrency,srv-rate_autoscaler_target_concurrency_per_pod,srv-rate_autoscaler_excess_burst_capacity,srv-rate_container_cpu_usage_seconds_total
0,1752331911,4.0,1.0,3.0,,4.0,24.27853,106.993074,35.0,-168.0,0.2006263033340138
1,1752331916,4.0,1.0,3.0,4.818662975108704,4.0,24.27853,106.993074,35.0,-168.0,0.2523616148601873
2,1752331921,4.0,1.0,3.0,4.818662975108704,4.0,24.27853,106.993074,35.0,-168.0,0.6753720344752093
3,1752331926,4.0,1.0,3.0,4.818662975108704,4.0,24.27853,106.993074,35.0,-168.0,1.0605502674245366
4,1752331931,4.0,1.0,3.0,4.818662975108704,4.0,24.27853,106.993074,35.0,-168.0,1.2996596526399025
5,1752331936,4.0,0.0,4.0,4.818662975108704,4.0,31.431959,5.137085,35.0,-17.0,1.5216126680002988
6,1752331941,4.0,0.0,4.0,4.818662975108704,4.0,31.431959,5.137085,35.0,-17.0,1.7556771018263315
7,1752331946,4.0,0.0,4.0,7.171991854759356,4.0,31.431959,5.137085,35.0,-17.0,2.0170134371334094
8,1752331951,4.0,0.0,4.0,7.171991854759356,4.0,31.431959,5.137085,35.0,-17.0,2.3245991370850305
9,1752331956,4.0,0.0,4.0,7.171991854759356,4.0,31.431959,5.137085,35.0,-17.0,2.5984171835870447
10,1752331961,4.0,0.0,4.0,7.171991854759356,4.0,31.431959,5.137085,35.0,-17.0,2.6763389870067824
11,1752331966,1.0,3.0,1.0,7.171991854759356,1.0,11.782478,7.394726,35.0,-19.0,3.0006459202498856
12,1752331971,1.0,3.0,1.0,7.171991854759356,1.0,11.782478,7.394726,35.0,-19.0,3.0011761008904476
13,1752331976,1.0,3.0,1.0,173.28719399575883,1.0,11.782478,7.394726,35.0,-19.0,2.838416816144918
14,1752331981,1.0,3.0,1.0,173.28719399575883,1.0,11.782478,7.394726,35.0,-19.0,2.533566157098969
15,1752331986,1.0,3.0,1.0,173.28719399575883,1.0,11.782478,7.394726,35.0,-19.0,2.3290861053754126
16,1752331991,1.0,3.0,1.0,173.28719399575883,1.0,11.782478,7.394726,35.0,-19.0,1.8254463572932953
17,1752331996,5.0,3.0,4.0,173.28719399575883,5.0,48.820351,45.404263,35.0,-57.0,1.7678208919455085
18,1752332001,5.0,3.0,4.0,173.28719399575883,5.0,48.820351,45.404263,35.0,-57.0,1.5113809343390159
19,1752332006,5.0,3.0,4.0,2.633568855509007,5.0,48.820351,45.404263,35.0,-57.0,1.7834000238491319
20,1752332011,5.0,3.0,4.0,2.633568855509007,5.0,48.820351,45.404263,35.0,-57.0,1.336789539014006
21,1752332016,5.0,3.0,4.0,2.633568855509007,5.0,48.820351,45.404263,35.0,-57.0,1.4443745792416065
22,1752332021,5.0,3.0,4.0,2.633568855509007,5.0,48.820351,45.404263,35.0,-57.0,1.6793424464518172
23,1752332026,5.0,0.0,5.0,2.633568855509007,5.0,48.646064,7.003224,35.0,31.0,1.736710481139075
24,1752332031,5.0,0.0,5.0,2.633568855509007,5.0,48.646064,7.003224,35.0,31.0,1.9553190502032187
25,1752332036,5.0,0.0,5.0,0.0,5.0,48.646064,7.003224,35.0,31.0,1.890176202709076
26,1752332041,5.0,0.0,5.0,0.0,5.0,48.646064,7.003224,35.0,31.0,1.8972920473998762
27,1752332046,5.0,0.0,5.0,0.0,5.0,48.646064,7.003224,35.0,31.0,1.6484258740740392
28,1752332051,5.0,0.0,5.0,0.0,5.0,48.646064,7.003224,35.0,31.0,1.4515849619278391
29,1752332056,1.0,4.0,1.0,0.0,1.0,3.705756,0.0,35.0,-161.0,0.9884713843352834
30,1752332061,1.0,4.0,1.0,0.0,1.0,3.705756,0.0,35.0,-161.0,0.9133951628725837
31,1752332066,1.0,4.0,1.0,0.0,1.0,3.705756,0.0,35.0,-161.0,0.272974338038812
