,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752238053,5.0,0.0,2.0,0.006302324309282035,5.0,1.499149,0.599641,70.0,-12.0,0.03912536629440942
1,1752238058,5.0,0.0,2.0,0.006302324309282035,5.0,1.499149,0.599641,70.0,-12.0,0.034227032139160514
2,1752238063,5.0,0.0,2.0,0.006302324309282035,5.0,1.499149,0.599641,70.0,-12.0,0.04002565529972278
3,1752238068,5.0,0.0,5.0,0.006302324309282035,5.0,0.346109,0.044879,70.0,288.0,0.037727479247808095
4,1752238073,5.0,0.0,5.0,0.006302324309282035,5.0,0.346109,0.044879,70.0,288.0,0.037518219279019556
5,1752238078,5.0,0.0,5.0,0.0,5.0,0.346109,0.044879,70.0,288.0,0.03938322214555821
6,1752238083,5.0,0.0,5.0,0.0,5.0,0.346109,0.044879,70.0,288.0,0.04197160266567713
7,1752238088,5.0,0.0,5.0,0.0,5.0,0.346109,0.044879,70.0,288.0,0.04140278343568616
8,1752238093,5.0,0.0,5.0,0.0,5.0,0.346109,0.044879,70.0,288.0,0.016462923726697068
9,1752238098,5.0,0.0,5.0,0.0,5.0,0.039205,0.034236,70.0,288.0,0.016616841021405274
10,1752238103,5.0,0.0,5.0,0.0,5.0,0.039205,0.034236,70.0,288.0,0.01719062024611024
11,1752238108,5.0,0.0,5.0,0.0,5.0,0.039205,0.034236,70.0,288.0,0.01724458820458244
12,1752238113,5.0,0.0,5.0,0.0,5.0,0.039205,0.034236,70.0,288.0,0.017775727107027725
13,1752238118,5.0,0.0,5.0,0.0,5.0,0.039205,0.034236,70.0,288.0,0.017363640184309463
14,1752238123,5.0,0.0,5.0,0.0,5.0,0.039205,0.034236,70.0,288.0,0.017167693665022542
15,1752238128,5.0,0.0,5.0,0.0,5.0,0.057572,0.083367,70.0,288.0,0.01826692579051427
16,1752238133,5.0,0.0,5.0,0.0,5.0,0.057572,0.083367,70.0,288.0,0.017985869587821064
17,1752238138,5.0,0.0,5.0,0.0,5.0,0.057572,0.083367,70.0,288.0,0.018863654313798398
18,1752238143,5.0,0.0,5.0,0.0,5.0,0.057572,0.083367,70.0,288.0,0.01896120829631726
