,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752333771,5.0,0.0,5.0,,5.0,10.845845,0.187792,70.0,288.0,0.031946171091966846
1,1752333776,5.0,0.0,5.0,0.0,5.0,10.845845,0.187792,70.0,288.0,0.031415929993755795
2,1752333781,5.0,0.0,5.0,0.0,5.0,10.845845,0.187792,70.0,288.0,0.03516265871944988
3,1752333786,5.0,0.0,5.0,0.0,5.0,10.845845,0.187792,70.0,288.0,0.04074271971012094
4,1752333791,5.0,0.0,5.0,0.0,5.0,10.845845,0.187792,70.0,288.0,0.037404007879648184
5,1752333796,5.0,0.0,5.0,0.0,5.0,3.98138,0.098577,70.0,288.0,0.040833319883317974
6,1752333801,5.0,0.0,5.0,0.0,5.0,3.98138,0.098577,70.0,288.0,0.04315446498545497
7,1752333806,5.0,0.0,5.0,0.0,5.0,3.98138,0.098577,70.0,288.0,0.045585485385322505
8,1752333811,5.0,0.0,5.0,0.0,5.0,3.98138,0.098577,70.0,288.0,0.030677554345146494
9,1752333816,5.0,0.0,5.0,0.0,5.0,3.98138,0.098577,70.0,288.0,0.030345022857443914
10,1752333821,5.0,0.0,5.0,0.0,5.0,3.98138,0.098577,70.0,288.0,0.031291050938642234
11,1752333826,5.0,0.0,5.0,0.0,5.0,0.080472,0.067909,70.0,288.0,0.03154104225367434
12,1752333831,5.0,0.0,5.0,0.0,5.0,0.080472,0.067909,70.0,288.0,0.02915686636556592
13,1752333836,5.0,0.0,5.0,0.0,5.0,0.080472,0.067909,70.0,288.0,0.03022267754138198
14,1752333841,5.0,0.0,5.0,0.0,5.0,0.080472,0.067909,70.0,288.0,0.030640780642191334
15,1752333846,5.0,0.0,5.0,0.0,5.0,0.080472,0.067909,70.0,288.0,0.029695702925853357
16,1752333851,5.0,0.0,5.0,0.0,5.0,0.080472,0.067909,70.0,288.0,0.028396360435491527
17,1752333856,5.0,0.0,5.0,0.0,5.0,0.080746,0.112283,70.0,288.0,0.02937956466849872
18,1752333861,5.0,0.0,5.0,0.0,5.0,0.080746,0.112283,70.0,288.0,0.030044484111479416
19,1752333866,5.0,0.0,5.0,0.0,5.0,0.080746,0.112283,70.0,288.0,0.031864624486462614
20,1752333871,5.0,0.0,5.0,0.0,5.0,0.080746,0.112283,70.0,288.0,0.03330096301908563
21,1752333876,5.0,0.0,5.0,0.0,5.0,0.080746,0.112283,70.0,288.0,0.03274530723523302
22,1752333881,5.0,0.0,5.0,0.0,5.0,0.080746,0.112283,70.0,288.0,0.03181595212127711
23,1752333886,5.0,0.0,5.0,0.0,5.0,0.104756,0.07493,70.0,288.0,0.03410773264869043
24,1752333891,5.0,0.0,5.0,0.0,5.0,0.104756,0.07493,70.0,288.0,0.03343900271678903
25,1752333896,5.0,0.0,5.0,0.0,5.0,0.104756,0.07493,70.0,288.0,0.03212149004230672
26,1752333901,5.0,0.0,5.0,0.0,5.0,0.104756,0.07493,70.0,288.0,0.0326841777187192
27,1752333906,5.0,0.0,5.0,0.0,5.0,0.104756,0.07493,70.0,288.0,0.03327705929347672
28,1752333911,5.0,0.0,5.0,0.0,5.0,0.104756,0.07493,70.0,288.0,0.03211868371995817
29,1752333916,5.0,0.0,5.0,0.0,5.0,0.111969,0.094253,70.0,288.0,0.03162029880917981
30,1752333921,5.0,0.0,5.0,0.0,5.0,0.111969,0.094253,70.0,288.0,0.032558473437638714
31,1752333926,5.0,0.0,5.0,0.0,5.0,0.111969,0.094253,70.0,288.0,0.032731641671564206
32,1752333931,5.0,0.0,5.0,0.0,5.0,0.111969,0.094253,70.0,288.0,0.032732299779567875
33,1752333936,5.0,0.0,5.0,0.0,5.0,0.111969,0.094253,70.0,288.0,0.0314742004610639
34,1752333941,5.0,0.0,5.0,0.0,5.0,0.111969,0.094253,70.0,288.0,0.033179225422350175
35,1752333946,5.0,0.0,5.0,0.0,5.0,0.100127,0.097543,70.0,288.0,0.0316930997028578
36,1752333951,5.0,0.0,5.0,0.0,5.0,0.100127,0.097543,70.0,288.0,0.0320288207902263
37,1752333956,5.0,0.0,5.0,0.0,5.0,0.100127,0.097543,70.0,288.0,0.033087374221221294
38,1752333961,5.0,0.0,5.0,0.0,5.0,0.100127,0.097543,70.0,288.0,0.03337395841307841
39,1752333966,5.0,0.0,5.0,0.0,5.0,0.100127,0.097543,70.0,288.0,0.033077268443030376
40,1752333971,5.0,0.0,5.0,0.0,5.0,0.100127,0.097543,70.0,288.0,0.03316841341539109
41,1752333976,5.0,0.0,5.0,0.0,5.0,0.131104,0.148705,70.0,288.0,0.03388319517532934
42,1752333981,5.0,0.0,5.0,0.0,5.0,0.131104,0.148705,70.0,288.0,0.03655116429496154
