,index,srv-recommendation_autoscaler_requested_pods,srv-recommendation_autoscaler_terminating_pods,srv-recommendation_autoscaler_actual_pods,srv-recommendation_activator_request_concurrency,srv-recommendation_autoscaler_desired_pods,srv-recommendation_autoscaler_stable_request_concurrency,srv-recommendation_autoscaler_panic_request_concurrency,srv-recommendation_autoscaler_target_concurrency_per_pod,srv-recommendation_autoscaler_excess_burst_capacity,srv-recommendation_container_cpu_usage_seconds_total
0,1752333771,5.0,0.0,5.0,,5.0,2.524458,0.037503,70.0,288.0,0.03704691610319166
1,1752333776,5.0,0.0,5.0,0.0,5.0,2.524458,0.037503,70.0,288.0,0.030692057677792303
2,1752333781,5.0,0.0,5.0,0.0,5.0,2.524458,0.037503,70.0,288.0,0.03241342959832191
3,1752333786,5.0,0.0,5.0,0.0,5.0,2.524458,0.037503,70.0,288.0,0.03310457545003824
4,1752333791,5.0,0.0,5.0,0.0,5.0,2.524458,0.037503,70.0,288.0,0.03496846027447286
5,1752333796,5.0,0.0,5.0,0.0,5.0,1.008321,0.038171,70.0,288.0,0.033744219536776705
6,1752333801,5.0,0.0,5.0,0.0,5.0,1.008321,0.038171,70.0,288.0,0.036049374286801814
7,1752333806,5.0,0.0,5.0,0.0,5.0,1.008321,0.038171,70.0,288.0,0.037051017642568594
8,1752333811,5.0,0.0,5.0,0.0,5.0,1.008321,0.038171,70.0,288.0,0.01711057508003229
9,1752333816,5.0,0.0,5.0,0.0,5.0,1.008321,0.038171,70.0,288.0,0.01720549925772349
10,1752333821,5.0,0.0,5.0,0.0,5.0,1.008321,0.038171,70.0,288.0,0.017181978933928442
11,1752333826,5.0,0.0,5.0,0.0,5.0,0.043487,0.038012,70.0,288.0,0.0163452484615995
12,1752333831,5.0,0.0,5.0,0.0,5.0,0.043487,0.038012,70.0,288.0,0.017004793838843246
13,1752333836,5.0,0.0,5.0,0.0,5.0,0.043487,0.038012,70.0,288.0,0.016888890722640527
14,1752333841,5.0,0.0,5.0,0.0,5.0,0.043487,0.038012,70.0,288.0,0.016578953922688128
15,1752333846,5.0,0.0,5.0,0.0,5.0,0.043487,0.038012,70.0,288.0,0.016491717203792253
16,1752333851,5.0,0.0,5.0,0.0,5.0,0.043487,0.038012,70.0,288.0,0.01717839051053963
17,1752333856,5.0,0.0,5.0,0.0,5.0,0.046364,0.071896,70.0,288.0,0.01686471934978274
18,1752333861,5.0,0.0,5.0,0.0,5.0,0.046364,0.071896,70.0,288.0,0.01683780452827738
19,1752333866,5.0,0.0,5.0,0.0,5.0,0.046364,0.071896,70.0,288.0,0.01709340978321355
20,1752333871,5.0,0.0,5.0,0.0,5.0,0.046364,0.071896,70.0,288.0,0.01791859407953346
21,1752333876,5.0,0.0,5.0,0.0,5.0,0.046364,0.071896,70.0,288.0,0.01809090978221418
22,1752333881,5.0,0.0,5.0,0.0,5.0,0.046364,0.071896,70.0,288.0,0.019115512191647952
23,1752333886,5.0,0.0,5.0,0.0,5.0,0.064953,0.051868,70.0,288.0,0.019082992996604785
24,1752333891,5.0,0.0,5.0,0.0,5.0,0.064953,0.051868,70.0,288.0,0.019503764959911976
25,1752333896,5.0,0.0,5.0,0.0,5.0,0.064953,0.051868,70.0,288.0,0.0189117612861767
26,1752333901,5.0,0.0,5.0,0.0,5.0,0.064953,0.051868,70.0,288.0,0.01951613572850369
27,1752333906,5.0,0.0,5.0,0.0,5.0,0.064953,0.051868,70.0,288.0,0.01977634740379515
28,1752333911,5.0,0.0,5.0,0.0,5.0,0.064953,0.051868,70.0,288.0,0.019406168004142455
29,1752333916,5.0,0.0,5.0,0.0,5.0,0.0709,0.06565,70.0,288.0,0.020208997831487302
30,1752333921,5.0,0.0,5.0,0.0,5.0,0.0709,0.06565,70.0,288.0,0.020413076601687112
31,1752333926,5.0,0.0,5.0,0.0,5.0,0.0709,0.06565,70.0,288.0,0.02010713515503728
32,1752333931,5.0,0.0,5.0,0.0,5.0,0.0709,0.06565,70.0,288.0,0.019783967781716268
33,1752333936,5.0,0.0,5.0,0.0,5.0,0.0709,0.06565,70.0,288.0,0.019783967781716268
34,1752333941,5.0,0.0,5.0,0.0,5.0,0.0709,0.06565,70.0,288.0,0.01975973370369198
35,1752333946,5.0,0.0,5.0,0.0,5.0,0.062443,0.06363,70.0,288.0,0.020297677157455594
36,1752333951,5.0,0.0,5.0,0.0,5.0,0.062443,0.06363,70.0,288.0,0.020233118883287375
37,1752333956,5.0,0.0,5.0,0.0,5.0,0.062443,0.06363,70.0,288.0,0.019199035487415535
38,1752333961,5.0,0.0,5.0,0.0,5.0,0.062443,0.06363,70.0,288.0,0.01861565005819468
39,1752333966,5.0,0.0,5.0,0.0,5.0,0.062443,0.06363,70.0,288.0,0.01977800419945101
40,1752333971,5.0,0.0,5.0,0.0,5.0,0.062443,0.06363,70.0,288.0,0.01926189767797329
41,1752333976,5.0,0.0,5.0,0.0,5.0,0.076266,0.108257,70.0,288.0,0.021692930640858227
42,1752333981,5.0,0.0,5.0,0.0,5.0,0.076266,0.108257,70.0,288.0,0.021123340147588068
43,1752333986,5.0,0.0,5.0,0.0,5.0,0.076266,0.108257,70.0,288.0,0.02208501734141979
44,1752333991,5.0,0.0,5.0,0.0,5.0,0.076266,0.108257,70.0,288.0,0.022270843948246823
45,1752333996,5.0,0.0,5.0,0.0,5.0,0.076266,0.108257,70.0,288.0,0.022270843948246823
46,1752334001,5.0,0.0,5.0,0.0,5.0,0.076266,0.108257,70.0,288.0,0.021540698706197393
47,1752334006,5.0,0.0,5.0,0.0,5.0,0.082654,0.046547,70.0,288.0,0.020930684359919568
48,1752334011,5.0,0.0,5.0,0.0,5.0,0.082654,0.046547,70.0,288.0,0.020223703843585024
49,1752334016,5.0,0.0,5.0,0.0,5.0,0.082654,0.046547,70.0,288.0,0.019036855650875713
50,1752334021,5.0,0.0,5.0,0.0,5.0,0.082654,0.046547,70.0,288.0,0.01934487939468379
51,1752334026,5.0,0.0,5.0,0.0,5.0,0.082654,0.046547,70.0,288.0,0.020157484081745426
52,1752334031,5.0,0.0,5.0,0.0,5.0,0.082654,0.046547,70.0,288.0,0.020351827895305857
53,1752334036,5.0,0.0,5.0,0.0,5.0,0.07287,0.071701,70.0,288.0,0.020096229488029464
54,1752334041,5.0,0.0,5.0,0.0,5.0,0.07287,0.071701,70.0,288.0,0.019870168218016102
55,1752334046,5.0,0.0,5.0,0.0,5.0,0.07287,0.071701,70.0,288.0,0.020052174111919174
