,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752333771,5.0,0.0,5.0,,5.0,0.472824,0.201189,70.0,288.0,0.08702634477568924
1,1752333776,5.0,0.0,5.0,0.0,5.0,0.472824,0.201189,70.0,288.0,0.07609998583422618
2,1752333781,5.0,0.0,5.0,0.0,5.0,0.472824,0.201189,70.0,288.0,0.06708731577126828
3,1752333786,5.0,0.0,5.0,0.0,5.0,0.472824,0.201189,70.0,288.0,0.0773820765599679
4,1752333791,5.0,0.0,5.0,0.0,5.0,0.472824,0.201189,70.0,288.0,0.07685812224189448
5,1752333796,5.0,0.0,5.0,0.0,5.0,0.179195,0.002803,70.0,288.0,0.06569954542785114
6,1752333801,5.0,0.0,5.0,0.0,5.0,0.179195,0.002803,70.0,288.0,0.06856873998556055
7,1752333806,5.0,0.0,5.0,0.0,5.0,0.179195,0.002803,70.0,288.0,0.07505268577758667
8,1752333811,5.0,0.0,5.0,0.0,5.0,0.179195,0.002803,70.0,288.0,0.003311350248634666
9,1752333816,5.0,0.0,5.0,0.0,5.0,0.179195,0.002803,70.0,288.0,0.003279727510200425
10,1752333821,5.0,0.0,5.0,0.0,5.0,0.179195,0.002803,70.0,288.0,0.003457844479519702
11,1752333826,5.0,0.0,5.0,0.0,5.0,0.002694,0.00224,70.0,288.0,0.0034116846250577633
12,1752333831,5.0,0.0,5.0,0.0,5.0,0.002694,0.00224,70.0,288.0,0.003434920948986341
13,1752333836,5.0,0.0,5.0,0.0,5.0,0.002694,0.00224,70.0,288.0,0.003353145902146747
14,1752333841,5.0,0.0,5.0,0.0,5.0,0.002694,0.00224,70.0,288.0,0.0030508051444103276
15,1752333846,5.0,0.0,5.0,0.0,5.0,0.002694,0.00224,70.0,288.0,0.0032603661541824322
16,1752333851,5.0,0.0,5.0,0.0,5.0,0.002694,0.00224,70.0,288.0,0.0033557863991426247
17,1752333856,5.0,0.0,5.0,0.0,5.0,0.002567,0.00068,70.0,288.0,0.003447292933184689
