,index,srv-geo_autoscaler_requested_pods,srv-geo_autoscaler_terminating_pods,srv-geo_autoscaler_actual_pods,srv-geo_activator_request_concurrency,srv-geo_autoscaler_desired_pods,srv-geo_autoscaler_stable_request_concurrency,srv-geo_autoscaler_panic_request_concurrency,srv-geo_autoscaler_target_concurrency_per_pod,srv-geo_autoscaler_excess_burst_capacity,srv-geo_container_cpu_usage_seconds_total
0,1752334725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,-211.0,
1,1752334730,5.0,0.0,2.0,0.0,5.0,25.319113,0.074491,70.0,-12.0,0.009693782631329367
2,1752334735,5.0,0.0,2.0,0.0,5.0,25.319113,0.074491,70.0,-12.0,0.026143403664506293
3,1752334740,5.0,0.0,2.0,0.0,5.0,25.319113,0.074491,70.0,-12.0,0.029382675178974506
4,1752334745,5.0,0.0,2.0,0.0,5.0,25.319113,0.074491,70.0,-12.0,0.03169195706649489
5,1752334750,5.0,0.0,2.0,0.0,5.0,25.319113,0.074491,70.0,-12.0,0.032124780398977364
6,1752334755,5.0,0.0,2.0,0.0,5.0,25.319113,0.074491,70.0,-12.0,0.03427472500442546
7,1752334760,5.0,0.0,5.0,0.0,5.0,7.299416,0.09457,70.0,288.0,0.03660166549249429
8,1752334765,5.0,0.0,5.0,0.0,5.0,7.299416,0.09457,70.0,288.0,0.037157646283234196
9,1752334770,5.0,0.0,5.0,0.0,5.0,7.299416,0.09457,70.0,288.0,0.04134149203335821
10,1752334775,5.0,0.0,5.0,0.0,5.0,7.299416,0.09457,70.0,288.0,0.04320652674253118
11,1752334780,5.0,0.0,5.0,0.0,5.0,7.299416,0.09457,70.0,288.0,0.0290236872249386
12,1752334785,5.0,0.0,5.0,0.0,5.0,7.299416,0.09457,70.0,288.0,0.029689461489333668
13,1752334790,5.0,0.0,5.0,0.0,5.0,0.086616,0.064763,70.0,288.0,0.02931237000382428
14,1752334795,5.0,0.0,5.0,0.0,5.0,0.086616,0.064763,70.0,288.0,0.02953753043133303
15,1752334800,5.0,0.0,5.0,0.0,5.0,0.086616,0.064763,70.0,288.0,0.028365976680783705
16,1752334805,5.0,0.0,5.0,0.0,5.0,0.086616,0.064763,70.0,288.0,0.02854908036493983
17,1752334810,5.0,0.0,5.0,0.0,5.0,0.086616,0.064763,70.0,288.0,0.02745038375559085
18,1752334815,5.0,0.0,5.0,0.0,5.0,0.086616,0.064763,70.0,288.0,0.027510365693407403
19,1752334820,5.0,0.0,5.0,0.0,5.0,0.078127,0.067197,70.0,288.0,0.02792501172232688
20,1752334825,5.0,0.0,5.0,0.0,5.0,0.078127,0.067197,70.0,288.0,0.02758138175883347
21,1752334830,5.0,0.0,5.0,0.0,5.0,0.078127,0.067197,70.0,288.0,0.027908053979751754
22,1752334835,5.0,0.0,5.0,0.0,5.0,0.078127,0.067197,70.0,288.0,0.027352591605388065
23,1752334840,5.0,0.0,5.0,0.0,5.0,0.078127,0.067197,70.0,288.0,0.0286705560548771
24,1752334845,5.0,0.0,5.0,0.0,5.0,0.078127,0.067197,70.0,288.0,0.02846009500070783
25,1752334850,5.0,0.0,5.0,0.0,5.0,0.088267,0.115177,70.0,288.0,0.02785696326196554
26,1752334855,5.0,0.0,5.0,0.0,5.0,0.088267,0.115177,70.0,288.0,0.03025468585581181
27,1752334860,5.0,0.0,5.0,0.0,5.0,0.088267,0.115177,70.0,288.0,0.030617466822268714
28,1752334865,5.0,0.0,5.0,0.0,5.0,0.088267,0.115177,70.0,288.0,0.031073757026241752
29,1752334870,5.0,0.0,5.0,0.0,5.0,0.088267,0.115177,70.0,288.0,0.03295799458725085
30,1752334875,5.0,0.0,5.0,0.0,5.0,0.088267,0.115177,70.0,288.0,0.033184938786951855
31,1752334880,5.0,0.0,5.0,0.0,5.0,0.115316,0.079234,70.0,288.0,0.03344945166627874
32,1752334885,5.0,0.0,5.0,0.0,5.0,0.115316,0.079234,70.0,288.0,0.03240001187199136
33,1752334890,5.0,0.0,5.0,0.0,5.0,0.115316,0.079234,70.0,288.0,0.03317482795664985
34,1752334895,5.0,0.0,5.0,0.0,5.0,0.115316,0.079234,70.0,288.0,0.03125078255222335
35,1752334900,5.0,0.0,5.0,0.0,5.0,0.115316,0.079234,70.0,288.0,0.03058973904077606
36,1752334905,5.0,0.0,5.0,0.0,5.0,0.115316,0.079234,70.0,288.0,0.0317765695905717
37,1752334910,5.0,0.0,5.0,0.0,5.0,0.121484,0.100436,70.0,288.0,0.031499415939088934
38,1752334915,5.0,0.0,5.0,0.0,5.0,0.121484,0.100436,70.0,288.0,0.03123056185696891
39,1752334920,5.0,0.0,5.0,0.0,5.0,0.121484,0.100436,70.0,288.0,0.03123397340401541
40,1752334925,5.0,0.0,5.0,0.0,5.0,0.121484,0.100436,70.0,288.0,0.03124449971303785
41,1752334930,5.0,0.0,5.0,0.0,5.0,0.121484,0.100436,70.0,288.0,0.029285807643185804
42,1752334935,5.0,0.0,5.0,0.0,5.0,0.121484,0.100436,70.0,288.0,0.031662546238309185
43,1752334940,5.0,0.0,5.0,0.0,5.0,0.113768,0.120297,70.0,288.0,0.030978737025170282
44,1752334945,5.0,0.0,5.0,0.0,5.0,0.113768,0.120297,70.0,288.0,0.031155468585456213
45,1752334950,5.0,0.0,5.0,0.0,5.0,0.113768,0.120297,70.0,288.0,0.03218183354665478
46,1752334955,5.0,0.0,5.0,0.0,5.0,0.113768,0.120297,70.0,288.0,0.03218183354665478
47,1752334960,5.0,0.0,5.0,0.0,5.0,0.113768,0.120297,70.0,288.0,0.03287740619591544
48,1752334965,5.0,0.0,5.0,0.0,5.0,0.113768,0.120297,70.0,288.0,0.03258536795069804
49,1752334970,5.0,0.0,5.0,0.0,5.0,0.124544,0.141486,70.0,288.0,0.03260065528806125
50,1752334975,5.0,0.0,5.0,0.0,5.0,0.124544,0.141486,70.0,288.0,0.031061399250969582
51,1752334980,5.0,0.0,5.0,0.0,5.0,0.124544,0.141486,70.0,288.0,0.03402995565624416
52,1752334985,5.0,0.0,5.0,0.0,5.0,0.124544,0.141486,70.0,288.0,0.03402995565624416
53,1752334990,5.0,0.0,5.0,0.0,5.0,0.124544,0.141486,70.0,288.0,0.03282546768186507
54,1752334995,5.0,0.0,5.0,0.0,5.0,0.124544,0.141486,70.0,288.0,0.035142734603312374
55,1752335000,5.0,0.0,5.0,0.0,5.0,0.145775,0.140074,70.0,288.0,0.035142734603312374
56,1752335005,5.0,0.0,5.0,0.0,5.0,0.145775,0.140074,70.0,288.0,0.034283915460024975
57,1752335010,5.0,0.0,5.0,0.0,5.0,0.145775,0.140074,70.0,288.0,0.03199939599555397
58,1752335015,5.0,0.0,5.0,0.0,5.0,0.145775,0.140074,70.0,288.0,0.036281583232528614
59,1752335020,5.0,0.0,5.0,0.0,5.0,0.145775,0.140074,70.0,288.0,0.03676418686185446
60,1752335025,5.0,0.0,5.0,0.0,5.0,0.145775,0.140074,70.0,288.0,0.036720466678528595
61,1752335030,5.0,0.0,5.0,0.0,5.0,0.173439,0.233872,70.0,288.0,0.037815413335762986
62,1752335035,5.0,0.0,5.0,0.0,5.0,0.173439,0.233872,70.0,288.0,0.03727169990729009
