,index,srv-user_autoscaler_requested_pods,srv-user_autoscaler_terminating_pods,srv-user_autoscaler_actual_pods,srv-user_activator_request_concurrency,srv-user_autoscaler_desired_pods,srv-user_autoscaler_stable_request_concurrency,srv-user_autoscaler_panic_request_concurrency,srv-user_autoscaler_target_concurrency_per_pod,srv-user_autoscaler_excess_burst_capacity,srv-user_container_cpu_usage_seconds_total
0,1752341614,0.0,0.0,0.0,1.0,0.0,-1e-06,0.0,70.0,-211.0,0.010272137233479011
1,1752341619,0.0,0.0,0.0,1.0,0.0,-1e-06,0.0,70.0,-211.0,0.0578639291143072
2,1752341624,0.0,0.0,0.0,1.0,0.0,-1e-06,0.0,70.0,-211.0,0.0916038575103308
3,1752341629,5.0,0.0,5.0,1.0,5.0,0.319796,0.001828,70.0,288.0,0.1096899392376426
4,1752341634,5.0,0.0,5.0,1.0,5.0,0.319796,0.001828,70.0,288.0,0.07433597320689232
5,1752341639,5.0,0.0,5.0,0.0,5.0,0.319796,0.001828,70.0,288.0,0.08599499638992232
6,1752341644,5.0,0.0,5.0,0.0,5.0,0.319796,0.001828,70.0,288.0,0.0895070726661517
7,1752341649,5.0,0.0,5.0,0.0,5.0,0.319796,0.001828,70.0,288.0,0.07353713325699633
8,1752341654,5.0,0.0,5.0,0.0,5.0,0.319796,0.001828,70.0,288.0,0.08134136600920948
9,1752341659,5.0,0.0,5.0,0.0,5.0,0.140649,0.002886,70.0,288.0,0.0791527129195003
10,1752341664,5.0,0.0,5.0,0.0,5.0,0.140649,0.002886,70.0,288.0,0.004761911869751752
11,1752341669,5.0,0.0,5.0,0.0,5.0,0.140649,0.002886,70.0,288.0,0.004914542120479882
12,1752341674,5.0,0.0,5.0,0.0,5.0,0.140649,0.002886,70.0,288.0,0.004891086673123729
13,1752341679,5.0,0.0,5.0,0.0,5.0,0.140649,0.002886,70.0,288.0,0.004694929131681348
14,1752341684,5.0,0.0,5.0,0.0,5.0,0.140649,0.002886,70.0,288.0,0.004985439937918003
15,1752341689,5.0,0.0,5.0,0.0,5.0,0.002418,0.000858,70.0,288.0,0.004992526199171636
16,1752341694,5.0,0.0,5.0,0.0,5.0,0.002418,0.000858,70.0,288.0,0.005261404687340968
17,1752341699,5.0,0.0,5.0,0.0,5.0,0.002418,0.000858,70.0,288.0,0.005238777135859333
18,1752341704,5.0,0.0,5.0,0.0,5.0,0.002418,0.000858,70.0,288.0,0.00519793781821465
19,1752341709,5.0,0.0,5.0,0.0,5.0,0.002418,0.000858,70.0,288.0,0.005146043389121781
20,1752341714,5.0,0.0,5.0,0.0,5.0,0.002418,0.000858,70.0,288.0,0.005446040076504766
21,1752341719,5.0,0.0,5.0,0.0,5.0,0.001828,0.0,70.0,289.0,0.0053716730857695134
22,1752341724,5.0,0.0,5.0,0.0,5.0,0.001828,0.0,70.0,289.0,0.005351982368299578
23,1752341729,5.0,0.0,5.0,0.0,5.0,0.001828,0.0,70.0,289.0,0.005067425837290613
24,1752341734,5.0,0.0,5.0,0.0,5.0,0.001828,0.0,70.0,289.0,0.005537933711291048
25,1752341739,5.0,0.0,5.0,0.0,5.0,0.001828,0.0,70.0,289.0,0.00619308439407547
26,1752341744,5.0,0.0,5.0,0.0,5.0,0.001828,0.0,70.0,289.0,0.00627678833757281
27,1752341749,5.0,0.0,5.0,0.0,5.0,0.001327,0.000655,70.0,288.0,0.006244266790521182
28,1752341754,5.0,0.0,5.0,0.0,5.0,0.001327,0.000655,70.0,288.0,0.00588297461084029
29,1752341759,5.0,0.0,5.0,0.0,5.0,0.001327,0.000655,70.0,288.0,0.00611792937576281
30,1752341764,5.0,0.0,5.0,0.0,5.0,0.001327,0.000655,70.0,288.0,0.006393871572231059
